Organization/Person Name,Organization/Person Name URL,Location,First Name,Last Name,Regions,Gender,Full Description,Number of Articles,Twitter,LinkedIn,Facebook,Estimated Revenue Range,Operating Status,Description,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Contact Email,Phone Number,Hub Tags,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Partner Investments,Number of Lead Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Next Application Deadline,Accelerator Duration (in weeks),CB Rank (Investor),Trend Score (7 Days),Trend Score (30 Days),Trend Score (90 Days),SimilarWeb - Monthly Visits,SimilarWeb - Average Visits (6 months),SimilarWeb - Monthly Visits Growth,SimilarWeb - Visit Duration,SimilarWeb - Visit Duration Growth,SimilarWeb - Page Views / Visit,SimilarWeb - Page Views / Visit Growth,SimilarWeb - Bounce Rate,SimilarWeb - Bounce Rate Growth,SimilarWeb - Global Traffic Rank,SimilarWeb - Monthly Rank Change (#),SimilarWeb - Monthly Rank Growth,BuiltWith - Active Tech Count,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,Siftery - Total Products Active,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD)
Tech Coast Angels,https://www.crunchbase.com/organization/tech-coast-angels,"Newport Beach, California, United States",,,"Greater Los Angeles Area, West Coast, Western US",,"Tech Coast Angels is the largest angel investor group in the United States, possessing more than 300 members in five networks in Los Angeles, Orange County, San Diego, Central Coast, and the Inland Empire. Its members provide funding and guidance to more early-stage, high-growth companies in Southern California than any other investment group. Members invest in companies in a wide range of industries, including the life sciences, biotech, IT, services, retail, Internet, financial, software, media, consumer products, and tech startups. TCA as a whole gives companies more than just capital; they also provide counsel, mentoring, and access to an extensive network of potential investors, customers, strategic partners, and management talent.  Tech Coast Angels has been ranked by CB Insights to be among the Top 20 Angel Groups in the US; TCA was also ranked as #1 for Network Centrality, meaning we have more connections than anyone! If you are in the game-changing business, we are here to help.",271,http://twitter.com/techcoastangels,https://www.linkedin.com/company/tech-coast-angels,http://www.facebook.com/techcoastangels,,Active,Invests in high-growth start-up's headquartered in Southern California,1997-01-01,year,,,,,,http://www.techcoastangels.com,,,,Angel Group,"Early Stage Venture, Late Stage Venture, Seed",406,486,,40,62,62,,,,441,9.8,9.8,8.6,"4,541","8,158.88",-66.37%,124,31.32%,2.56,6.49%,46.77%,17.62%,"4,087,867","1,901,517",86.97%,12,,,,,,,,33821,USD,33821
Qualcomm Ventures,https://www.crunchbase.com/organization/qualcomm-ventures,"San Diego, California, United States",,,"Greater San Diego Area, West Coast, Western US",,"Qualcomm Ventures was formed in 2000 to make investments in startups developing next-generation technologies that will promote future growth for Qualcomm Inc. Qualcomm Ventures has 140+ active companies in its portfolio and has generated significant financial returns, including six exits over a billion dollars: 99 Taxis, Cruise Automation, Fitbit, Invensense, NQ Mobile, Waze.","1,222",http://twitter.com/QualcommVenture,http://www.linkedin.com/company/qualcomm-ventures,,,Active,Qualcomm Ventures makes investments in startups developing next-generation technologies that will promote future growth for Qualcomm.,2000-01-01,year,,,,,,https://www.qualcommventures.com,,,,Corporate Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",230,343,,76,71,71,,,,"1,210",1,-1.5,6.9,"9,858","9,312.67",-6.19%,146,410.68%,3.72,22.61%,36.34%,2.74%,"2,168,417","-52,692",-2.37%,28,,,23,,,,,,,
Upfront Ventures,https://www.crunchbase.com/organization/upfront-ventures,"Santa Monica, California, United States",,,"Greater Los Angeles Area, West Coast, Western US",,"Los-Angeles based Upfront Ventures is an early-stage venture capital firm making national investments in technology-forward companies and founders. Past investments include Maker Studios (acquired by Disney), TrueCar, Ring, Overture and Envestnet. Other key investments include GOAT, Parachute Home, mitú, thredUP, Bird, Inboard Technologies, Drone Base, MakeSpace, Seriously, Invoca and Kyriba. Upfront Ventures was founded in 1996 and is led by Managing Partners Yves Sisteron and Mark Suster.",851,http://twitter.com/upfrontvc,https://www.linkedin.com/company/upfront-ventures,http://www.facebook.com/upfrontvc,,Active,"Upfront Ventures is the largest venture capital firm in Los Angeles, focusing on early-stage technology companies. ",1996-01-01,year,,,,,,http://upfront.com,,,,Venture Capital,"Debt, Early Stage Venture, Late Stage Venture, Private Equity, Seed",155,278,,95,50,50,,,,"2,514",-0.1,3.3,5.2,"10,227","35,663.81",-14.97%,187,-25.54%,5.3,17.78%,22.57%,8.28%,"1,727,961","103,647",6.38%,53,,,39,,,,,111882,USD,111882
Domain Associates,https://www.crunchbase.com/organization/domain-associates,"San Diego, California, United States",,,"Greater San Diego Area, West Coast, Western US",,"Founded in 1985, Domain Associates, L.L.C. is a venture capital firm with an exclusive focus on life sciences. With $2 billion of capital under management, Domain is headquartered in Princeton, NJ with a second office in San Diego, CA. Domainâ€™s three major investment segments are pharmaceuticals, specialty pharmaceuticals, and medical devices, while additional areas of interest include biomaterials, bioinstrumentation, and diagnostics.  The Partners of Domain have a total of close to 200 person-years of experience among them in the healthcare/venture capital industries and have been involved in the formation and growth of more than 200 life-sciences companies.  The highly focused network, experience, and reputation of this team have made it one of the top private-equity groups participating in the healthcare field.",209,http://twitter.com/domainvc,http://www.linkedin.com/company/domain-associates,,,Active,Domain Associates is a venture capital firm with an exclusive focus on life sciences.,1985-01-01,year,,,,,,http://www.domainvc.com,contact@domainvc.com,609-683-5656,,Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity",117,245,,52,66,66,,,,"4,166",-0.1,4.5,4.4,"1,326","1,501.23",10.63%,92,-77.95%,2.96,-52.44%,27.57%,12.99%,"9,533,131","2,208,560",30.15%,22,,,11,,,,,,,
Correlation Ventures,https://www.crunchbase.com/organization/correlation-ventures,"San Diego, California, United States",,,"Greater San Diego Area, West Coast, Western US",,"Correlation Ventures is a new breed of venture capital firm, leveraging world-class analytics to offer entrepreneurs and other venture capitalists a dramatically better option when they are seeking additional capital to complete a financing round.",336,http://twitter.com/Correlationvc,https://www.linkedin.com/company/1417265,https://www.facebook.com/correlationvc,,Active,"Correlation Ventures finances early, seed, and later stage venture, and debt financing investments and is based in California.",2006-05-01,day,,,,,,http://correlationvc.com,info@correlationvc.com,650-353-3327,,Venture Capital,"Debt, Early Stage Venture, Late Stage Venture, Seed",162,241,,2,33,33,,,,"1,575",-2.6,-5.2,3.3,"4,056","4,555.28",103.58%,111,79.29%,3.12,-42.26%,42.14%,19.42%,"4,194,896","-1,257,983",-23.07%,25,,,33,,,,,61049,USD,61049
EvoNexus,https://www.crunchbase.com/organization/evonexus-llc,"La Jolla, California, United States",,,"Greater San Diego Area, West Coast, Western US",,"EvoNexus is a technology incubator for Southern California's startup and entrepreneurial community with locations in San Diego and Irvine. EvoNexus empowers motivated entrepreneurs to turn their transformative ideas into fundable, commercially viable companies and leverages community resources to provide what entrepreneurs need to be successful.",62,https://www.twitter.com/evonexus,https://www.linkedin.com/company/evonexus/,http://www.facebook.com/evoNexus,,Active,EvoNexus empowers motivated entrepreneurs to turn their transformative ideas into fundable and commercially viable companies.,1998-10-01,day,,,,,,http://evonexus.org/,info@evonexus.org,888.926.3987,,Incubator,Non Equity Assistance,186,191,,,21,21,On-Site,2020-08-31,"72,104","4,633",-0.4,-6.9,-7.2,"4,461","5,099.26",-34.91%,72,-41.79%,2.06,-7.64%,59.21%,9.04%,"4,631,047","1,539,520",49.8%,34,,,19,,,,,,USD,
VTF Capital,https://www.crunchbase.com/organization/vegastechfund,"Santa Monica, California, United States",,,"Greater Los Angeles Area, West Coast, Western US",,"VTF Capital is a seed stage venture fund investing in the future of commerce. We invest capital and sweat into innovative ideas transforming how products are made, distributed and accessed.",120,http://twitter.com/vtfcapital,http://www.linkedin.com/company/vegastechfund,https://www.facebook.com/vtfcapital/,,Active,VTF Capital is a seed-stage venture fund that finances vertical commerce and physical retail technology companies.,2012-01-01,year,,,,,,http://vtfcapital.com,ideas@vtfcapital.com,,,Micro VC,"Early Stage Venture, Seed",130,179,,10,25,25,,,,"6,176",1,1.7,1.4,"2,091","1,211.36",147.09%,57,-27.63%,2.44,18.69%,40.83%,-13.18%,"7,335,673","-4,704,145",-39.07%,22,,,,,,,,,,
Avalon Ventures,https://www.crunchbase.com/organization/avalon-ventures,"La Jolla, California, United States",,,"Greater San Diego Area, West Coast, Western US",,"Avalon’s long-standing and successful focus has been on seed and early stage companies, including many it formed in the life science and information technology sectors.  We believe this is the most challenging and rewarding period of company creation – we are former entrepreneurs driven by passionate people pursuing disruptive ideas in ever changing market environments.",376,http://twitter.com/AvalonVentures,https://www.linkedin.com/company/avalon-ventures,https://www.facebook.com/pages/Avalon-Ventures/111377768905156,,Active,Avalon Ventures is an early stage venture capital fund focused on information technology and life sciences.,1983-01-01,year,,,,,,http://www.avalon-ventures.com,info@avalon-ventures.com,617.902.0789,,Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",83,162,,51,37,37,,,,"5,433",-0.5,-1.1,1.6,"1,960","1,768.97",33.28%,119,214.66%,2.03,62.23%,71.51%,1.02%,"7,990,116","-2,272,010",-22.14%,42,,,13,,,,,67076,USD,67076
QueensBridge Venture Partners,https://www.crunchbase.com/organization/queensbridge-venture-partners,"Los Angeles, California, United States",,,"Greater Los Angeles Area, West Coast, Western US",,"QueensBridge Venture Partners has a history of engaging in highly competitive and visible markets. Our collective experience has shaped our approach to investing by allowing us to quickly recognize and capitalize on key trends. Furthermore, by focusing on co-investment opportunities with leading venture capital funds and angel investors in Silicon Valley, we have unique access to very attractive companies. Successful venture capital investing is highly influenced by a network of reputable investors. QBVP aligns itself with firms that have proven their ability to source and invest in the next generation of leading technology companies in Silicon Valley and emerging markets. We bring capital along with our network of industry veterans and corporate relationships to accelerate the development of the companies in which we co-invest. We seek to partner with firms that generate the most value among VCs and back the companies that reach enterprise value of over $1 billion on a regular basis. The general partners of QBVP are industry veterans in consumer products & services, media & entertainment and financial services. We have (i) advised tech, media and entertainment companies in raising over $20 billion of capital at bulge bracket Wall Street firms (e.g. Goldman Sachs; Deutsche Bank) (ii) started over twenty businesses, (iii) produced and/or recorded six number 1 albums on the Billboard 200, (iv) sold over 25 million records worldwide, (v) have products in over 3,000 stores.",61,https://twitter.com/qbvp,https://www.linkedin.com/company/queensbridge-venture-partners-llc,,,Active,"QueensBridge Venture Partners, LLC (""QBVP) has a history of engaging in highly competitive and visible markets.",2014-01-01,year,,,,,,http://www.qbvp.com,info@qbvp.com,,,Micro VC,"Debt, Early Stage Venture, Late Stage Venture, Seed",115,153,,,35,35,,,,"20,718",-0.1,1.5,1.9,"1,007","2,838.1",74.62%,,,1,-20.06%,100%,25.09%,"13,601,495","-2,764,647",-16.89%,5,,,4,,,,,,,
MedTech Innovator,https://www.crunchbase.com/organization/medtechinnovator,"Los Angeles, California, United States",,,"Greater Los Angeles Area, West Coast, Western US",,"MedTech Innovator is the industry’s nonprofit global competition and accelerator for medical device, digital health and diagnostic companies. Our mission is to improve the lives of patients by accelerating the growth of companies that are transforming the healthcare system. MedTech Innovator annually features 100 companies that address one or more of the transformative themes identified in an annual survey of leading manufacturers and providers.",10,https://twitter.com/medtechawards,https://www.linkedin.com/company-beta/7936854/,,,Active,"MedTech Innovator is a nonprofit global competition and accelerator for medical device, digital health, and diagnostic companies.",2016-07-01,day,,,,,,https://medtechinnovator.org/,,4153539425,,Accelerator,,128,133,,2,6,6,On-Site,2019-02-01,16,"31,593",1.5,0.9,-0.2,"3,968","5,778.21",-66.17%,130,180.64%,2.07,52.21%,50.25%,6.74%,"4,973,140","2,220,024",80.64%,57,,,18,,,,,46021,USD,46021
