Organization/Person Name,Organization/Person Name URL,Location,First Name,Last Name,Regions,Gender,Full Description,Number of Articles,Twitter,LinkedIn,Facebook,Estimated Revenue Range,Operating Status,Description,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Contact Email,Phone Number,Hub Tags,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Partner Investments,Number of Lead Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Next Application Deadline,Accelerator Duration (in weeks),CB Rank (Investor),Trend Score (7 Days),Trend Score (30 Days),Trend Score (90 Days),SimilarWeb - Monthly Visits,SimilarWeb - Average Visits (6 months),SimilarWeb - Monthly Visits Growth,SimilarWeb - Visit Duration,SimilarWeb - Visit Duration Growth,SimilarWeb - Page Views / Visit,SimilarWeb - Page Views / Visit Growth,SimilarWeb - Bounce Rate,SimilarWeb - Bounce Rate Growth,SimilarWeb - Global Traffic Rank,SimilarWeb - Monthly Rank Change (#),SimilarWeb - Monthly Rank Growth,BuiltWith - Active Tech Count,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,Siftery - Total Products Active,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD)
Techstars,https://www.crunchbase.com/organization/techstars,"Boulder, Colorado, United States",,,"Greater Denver Area, Western US",,"Techstars helps entrepreneurs succeed. Through the Techstars Worldwide Entrepreneur Network, founders and their teams connect with other entrepreneurs, experts, mentors, alumni, investors, community leaders, and corporate partners who will help their companies grow.  Techstars operates four divisions: Techstars Startup Programs, Techstars Mentorship-Driven Accelerator Programs, Techstars Corporate Innovation Partnerships, and the Techstars Venture Capital Fund. Techstars Mentorship-Driven Accelerator Program supercharges success and Techstars Startup Programs inspire, educate and connect entrepreneurs. Techstars Venture Capital Fund invests in the most innovative and disruptive Techstars companies to fuel their success. Techstars Corporate Innovation Partnerships helps brands create world-changing products and services. Techstars accelerator portfolio includes more than 1,000 companies with a market cap of $8.1 billion. www.techstars.com","3,543",https://twitter.com/techstars,https://www.linkedin.com/company/techstars/,https://www.facebook.com/techstars,$1M to $10M,Active,Techstars is the worldwide network that helps entrepreneurs succeed.,2006-10-01,day,,,,,For Profit,https://www.techstars.com/,info@techstars.com,+1 303-720-6559,,Accelerator,"Debt, Early Stage Venture, Seed","1,481","1,716",,64,164,164,On-Site,2018-06-30,,1,0,0,0,"382,679","453,848.85",-2.33%,129,-10.6%,2.68,-0.02%,59.42%,-4.02%,"148,791","7,337",5.19%,130,,,148,,,,,80464,USD,80464
Foundry Group,https://www.crunchbase.com/organization/foundry-group,"Boulder, Colorado, United States",,,"Greater Denver Area, Western US",,"Foundry Group is a venture capital firm focused on making early-stage technology investments, participating in select growth rounds, and identifying and supporting the next generation of venture fund managers. Our passion is working alongside entrepreneurs to give birth to new technologies and to build those technologies into industry-leading companies. We also seek to leverage our experience and relationships as fund managers to help new and existing venture firms create industry leading investment businesses. We’re centrally located in Boulder, CO, but we invest in companies and funds across North America.","1,738",http://twitter.com/foundrygroup,http://www.linkedin.com/company/foundry-group,http://www.facebook.com/pages/Foundry-Group/30841774504,,Active,Foundry Group is a venture capital firm focused on making investments in early-stage information technology.,2006-06-01,day,,,,,,http://www.foundrygroup.com,,(303) 642-4050,,Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",156,291,,154,53,53,,,,765,-2.4,-3.6,7.4,"7,822","9,351.14",-19.59%,96,-48.71%,3.09,-28.78%,36.14%,-7.85%,"2,570,163","669,074",35.19%,20,,,48,,,,,59317,USD,59317
Techstars Ventures,https://www.crunchbase.com/organization/bullet-time-ventures,"Boulder, Colorado, United States",,,"Greater Denver Area, Western US",,"Techstars Ventures (formerly Bullet Time Ventures) is the venture capital arm of Techstars. Bullet Time Ventures is a $150 million fund based in Boulder, Colorado.",42,http://twitter.com/techstars,https://www.linkedin.com/company/techstars,https://www.facebook.com/techstars,,Active,Techstars Ventures is a Colorado-based venture capital firm that empowers entrepreneurs to bring new technologies to the market.,2012-01-01,year,,,,,,http://techstars.com/ventures,,1(303) 720-6559,,"Micro VC, Venture Capital","Early Stage Venture, Seed",183,240,,24,52,52,,,,"3,312",-0.5,4,-4.6,,,,,,,,,,,,,37,,,,,,,,,,
Mobius Venture Capital,https://www.crunchbase.com/organization/mobius-venture-capital,"Boulder, Colorado, United States",,,"Greater Denver Area, Western US",,"Mobius Venture Capital is an early-stage venture capital fund comprised of seasoned veterans and entrepreneurs from leading technology companies, who bring not only deep domain expertise, but also hands-on operating experience to the companies in their portfolio.  Mobius Venture Capital began investing in 1996 -- early investments included Geocities, ELoan, USWeb, and Verisign. The current fund, Mobius VI, has been invested in over sixty innovative technology companies including, Akustica, Danger, deCarta, FeedBurner (Acq. GOOG), Impinj, Infinera (Nasdaq: INFN), LRN, Postini (Acq. GOOG), Quova, Sling Media (Acq. DISH), Stratify (Acq. IRM), and Technorati. They encourage you to learn more about their team and their portfolio on this site, and they welcome any questions or comments. Mobius Venture Capital has offices in Boulder, Colorado and Palo Alto, California.",154,,,,,Active,"Mobius Venture Capital is an early-stage venture capital fund that invests in various sectors, including healthcare and infrastructure.",1996-01-01,year,,,,,,http://www.mobiusvc.com,,,,Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity, Seed",85,149,,53,42,42,,,,"7,057",0.5,3.7,3.5,308,171.14,,2,,1.5,,49.52%,,"21,018,678",,,4,,,3,,,,,,,
Boomtown Accelerators,https://www.crunchbase.com/organization/boomtown-accelerator,"Boulder, Colorado, United States",,,"Greater Denver Area, Western US",,"Boomtown supports great people in building great companies. Boomtown's bespoke accelerator programs help startups turn ideas into profitable, scalable businesses. From health tech and connectivity to hardware and IoT, Boomtown builds custom programs for each company’s needs. Founders receive $20K in seed funding, $1.7MM+ in discounts and perks, customized curriculum, strategic support from partners and staff, office space and amenities, access to expert mentors, connections to accelerator alumni, Demo Day, and exposure to potential corporate customers and funding. ",7,http://twitter.com/boomtown,https://www.linkedin.com/company/boomtownaccelerators/,https://www.facebook.com/Boomtownaccelerators,,Active,"Boomtown's bespoke accelerator programs help startups turn ideas into profitable, scalable businesses. ",2013-12-01,day,,,,,,http://www.boomtownaccelerators.com,woot@boomtownboulder.com,,,Accelerator,Seed,116,131,,1,3,3,On-Site,2019-11-18,12,850,6.7,4.8,7.1,"2,749","4,305.62",-50.46%,105,-62.24%,2.36,-13.06%,33.05%,12.45%,"6,044,200","2,694,937",80.46%,25,,,,,,,,,,
Service Provider Capital,https://www.crunchbase.com/organization/service-provider-capital,"Golden, Colorado, United States",,,"Greater Denver Area, Western US",,"Service Provider Capital is a venture capital fund that co-invests in series A deals led by institutional venture funds. It was founded in 2014 and is based in Golden, Colorado.",12,,,,,Active,"Venture fund whose limited partners include the most knowledgeable, respected and best connected service providers in the industry.",2014-10-20,day,,,,,,http://www.serviceprovidercapital.com,founders@serviceprovidercapital.com,,,Venture Capital,"Early Stage Venture, Seed",121,124,,,9,9,,,,"7,432",-0.3,-1,-3.5,43,398.32,-90.83%,,,1,0%,100%,0%,"33,718,127","14,879,403",78.98%,10,,,,,,,,,,
Techstars Boulder Accelerator,https://www.crunchbase.com/organization/techstars-boulder-accelerator,"Boulder, Colorado, United States",,,"Greater Denver Area, Western US",,"Since 2007, its amazing mentors help founders avoid mistakes, solve problems and take their businesses to the next level. Techstars Boulder creates a family of entrepreneurs to travel with you on the inevitable ups and downs of the startup journey, and build the capacities of founders and their teams. They believe the best companies are built from the inside out, from founders, to leadership teams, to the company and their community. Its 124 alumni companies include Digital Ocean, Sphero, and SendGrid.",1,,,,,Active,Techstars Boulder Accelerator helps founders and their teams to take their businesses to the next level.,2007-01-01,year,,,,,,https://www.techstars.com/programs/boulder-program/,info@techstars.com,,,Accelerator,Seed,120,120,,,31,31,,2019-10-13,12,"23,090",-0.1,0.2,-0.2,,,,,,,,,,,,,37,,,,,,,,,,
Boulder Ventures,https://www.crunchbase.com/organization/boulder-ventures,"Boulder, Colorado, United States",,,"Greater Denver Area, Western US",,Boulder Ventures invests in early stage information technology and life science companies in Colorado and the Mid-Atlantic.,60,,,,,Active,Boulder Ventures invests in early stage information technology and life science companies in Colorado and the Mid-Atlantic.,1995-01-01,year,,,,,,http://www.boulderventures.com,,301-913-0213,,Venture Capital,"Debt, Early Stage Venture, Late Stage Venture, Seed",42,93,,23,25,25,,,,"8,074",0.7,0.1,-0.9,912,"1,472.52",92.28%,49,-36.08%,2.45,-26.57%,56.32%,25.33%,"11,401,851","-2,846,036",-19.98%,7,,,15,,,,,76893,USD,76893
Access Venture Partners,https://www.crunchbase.com/organization/access-venture-partners,"Westminster, Colorado, United States",,,"Greater Denver Area, Western US",,"Access Venture Partners is an entrepreneur-focused fund that invests in early stage technology companies to help entrepreneurs build new companies. It has invested in over 65 companies and employees nearly 4,000 people and growing. It adds value to its portfolio of companies beyond the capital it invests including involvement in business strategy, recruiting, fund raising, and ultimate exit of the business. Access Venture Partners actively participates in building the management and distribution infrastructure required to grow new businesses. It typically makes its initial investment as part of the first institutional round and often continues investing in subsequent rounds. Access Venture Partners was founded in 1999 by [Frank Mendicino III](https://www.crunchbase.com/person/frank-mendicino).",89,http://twitter.com/AccessVP,http://www.linkedin.com/company/access-venture-partners,,,Active,Access Venture Partners is an entrepreneur-focused fund investing in early growth technology companies in the Rocky Mountain region,1999-01-01,year,,,,,,http://www.accessvp.com,mail@accessvp.com,303-426-8899,,Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",47,78,,22,15,15,,,,"3,880",3.2,-0.4,3.5,966,"1,866.21",-83.66%,17,-61.82%,2.13,15.58%,18.97%,-5.44%,"11,438,133","6,977,804",156.44%,3,,,10,,,,,79047,USD,79047
CanopyBoulder,https://www.crunchbase.com/organization/canopyboulder,"Boulder, Colorado, United States",,,"Greater Denver Area, Western US",,"CanopyBoulder is a mentorship-driven seed-stage investment program for startups in the cannabis industry, with a focus on ancillary products and services.",11,http://twitter.com/CanopyBoulder,https://www.linkedin.com/company/canopy-boulder,http://www.facebook.com/canopyboulder,,Active,CanopyBoulder is a mentorship-driven seed-stage business accelerator and investment fund,2014-01-01,year,,,,,,http://www.canopyboulder.com,info@canopyboulder.com,(303) 586-4745,,Accelerator,Seed,67,77,,2,2,2,On-Site,2019-03-29,15,"1,617",-0.5,-1.3,-0.1,"5,939","5,311.17",69.63%,53,8.41%,2.84,29.69%,42.39%,-14.74%,"3,583,913","-1,598,547",-30.85%,39,,,,,,,,,,
