Organization/Person Name,Organization/Person Name URL,Location,First Name,Last Name,Regions,Gender,Full Description,Number of Articles,Twitter,LinkedIn,Facebook,Estimated Revenue Range,Operating Status,Description,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Contact Email,Phone Number,Hub Tags,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Partner Investments,Number of Lead Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Next Application Deadline,Accelerator Duration (in weeks),CB Rank (Investor),Trend Score (7 Days),Trend Score (30 Days),Trend Score (90 Days),SimilarWeb - Monthly Visits,SimilarWeb - Average Visits (6 months),SimilarWeb - Monthly Visits Growth,SimilarWeb - Visit Duration,SimilarWeb - Visit Duration Growth,SimilarWeb - Page Views / Visit,SimilarWeb - Page Views / Visit Growth,SimilarWeb - Bounce Rate,SimilarWeb - Bounce Rate Growth,SimilarWeb - Global Traffic Rank,SimilarWeb - Monthly Rank Change (#),SimilarWeb - Monthly Rank Growth,BuiltWith - Active Tech Count,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,Siftery - Total Products Active,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD)
National Institutes of Health,https://www.crunchbase.com/organization/national-institutes-of-health,"Bethesda, Maryland, United States",,,"Washington DC Metro Area, East Coast, Southern US",,"National Institutes of Health is a biomedical research facility in the United States. It is affiliated to the United States Department of Health and Human Services. It is the primary agency of the United States government responsible for biomedical and health-related research. It conducts its own scientific research through its Intramural Research Program (IRP) and provides major biomedical research funding to non-NIH research facilities through its Extramural Research Program. National Institutes of Health has 1,200 principal investigators and more than 4,000 postdoctoral fellows in basic, translational, and clinical research. It comprises 27 separate institutes and centers that conduct research in different disciplines of biomedical science. With scientific accomplishments such as the discovery of fluoride to prevent tooth decay, the use of lithium to manage bipolar disorder, the creation of vaccines against hepatitis, Haemophilus influenzae (HIB) and human papillomavirus, National Institutes of Health has many agencies under its control. National Institutes of Health was established in 1887. It is based in Bethesda, Maryland.","5,840",http://twitter.com/NIHforHealth,http://www.linkedin.com/company/national-institutes-of-health,http://www.facebook.com/nih.gov,,Active,National Institutes of Health is a biomedical research facility in the United States that focuses on biomedical and health-related research.,1887-01-01,day,,,,,,http://www.nih.gov,NIHinfo@od.nih.gov,844.517.3111,,Entrepreneurship Program,"Grant, Seed",266,329,,176,33,33,,1995-01-01,,2,0,0,1.8,"157,627,617","169,748,165.35",-2.1%,231,0.76%,3.02,-1.61%,65.7%,-0.06%,269,14,5.49%,14,38,257,112,,,,,,,
National Science Foundation,https://www.crunchbase.com/organization/national-science-foundation,"Alexandria, Virginia, United States",,,"Washington DC Metro Area, East Coast, Southern US",,"America’s Seed Fund powered by NSF awards nearly $200 million annually to startups and small businesses, transforming scientific discovery into products and services with commercial and societal impact. Startups working across almost all areas of science and technology can receive up to $1.5 million in non-dilutive funds to support research and development (R&D), helping de-risk technology for commercial success. America’s Seed Fund is congressionally mandated through the Small Business Innovation Research (SBIR) program. The NSF is an independent federal agency with a budget of about $7.8 billion that supports fundamental research and education across all fields of science and engineering.","3,349",http://twitter.com/NSFSBIR,https://www.linkedin.com/company/national-science-foundation,http://www.facebook.com/US.NSF,,Active,America’s Seed Fund at the National Science Foundation awards nearly $200 million annually to startups and small businesses.,1950-05-10,day,,,,,,https://www.nsf.gov/,sbir@nsf.gov,703-292-8050,,"Entrepreneurship Program, Government Office","Grant, Seed",210,278,,123,14,14,,,,204,8,3.2,4.8,"1,679,272","1,838,170.5",17.66%,218,6.46%,5.23,21.23%,54.76%,-0.68%,"31,404","-6,015",-16.07%,56,6,"1,055",,,,,,,,
The Carlyle Group,https://www.crunchbase.com/organization/the-carlyle-group,"Washington, District of Columbia, United States",,,"Washington DC Metro Area, Southern US",,"The Carlyle Group is a company involved in the Private Equity Industry primarily. They operate more than $81.1 billion of equity capital under management. The firm operates four fund families, focusing on leveraged buyouts, venture & growth capital, real estate and leveraged finance investments. They recently opened up another arm for their hedge funds. The firm employs more than 575 investment professionals in 21 countries with several offices in North America, South America, Europe, Asia and Australia; its portfolio companies employ more than 286,000 people worldwide. Carlyle has over 1200 institutional and private investors in 68 countries.","1,320",http://twitter.com/OneCarlyle,http://www.linkedin.com/company/the-carlyle-group,https://www.facebook.com/onecarlyle,,Active,The Carlyle Group is a Washington-based private equity firm that caters to early and later stage companies.,1987-01-01,year,2012-05-03,day,,,For Profit,http://www.carlyle.com,media@carlyle.com,(202) 465-7700,,Private Equity Firm,"Early Stage Venture, Late Stage Venture, Private Equity",166,216,,93,77,77,,,,"1,143",-0.9,7.6,1.5,"195,722","183,029.38",6.04%,181,-14.47%,3.31,-2.78%,47.1%,-3.43%,"254,303","1,537",0.61%,42,,,30,,,,,3952263,USD,3952263
In-Q-Tel,https://www.crunchbase.com/organization/in-q-tel,"Arlington, Virginia, United States",,,"Washington DC Metro Area, East Coast, Southern US",,In-Q-Tel identifies and partners with companies developing cutting-edge technologies to help deliver these solutions to the Central Intelligence Agency and the broader U.S. Intelligence Community (IC) to further their missions.,525,,https://www.linkedin.com/company/20919,,,Active,In-Q-Tel identifies and partners with companies developing cutting-edge technologies to help deliver these solutions to the Central,1999-01-01,year,,,,,,https://www.iqt.org/,info@iqt.org,650-234-8999,,Government Office,"Debt, Early Stage Venture, Grant, Late Stage Venture, Seed",138,180,,34,61,61,,,,"18,414",-0.4,-0.7,-0.7,"11,845","30,121.72",-35.31%,142,-17.22%,2.87,-0.96%,42.59%,7.67%,"2,043,616","549,340",36.76%,38,,,32,,,,,843751,USD,843751
Columbia Capital,https://www.crunchbase.com/organization/columbia-capital,"Alexandria, Virginia, United States",,,"Washington DC Metro Area, East Coast, Southern US",,"[Columbia Capital](http://www.colcap.com) is a venture capital franchise in wireless, broadband, media, and enterprise information technology investing.",150,http://twitter.com/ColumbiaCapital,https://www.linkedin.com/company/columbia-capital,,,Active,"Columbia Capital is a venture capital franchise in wireless, broadband, media, and enterprise information technology investing.",1989-01-01,year,,,,,,http://www.colcap.com,,(703) 519-2000,,Venture Capital,"Debt, Early Stage Venture, Late Stage Venture, Private Equity",91,174,,47,46,46,,,,"3,972",4.5,5,5,"8,626","2,460.16",750.24%,38,,2.27,127.3%,1.75%,-98.25%,"3,265,392","-10,858,219",-76.88%,27,,,,,,,,59723,USD,59723
International Finance Corporation,https://www.crunchbase.com/organization/international-finance-corporation,"Washington, District of Columbia, United States",,,"Washington DC Metro Area, Southern US",,"IFC fosters sustainable economic growth in developing countries by financing private sector investment, mobilizing capital in the international financial markets, and providing advisory services to businesses and governments. IFC helps companies and financial institutions in emerging markets create jobs, generate tax revenues, improve corporate governance and environmental performance, and contribute to their local communities. The goal is to improve lives, especially for the people who most need the benefits of growth.",743,http://twitter.com/IFC_org,https://www.linkedin.com/company/ifc---international-finance-corporation,https://www.facebook.com/IFCwbg,,Active,International Finance Corporation is a private equity and venture capital subsidiary focused on the private sector in developing countries.,1956-07-25,day,,,,,,http://www.ifc.org,vc@ifc.org,,,"Government Office, Private Equity Firm, Venture Capital","Debt, Early Stage Venture, Late Stage Venture, Private Equity, Seed",138,171,,86,24,24,,,,"1,550",3.7,-2.2,4.6,"463,541","394,947.45",48.99%,113,1.55%,2.53,-7.46%,59.19%,-0.94%,"134,369","-29,325",-17.91%,45,,,19,,,,,203862332,USD,203862332
Grotech Ventures,https://www.crunchbase.com/organization/grotech-ventures,"Vienna, Virginia, United States",,,"Washington DC Metro Area, East Coast, Southern US",,"As one of the longest-established firms in the venture industry, Grotech Ventures has built a reputation for being a collaborative, long-term partner for CEOs and entrepreneurs by aligning their definition of success with that of their partners. They initially invest between $500,000 and $5 million in early stage, high growth technology companies, reserving significant capital for subsequent investments to support companies through early and growth stages. They look to partner with entrepreneurs who have fresh ideas, breakthrough innovations and unconventional approaches that will yield explosive growth. They believe that their ability to meaningfully contribute to a business’s development is just as important as the capital they invest. As such, they seek investment opportunities that offer them the chance to leverage the experience, insight and network they have built since their inception in 1984. Their approach is personal and long-term, not institutional.",300,http://twitter.com/GrotechVenture,http://www.linkedin.com/company/grotech-capital-group,,,Active,"Grotech Ventures is an early stage venture capital firm with a reputation for being a collaborative, long-term partner for entrepreneurs.",1984-01-01,year,,,,,,http://www.grotech.com,,,,Venture Capital,Early Stage Venture,93,154,,71,31,31,,,,"3,667",-0.3,-0.6,-0.6,"2,663","1,808.19",126.5%,245,"3,033.26%",3.04,118.72%,25.96%,-34.94%,"5,659,064","-5,817,153",-50.69%,8,,,12,,,,,156773,USD,156773
CIT GAP Funds,https://www.crunchbase.com/organization/cit-gap-funds,"Herndon, Virginia, United States",,,"Washington DC Metro Area, East Coast, Southern US",,"CIT GAP Funds is a family of seed- and early-stage investment funds placing near-equity and equity investments in Virginia-based technology, life science, and cleantech companies.  CIT GAP Funds invests in companies with a high potential for achieving rapid growth and generating significant economic return for entrepreneurs, co-investors and the Commonwealth of Virginia.  CIT’s family of funds includes: GAP Fund I – A vintage 2004 fund fully invested in a broad array of seed-stage technology companies. Portfolio. GAP BioLife Fund – A seed fund investing exclusively in life science companies.  GAP Tech Fund – A seed fund investing in IT and technology companies. Commonwealth Energy Fund (CEF), a seed fund investing in energy efficiency and renewable energy companies.",27,http://twitter.com/citgapfunds,http://www.linkedin.com/company/center-for-innovative-technology,https://www.facebook.com/centerforinnovativetechnology,,Active,"CIT GAP Funds makes seed-stage equity investments in technology and life science companies based in Virginia, USA.",2003-01-01,year,,,,,,http://www.citgapfunds.org,gap@cit.org,(703) 689-3000,,Venture Capital,"Early Stage Venture, Private Equity, Seed",130,141,,20,26,26,,,,"4,589",1.5,5.7,4.1,,23.45,,,,,,,,,,,15,,,,,,,,,,
QED Investors,https://www.crunchbase.com/organization/qed-investors,"Alexandria, Virginia, United States",,,"Washington DC Metro Area, East Coast, Southern US",,"QED Investors actively supports high-growth businesses that use information to compete and win. While our support is tailored to the specific needs of each portfolio company, we typically provide a combination of both capital and capability. With operationally-oriented skills that we believe are both fundamentally applicable and broadly transferable, we enjoy working closely with a small set of carefully selected companies that range in size and style. But common to all of our partnerships is a shared conviction that information plays a decisive role in the success of the company, a mutual desire for a high degree of direct engagement, and a shared enthusiasm for experimentation and learning.",137,https://twitter.com/QEDInvestors,http://www.linkedin.com/company/qed-investors,http://www.facebook.com/QEDInvestors,,Active,QED Investors actively supports high-growth businesses that use information to compete — and win.,2007-01-01,day,,,,,,http://www.qedinvestors.com,,,,Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity, Seed",81,126,,31,16,16,,,,"2,823",-0.1,5.5,-0.9,"5,069","4,021.16",25.29%,70,-2.77%,5.65,-8.39%,33.66%,16.8%,"2,861,751","-387,430",-11.92%,35,,,8,,,,,,,
US Department of Energy,https://www.crunchbase.com/organization/us-department-of-energy,"Washington, District of Columbia, United States",,,"Washington DC Metro Area, Southern US",,"The Energy Department is to ensure America’s security and prosperity by addressing its energy, environmental and nuclear challenges through transformative science and technology solutions.","1,145",http://twitter.com/energy,https://www.linkedin.com/company/u-s--department-of-energy,http://www.facebook.com/energygov,,Active,US Department of Energy was founded in 1977 and traces its lineage to the Manhattan Project.,1977-08-04,day,,,,,For Profit,http://www.energy.gov/,The.Secretary@hq.doe.gov,(800) 877-8339,,Government Office,"Debt, Early Stage Venture, Grant, Seed",105,119,,50,28,28,,,,"2,699",4.2,0.9,-0.2,"2,543,357","2,801,836.97",-4.64%,103,-3.16%,2.17,-0.59%,72.68%,0.4%,"30,702","2,411",8.52%,123,,,62,218,64,Testing,Scientific and technological services,,,
