Organization/Person Name,Organization/Person Name URL,Location,First Name,Last Name,Regions,Gender,Full Description,Number of Articles,Twitter,LinkedIn,Facebook,Estimated Revenue Range,Operating Status,Description,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Contact Email,Phone Number,Hub Tags,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Partner Investments,Number of Lead Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Next Application Deadline,Accelerator Duration (in weeks),CB Rank (Investor),Trend Score (7 Days),Trend Score (30 Days),Trend Score (90 Days),SimilarWeb - Monthly Visits,SimilarWeb - Average Visits (6 months),SimilarWeb - Monthly Visits Growth,SimilarWeb - Visit Duration,SimilarWeb - Visit Duration Growth,SimilarWeb - Page Views / Visit,SimilarWeb - Page Views / Visit Growth,SimilarWeb - Bounce Rate,SimilarWeb - Bounce Rate Growth,SimilarWeb - Global Traffic Rank,SimilarWeb - Monthly Rank Change (#),SimilarWeb - Monthly Rank Growth,BuiltWith - Active Tech Count,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,Siftery - Total Products Active,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD)
NYSERDA,https://www.crunchbase.com/organization/nyserda,"Albany, New York, United States",,,"East Coast, Northeastern US",,"New York State Energy Research and Development Authority (NYSERDA) is a public benefit corporation created in 1975. NYSERDA's earliest efforts focused solely on research and development with the goal of reducing the State's petroleum consumption. Subsequent research and development projects focused on topics including environmental effects of energy consumption, development of renewable resources, and advancement of innovative technologies.",10,http://www.twitter.com/nyserda,,http://www.facebook.com/NYSERDA,,Active,"The New York State Energy Research and Development Authority, is a public benefit corporation.",1975-01-01,year,,,,,,https://www.nyserda.ny.gov/,info@nyserda.ny.gov,212-971-5342,,Government Office,"Early Stage Venture, Grant, Non Equity Assistance, Seed",575,"1,001",,3,74,74,,,,"6,303",-0.4,-0.9,2.3,"178,831","162,259.75",27.1%,108,-14.16%,2.39,-11.56%,68.93%,5.75%,,,,27,,,,,,,,1207236,USD,1207236
Alumni Ventures Group,https://www.crunchbase.com/organization/alumni-ventures-group,"Manchester, New Hampshire, United States",,,"East Coast, New England, Northeastern US",,"Alumni Ventures Group helps accredited alums from top entrepreneurial schools invest together in the ventures of fellow alums. The firm backs companies with an alumni connection and an institutional lead investor with expertise in the space. AVG also offers focused funds that allow any accredited investor access to a venture portfolio, diversified by type, sector, stage, and geography.",23,https://twitter.com/avgfunds,https://www.linkedin.com/company/4982081/,https://www.facebook.com/avgfunds,,Active,"AVG provides high-quality, diversified venture portfolios to individual investors who previously haven't had access to VC.",2013-10-01,day,,,,,,http://www.avgfunds.com,info@avgfunds.com,603-518-8112,,Venture Capital,"Convertible Note, Early Stage Venture, Initial Coin Offering, Late Stage Venture, Seed, Venture",220,251,,,17,17,,,,41,-1.3,-1,9.7,"55,026","68,214.44",-19.85%,95,-23.7%,3.04,26.85%,45.09%,-9.53%,"665,208","43,640",7.02%,74,,,,,,,,273547,USD,273547
Intersouth Partners,https://www.crunchbase.com/organization/intersouth-partners,"Durham, North Carolina, United States",,,"Research Triangle, East Coast, Southern US",,"Intersouth Partners is one of the most active and experienced venture funds in the Southeast, having invested in more than 100 private companies over the last three decades. Founded in 1985, Intersouth manages $780 million in seven venture capital limited partnerships, making it the largest venture capital fund in North Carolina and one of the largest in the Southeast.",86,http://twitter.com/intersouth,http://www.linkedin.com/company/intersouth-partners,http://www.facebook.com/pages/Intersouth-Partners/12568563414607,,Active,"Intersouth Partners is one of the most active and experienced venture funds in the Southeast, having invested in more than 100 private",1984-01-01,year,,,,,,http://www.intersouth.com,contact@intersouth.com,,,Venture Capital,"Debt, Early Stage Venture, Late Stage Venture, Private Equity, Seed",71,159,,36,35,35,,,,"5,572",0.1,4.5,4.5,489,470.12,-34.27%,21,-79.66%,2.31,-65%,17.75%,17.75%,"15,735,843","5,960,898",60.98%,13,,,9,,,,,89209,USD,89209
ATDC,https://www.crunchbase.com/organization/atdc,"Atlanta, Georgia, United States",,,"Greater Atlanta Area, East Coast, Southern US",,"Atdc Helps Entrepreneurs Launch And Build Transformative Technology Companies. Atdc Increases An Entrepreneur’S Likelihood Of Success By Orchestrating Connections To Coaching, Capital, Customers And Campus Resources & Talent.",24,http://twitter.com/atdc,http://www.linkedin.com/company/50999,http://www.facebook.com/atdcgt,,Active,ATDC helps entrepreneurs launch and build transformative technology companies.,1980-01-01,year,,,,,,http://atdc.org/,info@atdc.org,(404) 894-3575,,"Incubator, University Program","Early Stage Venture, Late Stage Venture",44,146,,8,11,11,,,,"11,793",-0.1,-0.2,-0.1,"14,786","12,609.37",206.02%,121,-48.57%,2.59,-1.65%,21.68%,-16.38%,"1,973,406","-1,754,966",-47.07%,37,,,,,,,,,,
Greenspring Associates,https://www.crunchbase.com/organization/greenspring-associates,"Owings Mills, Maryland, United States",,,"Greater Baltimore-Maryland Area, East Coast, Southern US",,"Founded in 2000 to focus solely on venture capital investments, Greenspring Associates is a leading global investment firm that provides commingled fund and customized partnership capabilities to a diverse group of institutions and individuals in North America, Europe, Asia, Middle East and Australia. Through a synergistic platform, the Firm invests in established and emerging venture capital fund managers, in early and growth stage venture-backed companies and in secondary venture capital fund and secondary direct investments. Currently managing over $7.3 billion of committed capital, its dedicated investment team combines broad venture fund and direct investment expertise.",230,http://twitter.com/GreenspringVC,http://www.linkedin.com/company/909296,http://www.facebook.com/Greenspring-Associates/10101982327,,Active,"Comprehensive platform focused on fund, direct and secondary investments solely within the venture capital asset class.",2000-01-01,year,,,,,,http://greenspringassociates.com,info@gspring.com,410 363 2725,,"Fund Of Funds, Venture Capital","Early Stage Venture, Late Stage Venture, Private Equity",118,145,,38,63,63,,,,"3,995",2.2,-1,-0.7,"4,692","7,486.75",-77.33%,131,257.94%,2.95,96.01%,37.22%,3.68%,"3,806,276","1,939,983",103.95%,35,,,15,,,,,1073465,USD,1073465
T. Rowe Price,https://www.crunchbase.com/organization/t-rowe-price,"Baltimore, Maryland, United States",,,"Greater Baltimore-Maryland Area, East Coast, Southern US",,"T. Rowe Price has a venture arm focused in investing in technology startups.  T. Rowe Price was founded in 1937 by Thomas Rowe Price Jr. and managing over $453 billion in assets (as of September 30, 2011). Company serves individuals, financial intermediaries and institutions and offers a full range of investment strategies across broad spectrum: debt, equities, private equities etc.","1,338",http://twitter.com/troweprice,http://www.linkedin.com/company/t.-rowe-price,http://www.facebook.com/troweprice,,Active,T. Rowe Price is a Maryland-based investment management firm dedicated to funding technology startups.,1937-04-01,day,1986-08-11,day,,,,http://www.troweprice.com,info@troweprice.com,410-345-2000,,Private Equity Firm,"Early Stage Venture, Late Stage Venture, Private Equity",101,139,,51,57,57,,,,"1,401",-1.7,-2.7,-2.2,"3,522,407","3,222,913.12",15.1%,355,3.31%,8.91,0.02%,16.17%,-2.29%,"11,178","-1,956",-14.89%,72,15,"27,633",35,,,,,,,
Total Access Fund,https://www.crunchbase.com/organization/total-access-fund,"Manchester, New Hampshire, United States",,,"East Coast, New England, Northeastern US",,Total Access Fund is offers a number of programs for those interested in venture investing and building growth companies.,,,,,,Active,Total Access Fund is offers a number of programs for those interested in venture investing and building growth companies.,,,,,,,,https://www.avgfunds.com/total-access/,,,,Venture Capital,,128,131,,,9,9,,,,"2,465",-1.5,-3.1,7.3,,,,,,,,,,,,,36,,,,,,,,,,
JMI Equity,https://www.crunchbase.com/organization/jmi-equity,"Baltimore, Maryland, United States",,,"Greater Baltimore-Maryland Area, East Coast, Southern US",,"JMI Equity is a private equity and venture capital firm specializing in investments in growth equity, management buyouts, acquisitions, shareholder liquidity, and recapitalizations. The firm seeks to invest across early-stage, mid-stage, late-venture, and expansion-stage software, internet, business services, and healthcare IT companies. JMI Equity was founded in 1992 and is based in Baltimore, Maryland with an additional office in La Jolla, California.",230,,http://www.linkedin.com/company/44734,,,Active,"JMI Equity is a Maryland-based growth equity firm that invests in software, internet, business services, and healthcare IT companies.",1992-01-01,year,,,,,,http://www.jmi.com/,,410-637-8360,,Private Equity Firm,"Early Stage Venture, Late Stage Venture, Private Equity",87,121,,63,46,46,,,,"2,935",5.4,6.1,-0.7,"6,909","6,068.5",35.78%,73,11.46%,2.2,17.24%,46.24%,7.63%,"3,300,835","-1,103,114",-25.05%,34,,,15,,,,,10733,USD,10733
Noro-Moseley Partners,https://www.crunchbase.com/organization/noro-moseley-partners,"Atlanta, Georgia, United States",,,"Greater Atlanta Area, East Coast, Southern US",,"NMP is a venture capital firm that has invested in more than 160 promising start-ups and early-growth-stage companies in the technology, healthcare and business services industries. The firm is based in Atlanta, Georgia, and invests primarily in companies located in the southeastern United States.",51,,https://www.linkedin.com/company/noro-moseley-partners,,,Active,"NMP is a venture capital firm that has invested in more than 160 promising start-ups and early-growth-stage companies in the technology,",1983-01-01,year,,,,,,http://www.noromoseley.com,info@noro-moseley.com,404.233.1966,,Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",72,116,,31,37,37,,,,"4,938",-0.3,3.1,-0.9,"1,178","1,630.23",-52.76%,94,90.7%,2.47,-20.12%,41.68%,-7.51%,"10,315,575","4,460,879",76.19%,27,,,11,,,,,82273,USD,82273
VentureSouth,https://www.crunchbase.com/organization/south-carolina-angel-network,"Greenville, South Carolina, United States",,,"East Coast, Southern US",,VentureSouth is an early stage investment firm that operates angel groups and committed capital funds in the Carolinas.,5,http://twitter.com/venturesouth_vc,https://www.linkedin.com/company/venturesouth-vc/,,,Active,VentureSouth is an early stage venture firm that operates angel groups and funds in the Southeast.,2014-01-01,day,,,,,,http://venturesouth.vc,paul@venturesouth.vc,,,Angel Group,"Early Stage Venture, Seed",57,113,,8,9,9,,,,"1,188",-0.1,9.2,9,"1,136","1,516.82",-28.58%,110,28.03%,3,31.43%,48.17%,-20.39%,"9,588,624","1,107,606",13.06%,26,,,,,,,,,,
