Organization/Person Name,Organization/Person Name URL,Location,First Name,Last Name,Regions,Gender,Full Description,Number of Articles,Twitter,LinkedIn,Facebook,Estimated Revenue Range,Operating Status,Description,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Contact Email,Phone Number,Hub Tags,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Partner Investments,Number of Lead Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Next Application Deadline,Accelerator Duration (in weeks),CB Rank (Investor),Trend Score (7 Days),Trend Score (30 Days),Trend Score (90 Days),SimilarWeb - Monthly Visits,SimilarWeb - Average Visits (6 months),SimilarWeb - Monthly Visits Growth,SimilarWeb - Visit Duration,SimilarWeb - Visit Duration Growth,SimilarWeb - Page Views / Visit,SimilarWeb - Page Views / Visit Growth,SimilarWeb - Bounce Rate,SimilarWeb - Bounce Rate Growth,SimilarWeb - Global Traffic Rank,SimilarWeb - Monthly Rank Change (#),SimilarWeb - Monthly Rank Growth,BuiltWith - Active Tech Count,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,Siftery - Total Products Active,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD)
Marc Bell Ventures,https://www.crunchbase.com/organization/marc-bell-ventures,"Boca Raton, Florida, United States",,,"Greater Miami Area, East Coast, Southern US",,"Marc Bell Ventures is a venture capital firm that offers early-stage and private equity investment services to firms in the finance, hospitality, and entertainment industries. It was founded in 2000 by Marc Bell and is based in Florida.",,https://www.twitter.com/marcbell,https://www.linkedin.com/company/marc-bell-capital-partners,https://www.facebook.com/marcbell,,Active,"Marc Bell Capital is an investment firm with a focus on venture capital, private equity, finance, hospitality, and theatrical endeavors.",2000-03-01,day,,,,,,http://marcbell.com/venture-capital/,info@marcbell.com,(561) 988-1700,,"Private Equity Firm, Venture Capital","Debt, Early Stage Venture, Non Equity Assistance, Private Equity, Seed",149,152,,,32,32,,,,"7,059",1.5,2.1,1.6,530,560.16,-16.07%,59,-45.18%,2.99,-10.37%,,,"14,234,012","1,876,459",15.18%,25,,,11,,,,,,,
H.I.G. Capital,https://www.crunchbase.com/organization/hig-capital,"Miami, Florida, United States",,,"Greater Miami Area, East Coast, Southern US",,"H.I.G. Capital is an American global private equity and alternative assets investment firm with $30 billion of equity capital under management. The firm operates a family of private equity, growth equity, biohealth, real estate, credit/special situations, lending and syndicated credit funds. Based in Miami, and with offices in New York, Boston, Chicago, Dallas, Los Angeles, San Francisco and Atlanta, as well as affiliate offices in London, Hamburg, , Madrid, Milan, Paris ,Bogotá, Mexico City and Rio de Janeiro). H.I.G. Capital specializes in providing both debt and equity capital to small and mid-sized companies, utilizing an operationally focused/ value-added approach. H.I.G. currently operates a family of funds: > H.I.G.’s equity funds invest in management buyouts, recapitalizations and corporate carve-outs of both profitable as well as underperforming manufacturing and service businesses. > H.I.G.’s debt funds invest in senior, unitranche and junior debt financing to companies across the size spectrum, both on a primary (direct origination) basis, as well as on the secondary markets. H.I.G. is also a leading CLO manager, through its WhiteHorse family of vehicles, and manages a publicly traded BDC, WhiteHorse Finance. > Other H.I.G. funds invest in various real assets, including real estate and shipping.",67,http://twitter.com/HIGCapitalLLC,https://www.linkedin.com/company/h-i-g--capital,,$100M to $500M,Active,H.I.G. Capital is a global private equity and alternative assets investment firm with $31 billion of equity capital under management.,1993-01-01,year,,,,,,http://higcapital.com/,info@higcapital.com,,,Private Equity Firm,"Debt, Private Equity",98,129,,44,41,41,,,,453,-1,-0.4,-2.8,"35,596","39,615.5",0.18%,82,-54.46%,3.75,-63.47%,39.99%,1.49%,"918,628","329,970",56.05%,28,,,9,,,,,660971,USD,660971
Florida Institute for the Commercialization of Public Research,https://www.crunchbase.com/organization/institute-for-the-commercialization-of-public-research,"Boca Raton, Florida, United States",,,"Greater Miami Area, East Coast, Southern US",,"Formed by the Florida Legislature, the Florida Institute for the Commercialization of Public Research is a non-profit organization that works collaboratively with the technology licensing and commercialization offices of Florida's state universities and private research institutions to leverage a $2.5B+ research base and form investable companies that create clean jobs in new industries that are driving the global economy. With funding from the State of Florida through the Department of Economic Opportunity, and through the generosity of mentors, advisors and donors, the Florida Institute provides company building services, and seed funding through the Florida Technology Seed Capital Fund, to promising Florida startups.",,http://twitter.com/FL_Institute,https://www.linkedin.com/company-beta/3976741/,http://www.facebook.com/FICPR,,Active,Florida Institute for the Commercialization of Public Research supports new company creation based on publicly-funded research.,2011-07-01,day,,,,,,http://www.florida-institute.com,info@florida-institute.com,(561) 368-8889,,Micro VC,Seed,71,110,,6,5,5,,,,"12,945",1.1,1,1,980,"1,401.78",168.83%,232,,1.34,34.34%,82.83%,-17.17%,"13,257,071","-7,673,381",-36.66%,27,,,14,,,,,26311,USD,26311
Knight Foundation,https://www.crunchbase.com/organization/knight-foundation,"Miami, Florida, United States",,,"Greater Miami Area, East Coast, Southern US",,"Knight Foundation is a national foundation with strong local roots. We invest in journalism, in the arts, and in the success of cities where brothers John S. and James L. Knight once published newspapers. Our goal is to foster informed and engaged communities, which we believe are essential for a healthy democracy.  Through our Knight Enterprise Fund, we provides early-stage venture funding for media innovation. We invest in early-stage companies at the frontier of media and technology that improve people’s access to quality information because we believe this leads to healthier communities.",534,http://twitter.com/knightfdn,http://www.linkedin.com/company/john-s.-and-james-l.-knight-foundation,http://www.facebook.com/knightfdn,,Active,"Knight Foundation supports transformational ideas that promote quality journalism, advance media innovation, and engaged communities.",1950-01-01,year,,,,,,http://knightfoundation.org,web@knightfoundation.org,(305) 908-2600,,Venture Capital,"Early Stage Venture, Grant",88,97,,39,13,13,,,,"2,200",-1.9,-5.1,5.1,"92,402","88,683.02",41.4%,144,35.8%,2.29,15.14%,53.92%,0.86%,"496,691","-170,177",-25.52%,56,,,32,,,,,2157204,USD,2157204
Alliance Technology Ventures,https://www.crunchbase.com/organization/alliance-technology-ventures,"Sarasota, Florida, United States",,,"East Coast, Southern US",,"Alliance Technology Ventures is an investment firm that focuses on the semiconductor, communications, and life sciences industries. It was founded by Michael Henos in 1993. Alliance Technology Ventures is headquartered in Sarasota, Florida.",4,,,,,Active,"Alliance Technology Ventures is a U.S.-based investment firm focused on the semiconductor, communications, and life sciences industries.",1993-01-01,year,,,,,,http://www.alliancetechventures.com,,800-201-8615,,Venture Capital,"Early Stage Venture, Late Stage Venture",25,44,,7,12,12,,,,"16,783",1.3,0.6,0.1,,,,,,,,,,,,,2,,,,,,,,,,
Florida Funders,https://www.crunchbase.com/organization/florida-funders,"Tampa, Florida, United States",,,"Tampa Bay Area, East Coast, Southern US",,"Florida Funders provides a platform for accredited investors to view and invest in private Florida companies that are poised for rapid growth. We do this by blending the best of angel investing, venture capital, and equity crowdfunding, with the goal of achieving solid investor returns.",30,https://twitter.com/FloridaFunders,https://www.linkedin.com/company/floridafunders,https://www.facebook.com/flfunders,,Active,"Providing capital to Florida companies, deal flow to accredited investors, & support to the early stage ecosystem.",2013-01-01,year,,,,,,https://www.floridafunders.com/,info@floridafunders.com,(813) 775-6990,,Venture Capital,"Crowdfunding, Early Stage Venture",23,33,,9,,,,,,"2,706",-0.5,5.2,5,"2,486","2,927",-7.35%,140,-3.34%,2.91,16.01%,40.35%,16.3%,"6,181,114","243,789",4.11%,43,,,,,,,,,,
Tamiami Angel Funds,https://www.crunchbase.com/organization/tamiami-angel-fund,"Naples, Florida, United States",,,"East Coast, Southern US",,"Tamiami Angel Funds is a family of Florida Angel Funds that are a Member-owned and  Member-managed for-profit investment partnership.  We seeks to provide our Members an opportunity for active involvement in a diversified capital  investment process and a portfolio of high quality, high growth companies with a  preference toward those companies located in the State of Florida.",7,http://twitter.com/TamiamiAngels,,https://www.facebook.com/tamiamiangelfund,,Active,Tamiami Angel Funds enables private accredited investors to collectively make private equity investments.,2010-08-10,day,,,,,,http://tamiamiangels.com,susi@5advise.com,239.262.2212,,"Angel Group, Family Investment Office",Early Stage Venture,17,33,,2,,,,,,"7,577",4.6,4.6,4.5,318,353.44,-37.43%,94,"5,204.94%",3.96,205.24%,25.94%,-44.25%,"16,918,944","-268,692",-1.56%,10,,,9,,,,,,,
Ballast Point Ventures,https://www.crunchbase.com/organization/ballast-point-ventures,"St. Petersburg, Florida, United States",,,"Tampa Bay Area, East Coast, Southern US",,"With $360 million under management, Ballast Point Ventures invests in established but rapidly growing, privately owned companies, with a particular emphasis on companies located in the Southeast and Texas. This region accounts for 22% of the national GDP and the region's favorable business climate and strong quality of life make an attractive home to thousands of talented entrepreneurs working to build great companies.  The BPV partners have spent their careers building and investing in outstanding companies throughout the region – partnering with entrepreneurs who prefer to work with high quality partners ""in their own backyard"" who understand not only their businesses but also the local community. Our proximity to our portfolio companies and emphasis on long term relationships have allowed us to focus on adding value for our companies in ways that other firms investing across the country find difficult to match.  We are ""growth capital"" investors and we work with companies that demonstrate proven business models and have strong management teams. We invest in a diversified group of industries that we believe have favorable growth and investment characteristics, and in which both the BPV Partners and our partners at Raymond James Financial have substantial knowledge and experience. These industries include health care, business services, communications, information technology, financial services and consumer/retail.  Our experience shows that by partnering with outstanding entrepreneurs with experience, vision and integrity, we can invest across a broad range of industries and help our entrepreneur partners generate attractive investment returns for both themselves and their investors. We are financial and strategic partners rather than operators, and we prefer minority ownership stakes to control positions.",28,http://twitter.com/BallastPointVC,,https://www.facebook.com/id,,Active,"Ballast Point Ventures, a private equity firm, invests in established privately owned companies.",2001-01-01,year,,,,,,http://www.ballastpointventures.com,bizplans@ballastpointventures.com,813-288-8888,,Private Equity Firm,"Early Stage Venture, Private Equity",21,30,,17,3,3,,,,"8,443",-0.1,-0.6,0.3,955,"1,294.79",19.79%,87,68.3%,1.73,7.62%,58.42%,-0.35%,"13,188,251","-6,799",-0.05%,12,,,7,,,,,1425438,USD,1425438
Arsenal,https://www.crunchbase.com/organization/arsenal-venture-partners,"Winter Park, Florida, United States",,,"East Coast, Southern US",,"Arsenal is an execution stage venture capital firm that focuses on the intersection of the Government, large corporations, and emerging technology companies. We partner with visionary entrepreneurs to build exceptional businesses in the enterprise, commerce/logistics, and healthcare IT  sectors.",58,http://twitter.com/ArsenalVentures,https://www.linkedin.com/company/1583332?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A1583332%2Cidx%3A1-1-1%2CtarId%3A1441406482679%2Ctas%3AArsenal%20Venture%20Partners,,,Active,"Arsenal invests in companies with attractive growth characteristics, where our experience and network can be impactful.",2003-01-01,year,,,,,,http://www.arsenalgrowth.com,info@arsenalgrowth.com,(216) 456.2678,,Venture Capital,"Early Stage Venture, Late Stage Venture",20,29,,4,8,8,,,,"6,022",-0.4,-0.2,4.8,"1,649","1,660.93",40.24%,117,-36.74%,5.1,5.08%,20.17%,20.17%,"6,590,390","-1,543,720",-18.98%,17,,,,,,,,,,
Fortune Capital,https://www.crunchbase.com/organization/fortune-capital,"Coral Gables, Florida, United States",,,"Greater Miami Area, East Coast, Southern US",,,1,,,,,Active,Fortune Capital is a financial firm that concentrates on property transactions and investing.,,,,,,,,http://www.fcpmiami.com,,305.225.7255,,Venture Capital,,28,29,,16,1,1,,,,"9,123",-0.3,-0.6,0.9,"5,229",927.65,,0,,1,,30.77%,,"6,716,488",,,7,,,,,,,,,,
DeepWork Capital,https://www.crunchbase.com/organization/the-fan-fund,"Orlando, Florida, United States",,,"East Coast, Southern US",,"DeepWork Capital, previously known as FAN Fund, invests professionally managed committed venture capital in growth-oriented early-stage companies in the technology and life science sectors in Florida and surrounding areas. The Firm prefers to take a lead or co-lead investor role while working closely with other investment groups, and takes a hands-on approach with its portfolio companies. For additional information please see http://www.deepworkcapital.com.",1,https://twitter.com/DeepWorkCapital,https://www.linkedin.com/company/deepworkcapital/,,,Active,DeepWork Capital is an early stage investment firm that focuses on the underserved market of Florida and invests in high growth companies.,2015-10-31,day,,,,,,http://www.deepworkcapital.com,ben@deepworkcapital.com,(407) 988-3014,,"Micro VC, Venture Capital","Early Stage Venture, Seed",15,28,,13,,,,,,"5,018",-0.5,1.5,3.2,446,559.14,-11.44%,26,-60.42%,3.48,-33.56%,18.28%,18.28%,"14,919,267","2,558,485",20.7%,14,,,,,,,,,,
Miami Angels,https://www.crunchbase.com/organization/miami-angels,"Miami, Florida, United States",,,"Greater Miami Area, East Coast, Southern US",,"Miami Angels is a private investment group of like-minded accredited investors who look to partner and fund technology startups in Florida. Together, the Members of Miami Angels will utilize each other’s business experience in order to identify, evaluate and invest in high quality and high growth companies. Once a month, the Members meet in Miami to hear from 2-3 product-ready, top tier companies seeking capital.",3,https://www.twitter.com/miamiangelsvc,https://www.linkedin.com/company-beta/7965345/,,,Active, Miami Angels is a group of over 100 angel investors based in South Florida that funds Seed and Series A tech companies with early traction.,2014-05-01,day,,,,,,https://www.miamiangels.vc/,hello@miamiangels.vc,,,Angel Group,"Early Stage Venture, Seed",19,28,,3,1,1,,,,"5,670",0.4,-0.5,4.4,"1,283","1,695.68",-75.46%,184,"5,258.99%",1.82,55.01%,50.83%,22.45%,"10,649,682","4,872,938",84.35%,17,,,,,,,,,,
Quixotic Ventures,https://www.crunchbase.com/organization/quixotic-ventures,"Miami, Florida, United States",,,"Greater Miami Area, East Coast, Southern US",,,,,,,,Active,Quixotic Ventures is an active investor in early stage companies.,,,,,,,,,,,,Venture Capital,"Early Stage Venture, Seed",28,28,,,11,11,,,,"10,942",0,0.2,-0.3,,,,,,,,,,,,,13,,,,,,,,,,
TheVentureCity,https://www.crunchbase.com/organization/the-venture-city,"Miami, Florida, United States",,,"Greater Miami Area, East Coast, Southern US",,"TheVentureCIty is a new venture and growth acceleration model that helps diverse founders achieve global impact. They are led by an international DreamTeam, with experience in hypergrowth tech companies, and inspired by the need to transparency, diversity and fairness in the industry. theventure.city",5,https://twitter.com/TheVentureCity,https://www.linkedin.com/company/11150747/,https://www.facebook.com/TheVentureCity/,,Active,TheVentureCIty is a new venture and growth acceleration model that helps diverse founders achieve global impact.,2017-01-01,year,,,,,,https://theventure.city/,hello@theventure.city,,,Accelerator,"Early Stage Venture, Seed",26,27,,4,,,,2019-02-28,,"2,312",1.6,1.7,7.6,"6,884","4,146.59",30.91%,106,-18.51%,1.76,-24.36%,57.92%,15.76%,"3,843,423","44,374",1.17%,30,,,,,,,,,,
PeopleFund,https://www.crunchbase.com/organization/peoplefund,"Miami, Florida, United States",,,"Greater Miami Area, East Coast, Southern US",,"PeopleFund, a privately-held investment company that helps entrepreneurs from around the world accelerate the growth of their fun, positive-impact, scalable, profitable and sustainable companies. Our global network of partners, advisors and friends puts us in a position where very few other investment funds have been before, providing our companies with the right financing, contacts and advice to help them reach whatever incredible goal they’ve set for themselves. PeopleFund was founded by proven and successful serial entrepreneurs and is supplemented by an experienced support team. We have a passion for taking great business visions in any stage and growing them into larger and more profitable enterprises. For more information please visit http://www.peoplefund.com",18,http://twitter.com/PeopleFundInc,http://www.linkedin.com/company/peoplefund-inc-,http://www.facebook.com/PeopleFundInc,,Active,"PeopleFund is a global pioneer in value added investments focused on technology, internet and media.",2006-01-01,year,,,,,,http://www.peoplefund.com,info@peoplefund.com,,,Micro VC,"Early Stage Venture, Late Stage Venture, Private Equity, Seed",22,27,,2,6,6,,,,"7,842",0.9,1.8,1.6,461,"1,087.06",40.18%,79,,1.63,62.6%,37.4%,-62.6%,"17,488,822","-6,065,734",-25.75%,24,,,,,,,,,,
New World Angels,https://www.crunchbase.com/organization/new-world-angels,"Boca Raton, Florida, United States",,,"Greater Miami Area, East Coast, Southern US",,"New World Angels (NWA) is a group of private investors dedicated to providing equity capital to  early-stage entrepreneurial companies in the state of Florida. NWA has chapters in South Florida and the Tampa Bay area and is typically a lead or co-investor in transactions totaling between $0.5 million and $2.5 million. Members of NWA have extensive experience in founding, building, and managing companies     in a wide variety of industries. In addition to providing funding, NWA members  make their expertise and resource networks available to portfolio companies. NWA works closely with other regional and national venture firms. In addition, it is supported by such leading institutions as The Research Park at Florida Atlantic University, Enterprise Development Corporation, Florida Atlantic University, and Florida International University.",26,https://twitter.com/NWAngels,https://www.linkedin.com/company-beta/319724/,https://www.facebook.com/New-World-Angels-1537752449791568/,,Active,New World Angels is a group of private investors dedicated to providing equity capital to early-stage entrepreneurial companies.,2003-01-01,year,,,,,,http://www.newworldangels.com,info@newworldangels.com,(561) 372-6309,,Angel Group,"Early Stage Venture, Private Equity",21,27,,16,3,3,,,,"14,130",0.2,-0.2,-0.8,418,960.72,-81.61%,84,491.27%,2.9,53.01%,25.38%,-45.46%,"16,024,897","8,913,010",125.33%,16,,,10,,,,,,,
Athenian Venture Partners,https://www.crunchbase.com/organization/athenian-venture-partners,"Fort Lauderdale, Florida, United States",,,"Greater Miami Area, East Coast, Southern US",,"Founded in 1997, Athenian Venture Partners is a venture capital firm specializing in early stage investments in Information Technology, Healthcare and Digital Health. The firm seeks innovative businesses led by talented entrepreneurs and partners with them to build great companies. Athenian takes a hand-on, active approach, engaging with company management to add value during each phase of the business life cycle. In so doing, Athenian strives to deliver maximum shareholder value and drive economic vitality in its geographic markets.",17,https://twitter.com/AthenianVenture,https://www.linkedin.com/company/679230?trk=prof-exp-company-name,,,Active,"Founded in 1997, Athenian Venture Partners is a venture capital firm specializing in early stage investments in IT+Healthcare",1997-01-01,year,,,,,,http://www.athenianvp.com,info@athenianvp.com,614-360-1155,,Venture Capital,"Early Stage Venture, Late Stage Venture",13,26,,8,6,6,,,,"13,440",0.4,1.1,1.6,604,255.76,-5.4%,137,-20.32%,3.12,-15.25%,0%,-27.31%,"13,211,050","1,228,275",10.25%,11,,,,,,,,,,
Starlight Ventures,https://www.crunchbase.com/organization/starlight-ventures-management-llc,"Miami, Florida, United States",,,"Greater Miami Area, East Coast, Southern US",,Starlight Ventures provides early stage capital to companies addressing humanity's biggest challenges and opportunities.,1,,,,,Active,Venture Capital,,,,,,,,http://www.starlight.vc,,,,Venture Capital,"Early Stage Venture, Seed",23,25,,,0,0,,,,"7,788",0.2,-0.3,0.4,"1,499","1,281.25",46%,149,-19.75%,1.78,-32.57%,58.6%,29.5%,"9,663,422","-653,847",-6.34%,10,,,,,,,,,,
