Organization/Person Name,Organization/Person Name URL,Location,First Name,Last Name,Regions,Gender,Full Description,Number of Articles,Twitter,LinkedIn,Facebook,Estimated Revenue Range,Operating Status,Description,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Contact Email,Phone Number,Hub Tags,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Partner Investments,Number of Lead Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Next Application Deadline,Accelerator Duration (in weeks),CB Rank (Investor),Trend Score (7 Days),Trend Score (30 Days),Trend Score (90 Days),SimilarWeb - Monthly Visits,SimilarWeb - Average Visits (6 months),SimilarWeb - Monthly Visits Growth,SimilarWeb - Visit Duration,SimilarWeb - Visit Duration Growth,SimilarWeb - Page Views / Visit,SimilarWeb - Page Views / Visit Growth,SimilarWeb - Bounce Rate,SimilarWeb - Bounce Rate Growth,SimilarWeb - Global Traffic Rank,SimilarWeb - Monthly Rank Change (#),SimilarWeb - Monthly Rank Growth,BuiltWith - Active Tech Count,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,Siftery - Total Products Active,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD)
ARCH Venture Partners,https://www.crunchbase.com/organization/arch-venture-partners,"Chicago, Illinois, United States",,,"Greater Chicago Area, Great Lakes, Midwestern US",,"ARCH invests primarily in companies co-founded with leading scientists and entrepreneurs, concentrating on bringing to market innovations in life sciences. They enjoy special recognition as a leader in the successful commercialization of technologies developed at academic research institutions and national laboratories. ARCH has raised ten venture funds totaling over $3 billion and has invested in the earliest venture capital rounds for more than 150 companies. ARCH investors include major corporations, pension funds, endowment funds, financial institutions, and private investors.",313,,https://www.linkedin.com/company/arch-venture-partners,,,Active,"Early stage venture firm focused on life science discoveries to prevent, detect and cure disease.",1986-01-01,year,,,,,,http://www.archventure.com,,773-380-6600,,Venture Capital,"Early Stage Venture, Seed, Venture",152,306,,61,66,66,,,,"2,303",2.8,-2.1,-1,"6,425","11,316.48",-59.12%,166,267.1%,4.41,116.46%,26.75%,-5.57%,"2,609,459","639,613",32.47%,32,,,,,,,,314056,USD,314056
Pritzker Group Venture Capital,https://www.crunchbase.com/organization/pritzker-group-venture-capital,"Chicago, Illinois, United States",,,"Greater Chicago Area, Great Lakes, Midwestern US",,"Pritzker Group Venture Capital helps entrepreneurs build market-leading technology companies at every stage of their growth. Since its founding in 1996, the firm has worked side-by-side with entrepreneurs at more than 100 companies, building partnerships based on trust and integrity. Its proprietary capital structure allows for tremendous flexibility, and our experienced team of investment professionals and entrepreneurs offers companies a vast network of strategic relationships and guidance. Successful exits in recent years include Fleetmatics (NYSE: FLTX), SinglePlatform (acquired by Constant Contact), Zinch (acquired by Chegg), Playdom (acquired by Disney), LeftHand Networks (acquired by Hewlett-Packard), and TicketsNow (acquired by Ticketmaster).",237,http://twitter.com/PritzkerVC,http://www.linkedin.com/company/the-pritzker-group/,,,Active,Pritzker Group Venture Capital is a trusted partner helping entrepreneurs build market-leading technology companies,1996-01-01,year,,,,,,http://www.pritzkergroup.com/venture-capital/,info@pritzkergroup.com,,,Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",140,203,,35,36,36,,,,"3,643",-0.9,-1.8,-0.9,"3,903","6,304.34",-8.5%,122,23.36%,2.29,-30.84%,27.33%,-17.37%,"4,708,474","955,968",25.48%,46,,,11,,,,,,,
Serra Ventures,https://www.crunchbase.com/organization/serra-ventures,"Champaign, Illinois, United States",,,"Great Lakes, Midwestern US",,"Serra Ventures is an early stage venture capital firm investing in technology companies in emerging Midwest technology centers and selected other geographies. Sectors we focus on include information technology, devices/instrumentation and agricultural technologies.",65,https://www.twitter.com/serraventures,,,,Active,Serra Ventures is an early stage venture capital firm investing in technology companies in emerging Midwest technology centers,1998-01-01,year,,,,,,http://serraventures.com,info@serraventures.com,217.819.5200,,Venture Capital,Early Stage Venture,77,188,,27,9,9,,,,"1,749",-1.1,6.8,5.6,150,"1,004.88",-89.07%,108,139.59%,4,-34.43%,0%,-32.24%,"23,169,324","16,414,783",243.02%,12,,,,,,,,,,
Adams Street Partners,https://www.crunchbase.com/organization/adams-street-partners,"Chicago, Illinois, United States",,,"Greater Chicago Area, Great Lakes, Midwestern US",,"Adams Street Partners is a global private market investment management firm that offers comprehensive solutions for its investors. As one of the leading independent, employee-owned firms, Adams Street has established a reputation for strong performance, an extensive knowledge base and a disciplined investment approach that values quality over quantity. For more than 45 years, Adams Street has gained the experience to successfully manage through some of the most challenging investment cycles. The collective knowledge of the Adams Street team works collaboratively to leverage the global resources of the Firm in navigating the complexities of private markets. Our mission as a premier private markets investment manager is to provide world-class investment performance and maintain the confidence of our investors through our deep understanding of the global private marketplace and deliver exemplary client service.",303,,https://www.linkedin.com/company/adams-street-partners/,,,Active,Adams Street Partners is a private equity investor that has been investing since 1972.,1972-01-01,year,,,,,,https://www.adamsstreetpartners.com/,,,,Private Equity Firm,"Early Stage Venture, Late Stage Venture, Private Equity, Seed",106,175,,48,55,55,,,,966,6.2,6.9,5.3,"14,964","14,685.01",7.23%,314,36.29%,12.85,26.48%,20.89%,5.5%,"1,135,603","-71,884",-5.95%,22,,,13,,,,,53657,USD,53657
Motorola Solutions Venture Capital,https://www.crunchbase.com/organization/motorola-solutions-venture-capital,"Chicago, Illinois, United States",,,"Greater Chicago Area, Great Lakes, Midwestern US",,"Motorola Ventures helps turn great new ideas into thriving businesses. They are not a lab, but like one, they are about discovery. They focus on opportunities that complement Motorola's total business strategy. They evaluate ""new idea companies,"" the people and technologies behind them and the vision they bring. They identify cutting-edge technology investments that will help them to achieve the best solutions to fit their customers' needs. Every investment is a strategic alliance encapsulated by vision, creativity, and business acumen. Bringing together talent and sharing dreams allows them to achieve more together than they can alone. Motorola Ventures represents a diversified portfolio with a typical investment ranging from $1 million to $5 million. Their purpose is to nurture a venture company through its critical phases of start-up, growth and expansion. In addition to providing financial support, they offer business and technology expertise, market leadership and brand recognition to growing companies with compelling business plans. In turn, the companies they invest in introduce us to new ideas, new technologies and new markets. The result - strategic and financial value and, ultimately, competitive advantage.",43,http://twitter.com/motorola,https://www.linkedin.com/company/motorolasolutions,https://www.facebook.com/motorolasolutions,,Active,"Motorola Ventures nurtures venture companies through their critical phases of start-up, growth, and expansion.",1999-01-01,year,,,,,,http://www.motorolasolutions.com/ventures,,888.325.9336,,Corporate Venture Capital,"Debt, Early Stage Venture",111,158,,54,72,72,,,,"11,121",-0.1,-0.1,-0.2,,,,,,,,,,,,,17,,,,,,,,,,
Lightbank,https://www.crunchbase.com/organization/lightbank,"Chicago, Illinois, United States",,,"Greater Chicago Area, Great Lakes, Midwestern US",,"We exist to make venture capital a better industry for entrepreneurs.  Lightbank fills a void in the market for emerging entrepreneurs.  We are not scared to be contrarian and empower the underdog. Lightbank invests with conviction and makes a difference for our entrepreneurs.  We earn our returns.  We work with founders who take BIG SWINGS and HUSTLE, in industries ripe for innovation. By leveraging our DEEP NETWORKS and ACTIVELY ENGAGING with our entrepreneurs, we accelerate our companies with more than capital. We believe GREAT BUSINESSES CAN BE STARTED ANYWHERE and will partner with the best founders regardless of location and current investment hype.",357,http://twitter.com/lightbank,https://www.linkedin.com/company-beta/869339,http://www.facebook.com/lightbank,,Active,"Lightbank is a seed and series A fund investing in fintech, consumer and vertical software.",2010-03-01,day,,,,,,http://www.lightbank.com,info@lightbank.com,,,Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",98,144,,46,30,30,,,,"5,320",0.1,0.9,1.2,"2,756","3,152.53",-14.78%,127,-53.4%,3.93,-54.31%,29.79%,0.4%,"5,034,957","1,852,371",58.2%,18,,,11,,,,,564806,USD,564806
Hyde Park Venture Partners,https://www.crunchbase.com/organization/hyde-park-venture-partners,"Chicago, Illinois, United States",,,"Greater Chicago Area, Great Lakes, Midwestern US",,Hyde Park Venture Partners is an early stage venture capital firm focused on software startups in the Midwest.,228,http://twitter.com/hydeparkvp,http://www.linkedin.com/company/hyde-park-venture-partners,https://www.facebook.com/hydeparkvp,,Active,Hyde Park Venture Partners (HPVP) is an early stage venture capital fund investing in seed and Series A software companies in the Midwest.,2011-12-15,day,,,,,,http://www.hydeparkvp.com,greg@hydeparkvp.com,,,Venture Capital,"Debt, Early Stage Venture, Late Stage Venture, Seed",77,123,,22,15,15,,,,"4,652",0.1,-0.1,-0.5,"3,154","3,538.42",8.97%,271,63.11%,4.28,-45.9%,30.06%,0.82%,"4,377,081","808,052",22.64%,68,,,54,,,,,,,
Chicago Ventures,https://www.crunchbase.com/organization/chicago-ventures,"Chicago, Illinois, United States",,,"Greater Chicago Area, Great Lakes, Midwestern US",,Chicago Ventures partners closely with exceptional entrepreneurs building companies in undercapitalized high-potential ecosystems.,235,http://twitter.com/ChicagoVentures,http://www.linkedin.com/company/3197829,http://www.facebook.com/ChicagoVentures,,Active,"An early-stage venture capital fund, investing in exceptional entrepreneurs in the Central US.",2013-06-17,day,,,,,,http://chicagoventures.com,info@chicagoventures.com,1-855-500-0217,,Venture Capital,"Debt, Early Stage Venture, Seed",74,123,,30,21,21,,,,"5,792",-0.1,1.2,-3.5,"3,772","5,441.59",-28.24%,163,0.55%,4.39,38.34%,17.79%,-18.96%,"3,899,885","516,207",15.26%,22,,,12,,,,,,,
OCA Ventures,https://www.crunchbase.com/organization/oca-ventures,"Chicago, Illinois, United States",,,"Greater Chicago Area, Great Lakes, Midwestern US",,"OCA Ventures is an early stage (Seed, Series A, and Series B) venture capital firm focused on equity investments in companies with dramatic growth potential, primarily in technology and highly-scalable services businesses. OCA invests in many industries, with a preference for technology, financial services, education and healthcare technology. Founded in 1999, the firm is investing out of its fourth fund in companies spread throughout the United States.",159,http://twitter.com/OCAVentures,http://www.linkedin.com/company/oca-ventures,,,Active,"OCA Ventures is a venture capital firm focused on equity investments in companies with dramatic growth potential, primarily in technology",1999-01-01,year,,,,,,http://www.ocaventures.com,plans@ocaventures.com,(312) 327-8400,,Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",67,109,,21,14,14,,,,"3,220",-0.3,5.2,-1.6,"1,845","2,633.26",-30.91%,100,-51.07%,5.22,87.29%,42.16%,14.94%,"6,179,820","641,722",11.59%,16,,,6,,,,,95539,USD,95539
JK&B Capital,https://www.crunchbase.com/organization/jk-b-capital,"Chicago, Illinois, United States",,,"Greater Chicago Area, Great Lakes, Midwestern US",,"JK&B Capital is a venture capital firm focused in the software, IT and commu- nications markets with over $1.1 billion of capital under management. Track Record Founded in 1996, JK&B has built a track record of generating exceptional returns for investors by identifying and investing in companies with technologies which have been critical to the growth of the worldâ€™s information economy. 	 A key to JK&Bâ€™s success has been its ability to leverage its substantial technology domain expertise to identify, analyze and access the most promising emerging technologies and the companies behind them. JK&B then provide these companies with financial support, strategic guidance and most importantly technical guidance to help them grow and prosper. JK&B has distinguished itself in the venture capital industry through the level of â€œhands-onâ€ technology expertise resident among its team of eight investment professionals and through the rigorous research, analysis and investment discipline it applies to each of its investments. Strong Leadership JK&Bâ€™s Partners have come from senior management positions at some of the most successful firms in the technology industry. JK&B Partners are recognized in the industry as thought leaders, industry visionaries and highly sought after value-added Partners within their areas of expertise. The firmâ€™s Partners through their previous executive positions have established an extensive network of industry contacts and proprietary relationships extending JK&Bâ€™s intellectual reach and offering its portfolio companies high level access to potential customers, strategic partners and financing sources. Direct Access JK&Bâ€™s flat organizational structure and team-based approach allows the firm to respond very quickly to investment needs and market changes. JK&B believes that as technology becomes more sophisticated, venture capitalists must increasingly draw on specialized skills with a heavy focus on distinct technology expertise. The firm also takes a team-based approach to analysis and investment decision-making. JK&B believes that there is a changing definition of success in the VC industry. JK&B believes the firms that will flourish will be leaner, technically astute, and highly focused.",65,,,,,Active,"JK&B Capital is a venture capital firm focused in the software, IT and communications markets.",1996-01-01,year,,,,,,http://www.jkbcapital.com,,(312) 946-1103,,"Private Equity Firm, Venture Capital","Early Stage Venture, Late Stage Venture",58,104,,39,31,31,,,,"15,165",0.1,0.8,-0.2,394,"1,489.6",7.87%,191,,8.9,790.07%,0%,-100%,"12,593,708","-8,317,702",-39.78%,11,,,,,,,,,,
