Organization/Person Name,Organization/Person Name URL,Location,First Name,Last Name,Regions,Gender,Full Description,Number of Articles,Twitter,LinkedIn,Facebook,Estimated Revenue Range,Operating Status,Description,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Contact Email,Phone Number,Hub Tags,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Partner Investments,Number of Lead Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Next Application Deadline,Accelerator Duration (in weeks),CB Rank (Investor),Trend Score (7 Days),Trend Score (30 Days),Trend Score (90 Days),SimilarWeb - Monthly Visits,SimilarWeb - Average Visits (6 months),SimilarWeb - Monthly Visits Growth,SimilarWeb - Visit Duration,SimilarWeb - Visit Duration Growth,SimilarWeb - Page Views / Visit,SimilarWeb - Page Views / Visit Growth,SimilarWeb - Bounce Rate,SimilarWeb - Bounce Rate Growth,SimilarWeb - Global Traffic Rank,SimilarWeb - Monthly Rank Change (#),SimilarWeb - Monthly Rank Growth,BuiltWith - Active Tech Count,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,Siftery - Total Products Active,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD)
MassChallenge,https://www.crunchbase.com/organization/masschallenge,"Boston, Massachusetts, United States",,,"Greater Boston Area, East Coast, New England",,"MassChallenge is the most startup-friendly accelerator on the planet. No equity and not-for-profit, MassChallenge is obsessed with helping the most-promising startups across industries and regions around the world. In addition to providing expert mentorship, tailored curriculum, and unrivaled access to corporate partners, MassChallenge awards top startups with portions of several million dollars in cash prizes.  With accelerators in Boston, Israel, Mexico, Switzerland, Texas, and the UK, MassChallenge strengthens innovation-driven economic development around the world. MassChallenge also runs Bridge to MassChallenge programs in Australia, Columbia, France, Korea, Mexico, Morocco, Poland, Russia, and Spain to drive the creation of high-quality jobs. In 2016, MassChallenge launched PULSE@MassChallenge to accelerate the impact of digital health innovation and improve patient care through technology.     To date, 1,211 MassChallenge alumni have raised over $2 billion in funding, generated approximately $900 million in revenue, and created over 65,000 total jobs. ",549,https://twitter.com/MassChallenge,https://www.linkedin.com/company/masschallenge,https://www.facebook.com/masschallenge,,Active,"MassChallenge is a global non-profit startup accelerator and competition with a focus on high-impact, early-stage entrepreneurs. ",2009-06-01,day,,,,,,https://masschallenge.org/,contact@masschallenge.org,,,Accelerator,,"1,347","1,360",,8,78,78,On-Site,2019-03-13,16,350,-0.7,-5,3.1,"69,369","100,666.9",9.01%,214,-13.67%,3.7,1.74%,41.97%,3.1%,"539,830","-23,641",-4.2%,44,,,34,,,,,432292,USD,432292
Battery Ventures,https://www.crunchbase.com/organization/battery-ventures,"Boston, Massachusetts, United States",,,"Greater Boston Area, East Coast, New England",,"Battery Ventures is a venture capital firm with offices in Boston, Silicon Valley, and Israel. Battery invests in potentially cutting-edge, category-defining businesses in markets including application software, IT infrastructure technologies, consumer-internet and mobile services, and industrial technologies.  Founded in 1983, the firm backs companies at stages ranging from seed to growth and private equity.","2,229",http://twitter.com/batteryventures,http://www.linkedin.com/company/battery-ventures,,,Active,"Battery Ventures finances technology sector companies with venture capital, private equity, and debt financing investments.",1983-01-01,year,,,,,,http://www.battery.com,,(415) 426-5900,,Venture Capital,"Debt, Early Stage Venture, Late Stage Venture, Private Equity, Seed",342,654,,246,144,144,,,,311,-1.1,7,1.7,"34,485","40,881.07",-26.68%,80,88.11%,2.14,-5.32%,43.72%,4.76%,"1,075,667","208,452",24.04%,63,,,31,,,,,1898640,USD,1898640
General Catalyst,https://www.crunchbase.com/organization/general-catalyst-partners,"Cambridge, Massachusetts, United States",,,"Greater Boston Area, East Coast, New England",,"They provide the ongoing momentum that accelerates your ideas, your career, and your company toward standout success. They create the ideal conditions for growth, surround you with the right people, and offer mentorship based on deep experience. They work with you side by side, for the whole journey. And when it really counts, they’ll challenge you in ways that help you achieve true leadership and scale. To date, General Catalyst has managed eight venture capital funds totaling approximately $3.75 billion in capital commitments. Yet the best measure of their success is how many of their entrepreneurs and founders come back again and again to work with them. That bond of trust and friendship is born in their earliest interactions. They work with entrepreneurs they believe in, whose passion they share, whose ambition matches their own, and whose values they respect.  They’re not just writing checks. They’re spending their working lives closely aligned with people who make a difference – and who have fun doing it.","1,730",http://twitter.com/gcvp,http://www.linkedin.com/company/general-catalyst-partners,http://www.facebook.com/generalcatalyst,,Active,General Catalyst is a venture capital firm that makes early-stage and growth equity investments.,2000-01-01,day,,,,,,http://www.generalcatalyst.com,gcinfo@generalcatalyst.com,212-775-4000,,Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",352,651,,237,111,111,,,,"2,611",2,4.7,5.8,"21,910","29,516.18",-39%,111,44.1%,4.95,-24.64%,25.16%,-4.68%,"1,057,055","349,503",49.4%,30,,,25,,,,,324029,USD,324029
Polaris Partners,https://www.crunchbase.com/organization/polaris-partners,"Boston, Massachusetts, United States",,,"Greater Boston Area, East Coast, New England",,"Polaris Partners ​has a 20+ year history of partnering with ​r​epeat entrepreneurs and world-class innovators who are improving the way we live and work. The ​multibillion-dollar firm invests in exceptional healthcare and technology companies ​across all stages, from founding to profitable growth. ​Polaris has offices in Boston and San Francisco. ​Learn more at polarispartners.com. ",625,http://twitter.com/PolarisVC,https://www.linkedin.com/company/polaris-partners/,https://www.facebook.com/Polaris-Partners-404737049642094/,,Active,Polaris Partners ​has a 20+ year history of partnering with ​entrepreneurs and innovators improving the way we live and work.,1996-01-01,year,,,,,,http://polarispartners.com,partnership@polarispartners.com,855.787.3500,,Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",247,513,,163,105,105,,,,"3,087",-1,6.5,5.6,"4,808","6,577.4",-4.75%,91,52.05%,3.28,-23.65%,55.87%,14.15%,"3,558,554","577,100",19.36%,26,,,10,,,,,3653978,USD,3653978
Atlas Venture,https://www.crunchbase.com/organization/atlas-venture,"Cambridge, Massachusetts, United States",,,"Greater Boston Area, East Coast, New England",,Atlas Venture is an early stage venture capital firm that creates and invests in biotech startup companies led by promising entrepreneurs focusing on life sciences innovation.,854,http://twitter.com/atlasventure,http://www.linkedin.com/company/atlas-venture,http://www.facebook.com/pages/Atlas-Venture/179492238740381,,Active,Atlas Venture creates and invests in biotech startup companies in the U.S. with seed and early stage venture investments.,1980-01-01,year,,,,,,http://atlasventure.com,lifesciences@atlasventure.com,857 201 2700,,Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",266,496,,137,133,133,,,,"3,970",-0.4,-1,-1.9,"6,833","7,173.91",3.14%,165,-24.12%,5.65,55.82%,26.53%,-18.52%,"2,312,128","-367,539",-13.72%,36,,,,,,,,958709,USD,958709
North Bridge Venture Partners & Growth Equity,https://www.crunchbase.com/organization/north-bridge-venture-partners,"Wellesley, Massachusetts, United States",,,"Greater Boston Area, East Coast, New England",,"North Bridge provides seed-to-growth stage funding for businesses in several sectors such as software, communications and infrastructure, digital media, healthcare, and material production. North Bridge Venture Partners invests in exceptional people whose ideas have the potential to disrupt the way they live and work. They provide seed-to-growth financing to help transform those ideas into companies and those companies into market leaders.",25,http://twitter.com/North_Bridge,http://www.linkedin.com/company/52734,,,Active,"North Bridge provides seed-to-growth stage funding for businesses in several sectors such as software, communications and infrastructure.",1994-01-01,year,,,,,,http://www.northbridge.com/,info@northbridge.com,781.290.0004,,Venture Capital,"Debt, Early Stage Venture, Late Stage Venture, Private Equity, Seed",181,409,,129,92,92,,,,"5,244",0,2.3,2.7,847,"1,234.74",-55.22%,483,"2,501.06%",4.19,71.6%,5.21%,-50.16%,"10,269,298","2,724,924",36.12%,30,13,,16,,,,,579728,USD,579728
Bain Capital Ventures,https://www.crunchbase.com/organization/bain-capital-ventures,"Boston, Massachusetts, United States",,,"Greater Boston Area, East Coast, New England",,"Bain Capital Ventures partners with disruptive founders to accelerate their ideas to market. The firm invests from seed to growth in enterprise software, infrastructure software, and industries being transformed by data. Bain Capital Ventures has helped launch and commercialize 200-plus companies since 2000, including investments in DocuSign, Jet.com, Kiva Systems, LinkedIn, Rapid7, SurveyMonkey, Taleo, and TellApart. Bain Capital Ventures has approximately $3.6 billion of assets under management with offices in San Francisco, New York, and Boston.","1,253",http://twitter.com/BainCapVC,https://www.linkedin.com/company/538516/,https://www.facebook.com/baincapitalventures/,,Active,Bain Capital Ventures invests in seed to growth-stage startups that are using tech to disrupt existing markets or create entirely new ones. ,2001-01-01,year,,,,,,http://baincapitalventures.com,bcv@baincapitalventures.com,(212) 822-2900,,Corporate Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",221,372,,183,68,68,,,,416,-2.5,-2.7,-5.3,"23,508","16,188.43",104.03%,140,-41.31%,2.59,-33.04%,38.8%,-3.58%,"1,305,111","-409,183",-23.87%,36,,,58,,,,,,,
Founder Collective,https://www.crunchbase.com/organization/founder-collective,"Cambridge, Massachusetts, United States",,,"Greater Boston Area, East Coast, New England",,,605,http://twitter.com/fcollective,https://www.linkedin.com/company/349075?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A349075%2Cidx%3A2-1-4%2CtarId%3A1441405914518%2Ctas%3AFounder%20Collective,https://www.facebook.com/foundercollective?fref=ts,,Active,Founder Collective is a Massachusetts-based seed-stage venture capital fund that helps entrepreneurs build their businesses.,2009-05-22,day,,,,,,http://foundercollective.com,contact@foundercollective.com,,,Micro VC,Seed,252,354,,22,87,87,,,,"1,604",2.9,-0.7,-0.4,"7,189","7,925.06",25.08%,122,190.57%,2.31,3.01%,41.31%,3.19%,"3,104,491","-420,781",-11.94%,23,,,10,,,,,,,
Spark Capital,https://www.crunchbase.com/organization/spark-capital,"Boston, Massachusetts, United States",,,"Greater Boston Area, East Coast, New England",,"Spark partners with visionary entrepreneurs who are driven to move people with the products and experiences they create. We invest in companies at all stages of their life cycle. Our most recent funds include a $400 million early-stage venture fund and a $600 million venture growth fund. In total we have $3 billion under management. We have offices in San Francisco, Boston and New York.","1,807",http://twitter.com/sparkcapital,http://www.linkedin.com/company/spark-capital-llc,http://www.facebook.com/pages/Spark-Capital/8810462652,,Active,Spark Capital is an early and growth stage venture capital firm that takes risks on exceptional founders and the products they design.,2005-07-15,day,,,,,,http://www.sparkcapital.com,info@sparkcapital.com,415 593 9000,,Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",187,342,,188,54,54,,,,"2,436",-1.3,-0.2,-1.5,"12,075","13,661.06",8.95%,176,149.69%,4.18,21.96%,30.76%,-4.11%,"1,669,246","-147,489",-8.12%,34,,,,,,,,102399,USD,102399
Sigma Partners,https://www.crunchbase.com/organization/sigma-partners,"Boston, Massachusetts, United States",,,"Greater Boston Area, East Coast, New England",,"Sigma Partners is a venture capital firm, founded in 1984, that has invested in over a hundred early stage companies and has over $2 billion under management.  In 2007, it raised $500 million for its most recent fund, named Sigma Partners 8.",466,http://twitter.com/sigmapartners,http://www.linkedin.com/in/rdale,,,Active,"Sigma Partners is a venture capital firm, founded in 1984, that has invested in over a hundred early stage companies and has over $2",1984-01-01,day,,,,,,http://www.sigmapartners.com,,650.853.1700,,Venture Capital,"Debt, Early Stage Venture, Late Stage Venture, Private Equity, Seed",121,333,,88,69,69,,,,"6,627",-0.2,0.4,0.5,152,423.24,-29.21%,11,,2,100%,0%,-100%,"26,017,665","425,572",1.66%,6,,,,,,,,,,
