Organization/Person Name,Organization/Person Name URL,Location,First Name,Last Name,Regions,Gender,Full Description,Number of Articles,Twitter,LinkedIn,Facebook,Estimated Revenue Range,Operating Status,Description,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Contact Email,Phone Number,Hub Tags,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Partner Investments,Number of Lead Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Next Application Deadline,Accelerator Duration (in weeks),CB Rank (Investor),Trend Score (7 Days),Trend Score (30 Days),Trend Score (90 Days),SimilarWeb - Monthly Visits,SimilarWeb - Average Visits (6 months),SimilarWeb - Monthly Visits Growth,SimilarWeb - Visit Duration,SimilarWeb - Visit Duration Growth,SimilarWeb - Page Views / Visit,SimilarWeb - Page Views / Visit Growth,SimilarWeb - Bounce Rate,SimilarWeb - Bounce Rate Growth,SimilarWeb - Global Traffic Rank,SimilarWeb - Monthly Rank Change (#),SimilarWeb - Monthly Rank Growth,BuiltWith - Active Tech Count,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,Siftery - Total Products Active,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD)
Rev1 Ventures,https://www.crunchbase.com/organization/techcolumbus-2,"Columbus, Ohio, United States",,,"Great Lakes, Midwestern US",,"Rev1 Ventures is an investor startup studio that combines capital and strategic services to help startups scale and corporates innovate. Based in the Midwest, and in a top city for scaling startups, Rev1 aligns innovators and founders with corporate and research partners to access customers and markets, helping entrepreneurs build great companies. With a proven track record of identifying, guiding, and investing in high potential startups, Rev1 helps companies solve real problems for markets in need of real solutions. Rev1 has $90MM in capital under management, providing a capital continuum from corporate and community partners, as well as Ohio Third Frontier. Rev1 has been named among the Most Active VCs in the Great Lakes Region for the past three years in a row according to PitchBook. For more information, visit www.rev1ventures.com.",46,http://twitter.com/rev1ventures,http://www.linkedin.com/company/rev1ventures,http://www.facebook.com/rev1ventures,,Active,Rev1 Ventures is an investor startup studio that combines capital and strategic services to help startups scale and corporates innovate.,2005-01-01,day,,,,,,http://www.rev1ventures.com,,833-{266}-0100,,"Corporate Venture Capital, Venture Capital","Early Stage Venture, Seed, Venture",137,205,,53,14,14,,,,"5,815",0.3,-0.6,0,"7,972","11,616.5",-49.17%,146,294.42%,3.09,76.64%,28.74%,-16.05%,"2,650,430","518,765",24.34%,77,,,39,,,,,492242,USD,492242
JumpStart Inc.,https://www.crunchbase.com/organization/jumpstartinc,"Cleveland, Ohio, United States",,,"Great Lakes, Midwestern US",,"JumpStart Inc. is a non-profit organization transforming the economic impact of entrepreneurial ventures and the ecosystems supporting their growth. JumpStart’s primary service is intensive entrepreneurial development assistance delivered to Northeast Ohio entrepreneurs leading high potential, early-stage companies. JumpStart also supports the growth and strengthening of Northeast Ohio’s innovation and entrepreneurial ecosystem by securing a continuous stream of resources for entrepreneurs. In doing this work, JumpStart focuses on economic inclusion and activities that increase the success of minority and women entrepreneurs in growing high impact companies. As Northeast Ohio’s entrepreneurial landscape continues to transform, JumpStart collaborates with community and regional leaders nationally to support the startup and development of high growth businesses that have a significant and sustainable impact on the economy.",15,http://twitter.com/JumpStartInc,https://www.linkedin.com/company/jumpstart-inc-,https://www.facebook.com/JumpStartInc/,,Active,JumpStart Inc. is an Ohio-based non-profit organization that offers development assistance to entrepreneurs in Northeast Ohio.,2003-01-01,year,,,,,,http://www.jumpstartinc.org,ask@jumpstartinc.org,,,"Accelerator, Venture Capital","Early Stage Venture, Private Equity, Seed",94,133,,32,10,10,,,,"1,229",0.4,2.2,1,"11,238","15,428.81",-18.58%,102,68.97%,2.11,6.54%,60.69%,19.88%,"2,355,406","290,090",14.05%,37,,,23,,,,,3082915,USD,3082915
Baird Capital,https://www.crunchbase.com/organization/baird-capital,"Milwaukee, Wisconsin, United States",,,"Great Lakes, Midwestern US",,"Baird Capital makes venture capital, growth equity, and private equity investments in strategically-targeted sectors around the world. The company values its creators who identify exceptional opportunities and partners with senior industry executives to build world-class companies. Its in-depth sector knowledge, deep relationships with entrepreneurial management teams, and global network of 60 investment and operating professionals in the United States, the United Kingdom, and Asia help ensure that the company consistently drives value in its portfolio companies. Baird Capital was founded on January 1, 1919 and is based in London, United Kingdom.",121,,https://www.linkedin.com/company/549316/,,,Active,"Baird Capital makes venture capital, growth equity, and private equity investments in strategically-targeted sectors around the world.",1919-01-01,year,,,,,,http://bairdcapital.com,publicrelations@rwbaird.com,800-792-2473,,Venture Capital,"Debt, Early Stage Venture, Late Stage Venture",68,120,,53,27,27,,,,"5,972",0,-0.2,-1.4,"4,840","5,443.27",49.74%,139,32.1%,2.8,0.75%,40.4%,-1.87%,"3,873,638","-1,142,766",-22.78%,19,,,11,,,,,,,
Cultivation Capital,https://www.crunchbase.com/organization/cultivation-capital,"St Louis, Missouri, United States",,,Midwestern US,,"Cultivation Capital is a venture capital firm focused on making early stage investments in technology, software, and life sciences companies. The company was founded in 2012.",99,http://twitter.com/cultivationcap,http://www.linkedin.com/company/cultivation-capital,http://www.facebook.com/CultivationCapital,,Active,"Cultivation Capital is a Missouri-based venture capital firm that invests in early-stage technology, software, and life sciences companies.",2012-02-15,day,,,,,,http://www.cultivationcapital.com,press@cultivationcapital.com,(314) 216-2051,,Venture Capital,"Early Stage Venture, Seed",59,113,,58,7,7,,,,"2,852",-0.1,3.5,-0.7,"4,775","3,378.77",42.67%,55,50.12%,2.74,-17.22%,38.37%,1.14%,"3,976,314","-645,226",-13.96%,5,,,10,,,,,44302,USD,44302
Norwest Equity Partners (NEP),https://www.crunchbase.com/organization/norwest-equity-partners,"Minneapolis, Minnesota, United States",,,"Greater Minneapolis-Saint Paul Area, Great Lakes, Midwestern US",,"Norwest Equity Partners (NEP) is a leading middle market investment firm focused on partnering with business owners to build companies into industry leaders. With a reputation for quality investments and exceptional financial returns since 1961, NEP has raised over $7 billion of capital through a series of equity and mezzanine funds. Offering creative and flexible transaction solutions through management buyouts, recapitalizations and growth financings, NEP believes in long-term relationships and helping stakeholders realize liquidity at the appropriate time. NEP seeks $30-$250+ million equity investment opportunities for growing and profitable companies within the agriculture, business services, consumer, distribution, diversified industrials, energy, healthcare. NEP is based in Minneapolis, Minnesota.",5,,https://www.linkedin.com/company/norwest-equity-partners/,,,Active,NEP is a leading middle market investment firm focused on partnering with business owners to build companies into industry leaders.,1961-01-01,year,,,,,,http://nep.com,,612 215 1600,,Private Equity Firm,Private Equity,103,110,,16,51,51,,,,"4,426",-0.4,2.7,5.2,"12,816","39,382.88",-91.39%,32,40.95%,2.17,94.32%,34.01%,-5.44%,"2,396,669","1,868,457",353.73%,31,,,,,,,,,,
gener8tor,https://www.crunchbase.com/organization/gener8tor,"Madison, Wisconsin, United States",,,"Great Lakes, Midwestern US",,"gener8tor is a nationally ranked accelerator that invests in high-growth startups. Three times a year we invest $100K in each of five startups who receive a concierge experience during our 12-week accelerator program. gener8tor supports the growth of these startups through our network of experienced mentors, technologists, corporate partners, angel investors and venture capitalists. gener8tor invests in high-growth startups, including software, IT, web, SaaS, life science, medtech, e-commerce and hardware. Accepted startups receive $100K and 12 weeks of mentorship-driven programming. gener8tor is a proud member of the Global Accelerator Network (GAN). gener8tor is a GOLD-tier accelerator in the U.S. as ranked by the Seed Accelerator Rankings Project.",86,http://twitter.com/gener8tor,http://www.linkedin.com/company/gener8tor,http://www.facebook.com/gener8tor,,Active,"gener8tor is a nationally ranked, concierge accelerator that invests in high-growth startups.",2012-01-01,year,,,,,,http://www.gener8tor.com,info@gener8tor.com,(414) 502-8880,,Accelerator,"Early Stage Venture, Seed",75,105,,10,3,3,On-Site,2019-08-02,16,521,-1,8.8,7.9,"13,334","20,531.27",-31.07%,30,-80.55%,1.65,-16.03%,40.96%,10.71%,"2,435,391","721,812",42.12%,24,,,15,,,,,,,
St. Paul Venture Capital,https://www.crunchbase.com/organization/st-paul-venture-capital,"Minneapolis, Minnesota, United States",,,"Greater Minneapolis-Saint Paul Area, Great Lakes, Midwestern US",,"Founded in 1988, St. Paul Venture Capital is one of the largest  early-stage venture capital funds in the United States with $3.0 billion in  committed capital and offices in Minneapolis, Boston and Silicon Valley.  With  The St. Paul Companies as a single limited partner, the firm invests primarily  in the areas of Communications, Software and Services and Healthcare.  For  more information, visit the firm's website at http://www.spvc.com",,,https://www.linkedin.com/company/st.-paul-venture-capital,,,Active,St. Paul Venture Capital is an American private equity firm that invests in early-stage companies.,1988-01-01,year,,,,,,http://www.stpaulvc.com,,(952) 995-7474,,"Private Equity Firm, Venture Capital",Early Stage Venture,65,105,,27,46,46,,,,"12,943",0.9,1.2,0,,,,,,,,,,,,,12,,,,,,,,,,
Ludlow Ventures,https://www.crunchbase.com/organization/ludlow-ventures-llc,"Detroit, Michigan, United States",,,"Greater Detroit Area, Great Lakes, Midwestern US",,"Ludlow operates differently because we’re a different kind of VC. We believe in VC without ego. We wear our hearts on our sleeves, avoiding the puffery and posturing that has given venture capital a bad name. We fund the dreams of entrepreneurs and startups, becoming close friends with all of the teams we invest in. Truly great companies are built on trust and friendship (and rainbows and luck). VC is a customer service business. Whether it’s testing product, leveraging our network, or forcing people to download your app, we’re here to help. You make our dream jobs possible and we’re forever thankful for that. Check out some of our other projects - www.carpool.vc and www.computer.show",160,http://twitter.com/jtriest,http://www.linkedin.com/in/jtriest,,,Active,"Ludlow Ventures provides entrepreneurs and startups with seed and early stage, and debt financing investments.",2010-01-01,year,,,,,,http://www.ludlowventures.com,jt@ludlowventures.com,,,"Micro VC, Venture Capital","Debt, Early Stage Venture, Seed, Venture",78,99,,1,20,20,,,,"3,078",-1,-0.4,6.2,"3,373","3,543.85",1.96%,80,326.58%,1.43,27.15%,82.02%,-5.69%,"6,277,530","-504,553",-7.44%,13,,,9,,,,,,,
Split Rock Partners,https://www.crunchbase.com/organization/split-rock-partners,"Minneapolis, Minnesota, United States",,,"Greater Minneapolis-Saint Paul Area, Great Lakes, Midwestern US",,"Split Rock Partners invests in emerging healthcare, software and Internet services companies in the Upper Midwest and West Coast. They are an early-stage venture capital firm that was founded in June 2004 by the former healthcare and software investment teams of St. Paul Venture Capital (SPVC). The Split Rock team managed over $1 billion of venture capital during our tenure at SPVC, and continues to manage the SPVC healthcare and software portfolio. In May of 2008, they raised $300 million in the second Split Rock Partners fund, the successor to their inaugural $275 million fund raised in April 2005. The Split Rock team believes that it takes great people to translate promising ideas into compelling businesses. They are grounded in a fundamental respect for entrepreneurs and the rare combination of elements required when pioneering new markets. They start by looking for entrepreneurs with the passion, vision, and skills to build leading companies. They then work with entrepreneurs collaboratively, building partnerships based on integrity and mutual respect. The Split Rock team complements management expertise with over 80 years of venture investing and entrepreneurial management experience. They are proud of the strong relationships they have built with talented entrepreneurs and co-investors throughout their history and look forward to building on that tradition.",121,,,,,Active,"Split Rock Partners invests in emerging healthcare, software and Internet services companies in the Upper Midwest and West Coast.",2004-06-01,day,,,,,,http://www.splitrock.com,,(952) 995-7474,,Venture Capital,"Early Stage Venture, Late Stage Venture",53,95,,26,37,37,,,,"5,345",-0.5,1.2,3.9,150,383.95,-34.67%,,,1,-81.38%,100%,62.43%,"29,245,693","11,425,709",64.12%,21,,,,,,,,1012594,USD,1012594
Ann Arbor SPARK,https://www.crunchbase.com/organization/ann-arbor-spark,"Ann Arbor, Michigan, United States",,,"Great Lakes, Midwestern US",,"Ann Arbor SPARK, a non-profit organization, offers programs, resources, and proactive support to businesses in the Ann Arbor region. Its products and services include provision of business accelerator and entrepreneur boot camp programs, online business planning, market and competitive landscape research, development of business model strategies, intellectual property validation and FTO reports, marketing and sales initiatives, identification of employee needs and opportunities, preparation of a business plan and financial analysis, and creation of a compelling case for attracting funding and other resources, as well as review of product plans, validation steps, and regulatory issues. The company also provides space/expansion and equipment; programs, resources, and educational opportunities for business growth and expansion; programs for recognizing excellence; tax-exempt industrial development revenue bonds to finance the acquisition, construction, installation, or rehabilitation of manufacturing facilities; site searches of industrial and office buildings, vacant land, and incubator space; workforce; educational forums; incentives; export assistance; financing; and university connections. It serves businesses in life sciences, automotive research and development, engineering and production, alternative energies, information technologies, homeland security/defense, information, print and online, and imaging/vision sectors. Ann Arbor SPARK was formerly known as SPARK. The company was incorporated in 1982 and is based in Ann Arbor, Michigan.",72,http://twitter.com/annarborspark,http://www.linkedin.com/company/816516,http://www.facebook.com/AnnArborUSA,,Active,Ann Arbor SPARK is Ann Arbor’s engine for economic development.,2005-05-01,day,,,,,,http://www.annarborusa.org/,jenn@jenncornell.com,,,Accelerator,"Debt, Early Stage Venture, Seed",84,94,,9,13,13,,,,"1,850",-0.5,5.5,5.7,"23,629","23,763.58",-42.43%,60,-60.67%,2.5,0.86%,36.89%,-5.75%,"1,450,680","500,348",52.65%,68,,,28,,,,,220121,USD,220121
