Organization/Person Name,Organization/Person Name URL,Location,First Name,Last Name,Regions,Gender,Full Description,Number of Articles,Twitter,LinkedIn,Facebook,Estimated Revenue Range,Operating Status,Description,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Contact Email,Phone Number,Hub Tags,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Partner Investments,Number of Lead Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Next Application Deadline,Accelerator Duration (in weeks),CB Rank (Investor),Trend Score (7 Days),Trend Score (30 Days),Trend Score (90 Days),SimilarWeb - Monthly Visits,SimilarWeb - Average Visits (6 months),SimilarWeb - Monthly Visits Growth,SimilarWeb - Visit Duration,SimilarWeb - Visit Duration Growth,SimilarWeb - Page Views / Visit,SimilarWeb - Page Views / Visit Growth,SimilarWeb - Bounce Rate,SimilarWeb - Bounce Rate Growth,SimilarWeb - Global Traffic Rank,SimilarWeb - Monthly Rank Change (#),SimilarWeb - Monthly Rank Growth,BuiltWith - Active Tech Count,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,Siftery - Total Products Active,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD)
SOSV,https://www.crunchbase.com/organization/sosv,"Princeton, New Jersey, United States",,,"East Coast, Northeastern US",,"SOSV began supplying start-ups with rocket fuel 20 years ago. SOSV is now a global fund with $300M assets under management and a staff of nearly 90 operating world-renowned accelerators in the areas of hardware, software, biology, food, robotics, medical devices, transportation, green energy, and beyond. The company has over 750 companies in the portfolio, and graduate over 150 start-ups from accelerator programs each year. The company partners with startups, mentor them at every stage of their growth, and build communities that provide lasting connections.",92,https://twitter.com/sosvvc,https://www.linkedin.com/company/sosvvc/,https://www.facebook.com/SOSVvc/,,Active,SOSV is a venture capital firm providing multi-stage investment to develop and scale their founders' big ideas for positive change.,1994-04-19,day,,,,,,https://sosv.com/,hello@sosv.com,,,"Accelerator, Venture Capital","Debt, Early Stage Venture, Seed",863,"1,447",,810,37,37,On-Site,,16,648,-3.8,-1.2,-0.2,"37,186","37,991.14",-21.21%,153,18.88%,3.37,26.68%,50.41%,-2.5%,"839,075","56,926",7.28%,36,,,19,,,,,,USD,
Edison Partners,https://www.crunchbase.com/organization/edison-ventures,"Princeton, New Jersey, United States",,,"East Coast, Northeastern US",,"For 30 years, Edison Partners has been helping CEOs and their executive teams navigate the entrepreneurial journey and build successful companies. Through the unique combination of expansion capital and the Edison Edge platform, consisting of strategic advisory, the Edison Director Network, and executive education, Edison employs a holistic approach to nurturing invention and creating value for growth stage businesses ($5 to $20 million in revenue) in financial technology, healthcare IT, enterprise IT, and marketing technology industries. Edison investment objectives also include: buyouts, recapitalizations, spinouts and secondary stock purchases. Edison’s active portfolio has created aggregate market value exceeding $5 billion. Its long-tenured team based in Princeton, NJ manages more than $1 billion in assets throughout the eastern United States.",169,http://twitter.com/edisonventure,https://www.linkedin.com/company/edison-ventures-/,http://www.facebook.com/EdisonPartners,,Active,"Edison Partners is a growth equity firm that focuses on technology-enabled solutions in FinTech, Healthcare IT and Enterprise software.",1986-08-01,day,,,,,,http://www.edisonpartners.com,,609.896.1900,,Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity",139,207,,131,54,54,,,,906,5.2,4.1,7.7,"8,777","7,562.06",3.32%,185,-25.03%,3.11,-13.3%,48.19%,-10.12%,"2,454,091","-22,094",-0.89%,38,,,31,,,,,759445,USD,759445
Johnson & Johnson Development Corporation,https://www.crunchbase.com/organization/johnson-johnson-development-corporation,"New Brunswick, New Jersey, United States",,,"Greater New York Area, East Coast, Northeastern US",,"Johnson & Johnson Development Corporation (JJDC) is the venture capital subsidiary of Johnson & Johnson. JJDC is comprised of experts and leaders in the health care and technology venture communities who identify early market indicators, health care trends, and strategic investment opportunities. Unlike traditional venture capital firms, JJDC determines the success of an investment’s performance not only in financial returns, but also in the viability of providing strategic growth options for Johnson & Johnson. JJDC plays an integral role in the identification of new business opportunities outside of Johnson & Johnson’s traditional portfolio and market presence. JJDC identifies new market opportunities and develops new businesses in emergent health care sectors while also creating support venture investments in alignment with the strategic objectives of Johnson & Johnson operating companies.",12,,,,,Active,"Johnson & Johnson Development Corporation, a venture capital subsidiary, finances technology companies focused on patient health.",1979-01-01,year,,,,,,http://www.jjdevcorp.com,info@futurx.co.il,(514) 367 1212,,"Corporate Venture Capital, Venture Capital","Early Stage Venture, Late Stage Venture, Private Equity, Seed",90,150,,27,47,47,,,,"9,613",-0.1,0.3,-0.1,,,,,,,,,,,,,6,,,,,,,,703012,USD,703012
Verizon Ventures,https://www.crunchbase.com/organization/verizon-ventures,"Basking Ridge, New Jersey, United States",,,"Greater New York Area, East Coast, Northeastern US",,"Verizon Ventures seeks and invests in promising entrepreneurial companies who are tackling some of today’s biggest technological challenges for Verizon's consumer and enterprise customers. Over the last decade Verizon Ventures has invested in more than forty companies covering a range of industries, technologies and market segments. Verizon Ventures offers support to its portfolio companies with technology and product development, market planning and sales, and access to the networks and platforms of Verizon Communications. Combining the power of experienced investment professionals with a focused venture development team, Verizon Ventures connects innovators with strategic and financial resources that advance their businesses.",575,https://twitter.com/verizonventures,http://www.linkedin.com/companies/verizon-ventures,http://www.facebook.com/VerizonFiOS,,Active,Verizon Ventures invests in promising entrepreneurial companies to drive innovation in Verizon Communications Inc.,2000-06-30,day,,,,,,http://www.verizonventures.com,ventures@verizon.com,,,Corporate Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",70,103,,25,19,19,,,,"1,347",-1.2,3.1,-3,403,"2,888.87",-78.29%,,,1,-51.86%,100%,38.71%,"20,526,026","12,578,657",158.27%,6,,,,,,,,,,
Newark Venture Partners,https://www.crunchbase.com/organization/newark-venture-partners,"Newark, New Jersey, United States",,,"Greater New York Area, East Coast, Northeastern US",,"Newark Venture Partners is an early stage venture fund, providing capital, company-building services and residence to innovative tech startups.  The firm not only affirms early stage startups, aiding in both financial and strategic growth, but helps entrepreneurs get to the next level of business while catalyzing economic development and the creation of jobs in the Newark vicinity.",21,https://www.twitter.com/newarkvc,https://www.linkedin.com/company/newark-venture-partners,,,Active,"Newark Venture Partners is an early stage venture fund based in Newark, NJ.",2015-08-01,day,,,,,,http://www.newarkventurepartners.com,dan@newark.vc,,,"Accelerator, Venture Capital","Early Stage Venture, Seed",63,79,,12,4,4,On-Site,2019-09-15,12,"5,155",-0.3,-3.8,-1.7,"4,354","3,815.2",49.81%,59,-8.05%,2.19,-13.81%,59.26%,33.9%,"4,563,244","-1,211,625",-20.98%,25,,,,,,,,,,
New Jersey Economic Development Authority,https://www.crunchbase.com/organization/new-jersey-economic-development-authority,"Trenton, New Jersey, United States",,,"East Coast, Northeastern US",,,198,,,,,Active,New Jersey Economic Development Authority provides financial assistance to small and mid-sized businesses.,1974-01-01,year,,,,,,http://www.njeda.com,customercare@njeda.com,(866) 534-7789,,Government Office,Early Stage Venture,52,58,,54,13,13,,,,"6,497",-0.6,-0.7,-0.7,"30,735","19,870.31",137.64%,63,-76.21%,1.46,-56.31%,45.53%,-6.46%,"1,450,465","-316,620",-17.92%,17,,,,,,,,,,
New Venture Partners,https://www.crunchbase.com/organization/new-venture-partners,"Berkeley Heights, New Jersey, United States",,,"Greater New York Area, East Coast, Northeastern US",,"New Venture Partners is a venture capital firm specializing in corporate spinouts. It focuses on incubation, seed, and early stage investments. The firm invests in underleveraged or underutilized corporate assets; technology or concept ready for commercial product development that is not seeking capital for additional research; product and underlying technology that is meaningfully differentiated along dimensions that matter to potential customers; and where preliminary research suggesting there are customers willing to pay for the product or service. It seeks to commercialize corporate technologies through the creation of independent ventures.",70,http://twitter.com/nvpllc,https://www.linkedin.com/company/new-venture-partners,,,Active,"New Venture Partners is a global venture capital firm specializing in corporate spinouts, and seed-, early-, and mid-stage investments.",2001-01-01,year,,,,,,http://www.newventurepartners.com,info@nvpllc.com,908 464 0900,,Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",35,58,,13,23,23,,,,"10,882",0.1,1.2,1,,28.62,,,,,,,,,,,19,,,,,,,,3897545,USD,3897545
Johnson & Johnson Innovation,https://www.crunchbase.com/organization/johnson-johnson-innovation,"New Brunswick, New Jersey, United States",,,"Greater New York Area, East Coast, Northeastern US",,"""Johnson & Johnson Innovation is a center to science and business experts to collaborate with innovators to incorporate science into healthcare solutions, including medical device and diagnostic technologies, consumer healthcare products, and pharmaceuticals. It is focused on the advancement of new healthcare solutions in the consumer, pharmaceutical, and medical devices and diagnostics sectors.’ The company provides financing tools that include early-stage research funding, seed funding, equity investments, licensing, and collaborations. Additionally, it offers its partners access to international markets, pricing and reimbursement, market testing, company creation services, and more. They conduct their activities with the help of regional incubators, satellite operations, single bench tops, modular labs, office space for entrepreneurs, and an year-round curriculum focused on business and drug development. Johnson & Johnson Innovation is a subsidiary of [Johnson & Johnson](http://www.crunchbase.com/organization/johnson-johnson)  and its centers are located in Boston, California, London, and Shanghai.""",32,http://twitter.com/JNJInnovation,,,,Active,Johnson & Johnson Innovation collaboratea with innovators to incorporate science into healthcare solutions.,,,,,,,For Profit,http://www.jnjinnovation.com/,info@futurx.co.il,346-772-0300,,Corporate Venture Capital,,43,53,,14,6,6,,,,"3,831",-0.7,-1.2,-2.6,"56,424","70,732.99",-14.57%,98,-3.75%,3,0.16%,57.5%,6.39%,"666,867","83,412",14.3%,25,,,30,,,,,,,
Cardinal Partners,https://www.crunchbase.com/organization/cardinal-partners,"Princeton, New Jersey, United States",,,"East Coast, Northeastern US",,[Cardinal Partners](http://www.cardinalpartners.com) is a venture capital partnership focused exclusively on healthcare investing.,23,,,,,Active,Cardinal Partners is a venture capital partnership focused exclusively on healthcare investing.,1996-01-01,year,,,,,,http://www.cardinalpartners.com,info@cardinalpartners.com,609.924.6452,,Venture Capital,"Early Stage Venture, Late Stage Venture",28,52,,9,13,13,,,,"8,233",-0.1,1.4,-0.2,424,459.49,456.3%,3,,1.21,20.79%,71.74%,-28.26%,"19,374,316","-12,776,999",-39.74%,31,,,,,,,,83689,USD,83689
ProQuest Investments,https://www.crunchbase.com/organization/proquest-investments,"Princeton, New Jersey, United States",,,"East Coast, Northeastern US",,"Founded in 1998, ProQuest Investments is a healthcare venture capital firm with over $875 million under management. We have 12 deal professionals and three offices, our headquarters in Princeton, and additional offices in San Diego and Montreal.  We invest in healthcare companies seeking financings ranging from seed to late-stage. Our portfolio reflects the rich diversity of the healthcare industry and exemplifies our commitment to fostering the growth of exceptional businesses. In addition to our breadth of experience across many sectors of the healthcare industry, we have special expertise in therapeutics, where innovations in drug discovery technologies and molecular analysis are transforming an enormous unmet medical need. With a proven superior track record and over 40 investments in such diverse therapeutic categories as oncology, pain and infectious disease, ProQuest Investments seeks to build long term, mutually beneficial partnerships with outstanding entrepreneurs.  At the end of 2006, ProQuest Investments closed its fourth fund of $425 million.",30,,,,,Active,ProQuest Investments is a New Jersey-based venture capital firm seeking to finance seed- to late-stage healthcare companies.,1998-01-01,year,,,,,,http://www.proquestvc.com,,609.919.3560,,Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity",32,52,,12,21,21,,,,"13,345",-0.1,0,3.4,"8,494","1,694.06",944.91%,4,102.93%,1.17,-15.91%,27.11%,-34.18%,"4,384,702","-9,181,756",-67.68%,14,,,7,,,,,,,
