Organization/Person Name,Organization/Person Name URL,Location,First Name,Last Name,Regions,Gender,Full Description,Number of Articles,Twitter,LinkedIn,Facebook,Estimated Revenue Range,Operating Status,Description,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Contact Email,Phone Number,Hub Tags,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Partner Investments,Number of Lead Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Next Application Deadline,Accelerator Duration (in weeks),CB Rank (Investor),Trend Score (7 Days),Trend Score (30 Days),Trend Score (90 Days),SimilarWeb - Monthly Visits,SimilarWeb - Average Visits (6 months),SimilarWeb - Monthly Visits Growth,SimilarWeb - Visit Duration,SimilarWeb - Visit Duration Growth,SimilarWeb - Page Views / Visit,SimilarWeb - Page Views / Visit Growth,SimilarWeb - Bounce Rate,SimilarWeb - Bounce Rate Growth,SimilarWeb - Global Traffic Rank,SimilarWeb - Monthly Rank Change (#),SimilarWeb - Monthly Rank Growth,BuiltWith - Active Tech Count,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,Siftery - Total Products Active,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD)
RRE Ventures,https://www.crunchbase.com/organization/rre-ventures,"New York, New York, United States",,,"Greater New York Area, East Coast, Northeastern US",,"Since its founding in 1994, RRE Ventures has been dedicated to helping talented management teams build industry-leading companies. We have raised in excess of $1.5 billion in assets dedicated to investing in private information technology companies. We focus on rapidly growing markets in the software, internet, communications, financial services and other industries. We back entrepreneurs and management teams that possess the industry knowledge, vision, and discipline to create market-dominating companies. Our team brings a unique combination of management, operations, and investment expertise, as well as an unrivaled network of relationships, to help our entrepreneurs drive growth. At RRE, we have one mission...to help entrepreneurs build great companies.","1,006",http://twitter.com/rre,http://www.linkedin.com/company/56708,http://www.facebook.com/RREVC,,Active,"RRE Ventures is a New York-based venture capital firm that offers early-stage funding to software, internet, and communications companies.",1994-09-01,day,,,,,,http://www.rre.com/,info@rre.com,(212) 418-5100,,Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",258,473,,124,85,85,,,,"1,688",-1.2,-1.3,4.7,"10,499","8,797.37",19.26%,194,52.72%,10.08,38.39%,23.28%,-11.95%,"1,378,296","-349,215",-20.21%,65,,,37,,,,,35441,USD,35441
Greycroft,https://www.crunchbase.com/organization/greycroft,"New York, New York, United States",,,"Greater New York Area, East Coast, Northeastern US",,"Greycroft is a leading venture capital firm focused on investments in the Internet and mobile markets. With offices in two of the most important business hubs in the world - New York and Los Angeles – Greycroft is uniquely positioned to serve entrepreneurs who have chosen us as their partners. Greycroft leverages an extensive network of media and technology industry connections to help entrepreneurs gain visibility, build strategic relationships, bring their products to market, and build successful businesses. Greycroft manages in excess of $1 billion and has made over 200 investments since inception in leading companies including Acorns, App Annie, Bird, Botkeeper, Bright Health, Boxed, Braintree, Buddy Media, Everything But The House, Extreme Reach, Huffington Post, Icertis, JW Player, Maker Studios, Plated, Scopely, Shipt, TheRealReal, Thrive Market, Trunk Club, Venmo, WideOrbit, and Yeahka. For more information please visit http://www.greycroft.com.","1,126",https://twitter.com/greycroftvc,https://www.linkedin.com/company/greycroft-partners/,,,Active,Greycroft is a venture capital firm that focuses on technology start-ups and investments in the Internet and mobile markets.,2006-01-01,year,,,,,,http://greycroft.com,,(212) 756-3508,,Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity, Seed",275,459,,118,66,66,,,,"4,829",1.2,-0.3,-1.2,"13,861","19,046.72",-32.13%,217,-36.74%,6.02,29.14%,28.23%,-3.37%,"1,330,549","189,800",16.64%,25,,,70,,,,,132936,USD,132936
Lerer Hippeau,https://www.crunchbase.com/organization/lerer-ventures,"New York, New York, United States",,,"Greater New York Area, East Coast, Northeastern US",,"Founded by Ken Lerer, Ben Lerer, and Eric Hippeau, Lerer Hippeau is an early-stage venture capital fund based in New York City. ",541,http://twitter.com/LererHippeau,https://www.linkedin.com/company/9333719/,https://www.facebook.com/LererHippeau/,,Active,Lerer Hippeau is a seed and early-stage venture capital fund based in New York City.,2010-01-01,year,,,,,,http://www.lererhippeau.com,contact@lererhippeau.com,(646) 237 4837,,"Micro VC, Venture Capital","Early Stage Venture, Seed",282,425,,54,87,87,,,,"4,332",-1.1,-2.4,4.1,"23,493","13,227.36",142.07%,78,-64.33%,4.07,-26.16%,37.09%,1.05%,"1,164,060","-541,079",-31.73%,55,,,34,,,,,,,
Great Oaks Venture Capital,https://www.crunchbase.com/organization/great-oaks-venture-capital,"New York, New York, United States",,,"Greater New York Area, East Coast, Northeastern US",,"Great Oaks is a Micro-VC firm founded by [Andrew Boszhardt, Jr.](/person/andrew-boszhardt) Based in New York City, Great Oaks invests in Seed & Series A Rounds. Great Oak's portfolio includes many recognizable businesses such as [Acorns](/organization/acorns-grow), [Allbirds](/organization/allbirds), [Arbor](/organization/arbor), [Away](/organization/away-2), [Bellhops](/organization/bellhops), [Collective Health](/organization/collectivehealth), [Course Hero](/organization/coursehero), [Eero](/organization/eero), [EquipmentShare](/organization/equipmentshare-com), [Flatiron Health](/organization/flatiron-health), [Grub Market](/organization/grubmarketinc), [Hired](/organization/hired), [Ibotta](/organization/ibotta), [Invite Media](/organization/invitemedia), [JOOR](/organization/Joor), [Kinnek](/organization/kinnek), [Olapic](/organization/olapic), [RigUp](/organization/rigup), [Splash](/organization/splash), [Sprig](/organization/sprig-2), [Trulia](/organization/trulia) & [Zesty](/organization/zestyapp)",186,http://twitter.com/GreatOaksVC,http://www.linkedin.com/company/3254468,http://www.facebook.com/pages/Great-Oaks-Venture-Capital/137867486385224,,Active,"Great Oaks is an early stage venture investment firm founded by Andrew Boszhardt, Jr.",2005-01-01,day,,,,,,http://www.greatoaksvc.com,info@greatoaksvc.com,(212) 821 1800,,Micro VC,"Early Stage Venture, Seed",259,360,,21,74,74,,,,"2,020",-0.8,1.2,5.6,"3,920","5,184.99",9.67%,229,274.61%,6.31,83.24%,34.68%,-8.81%,"3,324,661","-972,476",-22.63%,12,,,9,,,,,,,
ff Venture Capital,https://www.crunchbase.com/organization/ff-venture-capital,"New York, New York, United States",,,"Greater New York Area, East Coast, Northeastern US",,"ff Venture Capital (ffVC) is one of the best performing seed- and early-stage venture capital firms investing in some of the strongest growth areas to date, including cybersecurity, artificial intelligence, machine learning, drones, enterprise cloud software, and crowdfunding. ffVC identifies and invests in technology and technology-enabled companies at their inception – across geographies and emerging industries. With three partners and an acceleration team of 20+ investment and operations professionals, ffVC actively participates with founders to develop products, target markets, and accelerate growth. Since 2008, ffVC has invested in over 100 companies and has helped to create companies with aggregate market value exceeding $6 billion.",67,http://twitter.com/ffvc,http://www.linkedin.com/company/2184099,http://www.facebook.com/ffVenture,,Active,"ff Venture Capital is a technology venture capital firm that invests in cybersecurity, AI, machine learning, drones, & cloud software.",2008-12-01,day,,,,,,http://www.ffvc.com,,,,Venture Capital,"Debt, Early Stage Venture, Late Stage Venture, Seed",119,331,,38,21,21,,,,"2,468",-0.7,2,5.8,"3,896","4,522.31",-0.61%,109,-9%,2.88,-29.44%,46.69%,24.73%,"4,356,794","651,327",17.58%,31,,,14,,,,,25605,USD,25605
BoxGroup,https://www.crunchbase.com/organization/boxgroup,"New York, New York, United States",,,"Greater New York Area, East Coast, Northeastern US",,"BoxGroup is an early stage investment fund. Our typical investment ranges from $200,000 to $500,000. BEST FIRST CONVERSATION - Before there is a company, there is a conversation - we want to be that first conversation *Early Stage - We invest as early as the friends and family round and as late as Series A. We reserve capital to follow-on. *Made in NYC - NYC is our home and we're proud of it. We have a deep network here, but fund companies anywhere. *$200-$500k Checks - We don't believe in sharp elbows and invest alongside other investors. *Friend in The Room - We believe in tough love and honesty in building relationships with founders. WYSIWYG. *Values - We partner with entrepreneurs who value integrity, curiosity, and ambition. Our goal at BoxGroup is to invest at the earliest stage. Early stage fundraising has taken on many names - friends & family round, pre-seed, seed, etc - and we're open to all of them. We're comfortable with what early means - a lot of assumptions, more vision than traction, and raw product. We support companies based on conviction in the team. We believe in ""founder market fit"" - the concept that certain teams are able to unlock specific markets. This is the first step to get to ""product market fit."" Ideas tend not to be equal opportunity which means that it requires the right team to bring a vision to life. We hope technology can be a catalyst for positive change and progress. We look for entrepreneurs working at the beginning of movements in existing markets or new markets yet to be created and with visions to create the next generation of category defining businesses. Lastly, companies are borne out of leadership. The strongest leaders display paired values and we seek out: humility with audacity, genius with hustle, curiosity with authenticity, honesty with salesmanship, and wacky with pragmatic.",225,https://twitter.com/boxgroup,https://www.linkedin.com/company/boxgroup,https://www.facebook.com/boxgroupnyc/,,Active,BoxGroup is an early stage investment fund focused on technology companies.,2009-01-01,year,,,,,,http://www.boxgroup.com/,hello@boxgroup.com,,,"Micro VC, Venture Capital","Early Stage Venture, Late Stage Venture, Seed",242,326,,9,77,77,,,,"1,039",4.8,8.3,7.7,"8,230","7,481.53",8.7%,89,-45.39%,2.38,-20.37%,39.82%,11.43%,"2,832,038","241,342",9.32%,12,,,5,,,,,,,
StartUp Health,https://www.crunchbase.com/organization/startup-health,"New York, New York, United States",,,"Greater New York Area, East Coast, Northeastern US",,"Organizing and Supporting a global army of Health Transformers  In 2011, StartUp Health introduced a revolutionary new model for transforming health by organizing and supporting a global army of entrepreneurs called Health TransformersTM. The Company has identified and is investing in 10 Health Moonshots, with the long-term goal of improving the health and wellbeing of everyone in the world. These include: Access to Care; Cost to Zero; Cure Disease, Cancer; Women’s Health; Longevity; Mental Health; Brain Health; Nutrition, and Children’s Health. StartUp Health has built the world’s largest digital health portfolio with more than 200 companies spanning five continents, 18 countries and 60+ cities. To date, 12 of its companies have been acquired by companies including Intel, WebMD, Under Armour and Zimmer Biomet and its companies have raised over $800M of funding since 2012. StartUp Health’s diverse portfolio is currently comprised of 40% “doctorpreneurs,” 30% female founders and one-third serial entrepreneurs. Founded by Steven Krein and Unity Stoakes, StartUp Health is chaired by former Time Warner CEO Jerry Levin. Notable strategic partners and investors include AARP; Aurora Health Care; California Health Care Foundation; Children’s Hospital Colorado; University of Colorado; UCHealth; Steve Case; Mark Cuban; Esther Dyson; Brad Feld; Genentech; GE Ventures; Janssen Research & Development, ; Kaiser Permanente Ventures; Robert Wood Johnson Foundation, SAP, and SeventySix Capital. To learn more, please visit http://www.startuphealth.com.",148,https://twitter.com/StartUpHealth,https://www.linkedin.com/company/startuphealth/,https://www.facebook.com/startuphealth/,,Active,StartUp Health is organizing and supporting a global army of Health Transformers to improve the health & wellbeing of everyone in the world.,2011-01-01,day,,,,,,http://www.startuphealth.com,innovate@startuphealth.com,,,Accelerator,"Crowdfunding, Early Stage Venture, Seed",277,291,,5,16,16,,2016-01-01,,25,-0.8,6.5,-0.7,"38,041","24,308.46",47.06%,103,-41.2%,2.69,-27.64%,39.96%,0.65%,"995,105","-60,990",-5.78%,47,2,49,31,,,,,29164,USD,29164
Union Square Ventures,https://www.crunchbase.com/organization/union-square-ventures,"New York, New York, United States",,,"Greater New York Area, East Coast, Northeastern US",,"Union Square Ventures is a private equity and venture capital firm focused on early stage, growth capital, late stage, and startup financing. It exclusively invests in the internet world, focusing on the applications layer of the web, internet services, and web services that create large networks as well as the mobile sector. Most of its invested companies are based in New York, San Francisco, London, or Berlin, and most places in between. It typically makes a starting investment in portfolio companies of $1 million. In certain Series Around cases, the firm may make a starting investment between $2.5 million to $3 million. It typically invests up to $20 million in any single company. Union Square Ventures was founded in 2003 and is based in New York, Untied States.","2,787",https://twitter.com/usv,https://www.linkedin.com/company-beta/3526954,https://www.facebook.com/unionsqventures,,Active,"Union Square Ventures is a venture capital firm focused on early stage, growth capital, late stage, and startup financing.",2004-11-01,day,,,,,,http://www.usv.com,info@unionsquareventures.com,(212) 994-7399,,Venture Capital,"Debt, Early Stage Venture, Late Stage Venture, Seed",120,275,,113,37,37,,,,467,-1.8,-0.3,4.5,"49,742","52,471.34",-22.08%,144,166.52%,3.84,44.84%,48.51%,-10.02%,"660,342","74,064",12.63%,52,,,37,,,,,46839,USD,46839
Dreamit Ventures,https://www.crunchbase.com/organization/dreamit-ventures,"New York, New York, United States",,,"Greater New York Area, East Coast, Northeastern US",,"Dreamit is an early stage venture fund that accelerates startups building transformative tech products in the fields of healthcare, real estate, construction, cybersecurity, and physical security. Dreamit invests in startups with demonstrable traction that are looking to rapidly gain customers, initiate new partnerships and to raise additional capital. Startups participate in one of Dreamit's three industry verticals: Urbantech, Healthtech, or Securetech. Founders meet with dozens of potential customers and partners on multi-city Customer Sprints™, pitch leading venture firms during Investor Sprints™, receive hands-on coaching, and gain access to a vast network of experienced alumni and advisors. Since its founding in 2008, Dreamit has accelerated over 320 startups, including LevelUp (acquired by GrubHub), Trendkite (acquired by Cision), SeatGeek, HouseParty (acquired by Epic Games), Adaptly (acquired by Accenture), Wellth, Biomeme, Tissue Analytics, Redox, Eko Devices, Raxar, Cylera and Elevate. Dreamit portfolio companies have raised over $800 million in follow-on funding and have a combined valuation of over $2 billion. Learn more: www.dreamit.com",242,http://twitter.com/dreamit,http://www.linkedin.com/company/dreamit-ventures,http://www.facebook.com/dreamitventures,$1M to $10M,Active,"Dreamit is a venture fund and growth-focused accelerator for Urbantech, Securetech, and Healthtech startups",2007-01-01,year,,,,,,http://www.dreamit.com,findthefuture@dreamit.com,,,"Accelerator, Venture Capital","Early Stage Venture, Seed",238,266,,2,24,24,Online,,14,"2,811",-0.4,4.5,-0.7,"30,438","23,380.82",-9.05%,79,6.94%,1.82,-19.31%,58.59%,28.42%,"1,341,214","237,420",21.51%,41,,,19,,,,,,,
FJ Labs,https://www.crunchbase.com/organization/fj-labs,"New York, New York, United States",,,"Greater New York Area, East Coast, Northeastern US",,"FJ Labs is a stage-agnostic investment firm that focuses on marketplaces and consumer facing startups. Their investments are seed and series A. The investment range of the company is $50,000 to $5,000,000. It invests in Alibaba Group, beepi, BrightRoll, Betterment, ADORE ME, and earnest. FJ Labs is a U.S.-based company that was founded in 2015 by Fabrice Grinda.",14,,https://www.linkedin.com/company/fj-labs,https://www.facebook.com/FJLABS/,,Active,FJ Labs is a stage-agnostic New York-based investment firm with global focus. FJ Labs focuses on marketplaces and consumer facing startups.,2015-01-01,year,,,,,,http://www.fjlabs.com,,,,"Micro VC, Venture Capital","Early Stage Venture, Seed",213,254,,12,25,25,,,,610,4.5,8.4,7.8,"5,735","6,658.1",2.81%,67,-55.51%,2.03,-14.91%,37.15%,-5.29%,"3,753,016","284,433",8.2%,3,,,28,,,,,,,
