Organization/Person Name,Organization/Person Name URL,Location,First Name,Last Name,Regions,Gender,Full Description,Number of Articles,Twitter,LinkedIn,Facebook,Estimated Revenue Range,Operating Status,Description,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Contact Email,Phone Number,Hub Tags,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Partner Investments,Number of Lead Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Next Application Deadline,Accelerator Duration (in weeks),CB Rank (Investor),Trend Score (7 Days),Trend Score (30 Days),Trend Score (90 Days),SimilarWeb - Monthly Visits,SimilarWeb - Average Visits (6 months),SimilarWeb - Monthly Visits Growth,SimilarWeb - Visit Duration,SimilarWeb - Visit Duration Growth,SimilarWeb - Page Views / Visit,SimilarWeb - Page Views / Visit Growth,SimilarWeb - Bounce Rate,SimilarWeb - Bounce Rate Growth,SimilarWeb - Global Traffic Rank,SimilarWeb - Monthly Rank Change (#),SimilarWeb - Monthly Rank Growth,BuiltWith - Active Tech Count,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,Siftery - Total Products Active,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD)
SV Angel,https://www.crunchbase.com/organization/sv-angel,"San Francisco, California, United States",,,"San Francisco Bay Area, West Coast, Western US",,"SV Angel is a San Francisco-based seed fund founded by [Ron Conway](/person/ron-conway). SV Angel provides seed investment and advice to early stage companies focused on Internet software. SV Angel takes a portfolio approach to seed investing. We differ from a traditional venture capital firm by not taking board seats and investing a larger number of companies. We leverage a best in class relationship network to be the valley's human router and help startups with business development, financing, M&A and other strategic advice.  Ron pioneered this approach over 20 years ago and SV Angel still employs it today. Over the last 20 years the firm and partners have invested and advised companies such as Facebook, Google, PayPal, Dropbox, Airbnb, Pinterest, Twitter, SnapChat, Square, Cloudera and many more.","2,495",https://www.twitter.com/svangel,https://www.linkedin.com/company/sv-angel,https://www.facebook.com/svangelfirm,,Active,"SV Angel is a San Francisco-based angel firm that helps startups with business development, financing, M&A, and other strategic advice.",2009-01-01,year,,,,,,http://www.svangel.com,,,,Micro VC,"Crowdfunding, Debt, Early Stage Venture, Late Stage Venture, Private Equity, Seed",747,885,,29,281,281,,,,"5,017",0.8,2.2,-1,"6,873","8,867.67",8.81%,59,42.9%,2.08,-9.43%,52.71%,7.64%,"3,243,472","48,516",1.52%,14,,,15,,,,,,,
Right Side Capital Management,https://www.crunchbase.com/organization/right-side-capital-management,"San Francisco, California, United States",,,"San Francisco Bay Area, West Coast, Western US",,"Right Side Capital Management is a venture capital firm that helps startups build their company. It invests exclusively in the pre-seed round of technology startups and makes 75-100 investment per year. The firms prefers to invest in diversified technology sectors such as the internet and cloud companies. RSCM was established in 2010 and is based in San Francisco, California.",18,,https://www.linkedin.com/company/right-side-capital-management,,,Active,Right Side Capital Management is a technology startup investment firm focused exclusively on the pre-seed stage.,2010-01-01,day,,,,,,http://rightsidecapital.com/,Admin@rightsidecapital.com,053-881-6943,,Micro VC,Seed,788,835,,14,91,91,,,,"2,539",-0.9,-0.9,-0.9,"2,481","3,310.36",-40.2%,79,-70.03%,2.1,-7.23%,37.74%,-9.13%,"6,767,452","2,239,807",49.47%,14,,,7,,,,,,,
Index Ventures,https://www.crunchbase.com/organization/index-ventures,"San Francisco, California, United States",,,"San Francisco Bay Area, West Coast, Western US",,"Index Ventures is a venture capital firm based in London, San Francisco and Geneva, helping entrepreneurs turn bold ideas into global businesses.  Since 1996, Index has partnered with exceptional entrepreneurs who are using technology to reshape the world around us.   The companies they’ve started include Adyen, Deliveroo, Dropbox, Farfetch, King, Slack and Supercell.","3,936",http://twitter.com/indexventures,http://www.linkedin.com/company/index-ventures,,,Active,Index helps the most ambitious entrepreneurs turn bold ideas into global businesses.,1996-01-01,year,,,,,,http://www.indexventures.com,,415-471-1700,,Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",421,746,,271,155,155,,,,938,2.4,5.8,4.8,"65,200","56,503.2",31.76%,126,-47.46%,3.83,-27.14%,39.86%,-0.79%,"530,652","-9,107",-1.69%,37,,,29,,,,,70032,USD,70032
First Round Capital,https://www.crunchbase.com/organization/first-round-capital,"San Francisco, California, United States",,,"San Francisco Bay Area, West Coast, Western US",,"First Round is a seed-stage venture firm focused on building a vibrant community of technology entrepreneurs and companies, including Uber, Square and Warby Parker. Through custom-built software, incredible in-person experiences, and a host of other unique services, First Round helps tiny companies get big while constantly reimagining the role of venture capital.","1,647",http://twitter.com/firstround,https://www.linkedin.com/company/first-round-capital/,http://www.facebook.com/firstroundcapital,,Active,First Round is a venture capital firm that specializes in providing seed-stage funding to technology companies.,2004-11-01,day,,,,,,http://www.firstround.com,info@firstround.com,,,Venture Capital,"Debt, Early Stage Venture, Late Stage Venture, Seed",362,690,,110,134,134,,,,"2,019",-1.3,2.2,5.6,"482,360","440,770.21",1.8%,86,18.49%,1.86,8.12%,69.17%,-0.43%,"139,283","-6,357",-4.36%,82,1,9,33,,,,,,,
Benchmark,https://www.crunchbase.com/organization/benchmark,"San Francisco, California, United States",,,"San Francisco Bay Area, West Coast, Western US",,"Benchmark invests in and works alongside entrepreneurs building startups into transformational companies. They focus on early-stage venture investing in mobile, marketplaces, social, and infrastructure and enterprise software.  Founded in 1995, the firm has offices in Woodside and San Francisco, California.  The firm has been recognized for its commitment to open source and is noted for creating the first equal ownership and compensation structure for its partners. The six equal general partners who take board seats and a hands-on approach to every entrepreneur and company they back, with no junior investment staff. Current general partners are Matt Cohler, Peter Fenton, Bill Gurley, Mitch Lasky, Eric Vishria, and Scott Belsky. Benchmark has had 37 exits since beginning of 2011; 14 IPOs and 23 M&As representing a total market value of more than $60 billion. Benchmark’s current portfolio of early-stage venture investments includes private market leaders such as Uber, Snapchat, Tinder, Stitch Fix, Elastic and Cyanogen; recent IPOs and acquisitions such as Twitter, Instagram, Yelp, League of Legends, Jasper, OpenTable, New Relic, Hortonworks, GrubHub, Zendesk and Zillow; and franchise companies from Juniper to eBay to Red Hat.","2,750",http://twitter.com/benchmark,http://www.linkedin.com/company/benchmark-capital,http://www.facebook.com/Benchmark,,Active,"Benchmark focuses on early-stage venture investing in mobile, marketplaces, social, and infrastructure and enterprise software.",1995-01-01,year,,,,,,http://www.benchmark.com,,,,Venture Capital,Early Stage Venture,280,581,,182,153,153,,,,"1,161",0.3,1.2,8.2,"45,082","58,534.08",-19.05%,16,36.99%,1.28,8.84%,69.41%,5.02%,"1,043,898","132,035",14.48%,7,3,,9,,,,,463145,USD,463145
Matrix Partners,https://www.crunchbase.com/organization/matrix-partners,"San Francisco, California, United States",,,"San Francisco Bay Area, West Coast, Western US",,"Matrix Partners works with visionary founders of early-stage startups to amplify their potential. Their general partners blend deep experience with personal commitment to support founders from start to success. Recent Matrix investments include Oculus VR, Zendesk, Hubspot, Acacia Communications, Polyvore, Lever, Poynt and Namely. Founded in 1977, Matrix Partners has East and West Coast offices (San Francisco and Cambridge) as well as offices in Shanghai, Bejiing, Mumbai, and Bangalore.","2,007",http://twitter.com/matrixpartners,https://www.linkedin.com/company/27576,,,Active,Matrix Partners is a venture capital firm focused on seed- and early-stage investments.,1977-01-01,year,,,,,,https://www.matrixpartners.com,info@matrixpartners.com,617-866-4999,,Venture Capital,"Early Stage Venture, Seed",278,525,,154,111,111,,,,"2,380",0.5,6.3,2.1,"15,410","10,426.14",141.23%,62,-57.31%,2.86,-26.94%,38.48%,6.59%,"1,747,127","-842,417",-32.53%,49,,,40,,,,,431374,USD,431374
Founders Fund,https://www.crunchbase.com/organization/founders-fund,"San Francisco, California, United States",,,"San Francisco Bay Area, West Coast, Western US",,"Founders Fund is a San Francisco based venture capital firm that invests at every stage in companies building revolutionary technologies. The firm and its partners have been  investors, founders, and early employees of prominent technology companies including PayPal, Facebook, Space Exploration Technologies (SpaceX), and Palantir Technologies.  Founders Fund was formed in 2005 and has raised five funds to date with more than $2 billion in aggregate capital under management. The firm has historically invested in a wide variety of sectors, including aerospace, artificial intelligence, advanced computing, energy, health, and consumer Internet.","2,189",http://twitter.com/foundersfund,https://www.linkedin.com/company/the-founders-fund,https://www.facebook.com/foundersfund,,Active,Founders Fund is a San Francisco based venture capital firm investing in companies building revolutionary technologies.,2005-07-01,day,,,,,,http://www.foundersfund.com,,,,Venture Capital,"Debt, Early Stage Venture, Grant, Late Stage Venture, Private Equity, Seed",321,475,,127,77,77,,,,"1,526",-2.4,-3.2,-0.8,"65,926","55,635.33",0.36%,196,44.59%,8.05,24.92%,36.57%,18.26%,"387,062","-38,653",-9.08%,32,,,15,,,,,441356,USD,441356
FundersClub,https://www.crunchbase.com/organization/fundersclub,"San Francisco, California, United States",,,"San Francisco Bay Area, West Coast, Western US",,"FundersClub focuses on Seed and early stage investments. Investments include Coinbase, Instacart, Flexport, Le Tote, Teespring, Memebox, GitLab. FundersClub is the world's first online venture capital platform. Backed by Y Combinator, First Round Capital, Spark Capital, Intel Capital, Draper, Andreessen Horowitz, Felicis Ventures, and more; FundersClub Inc. was founded in 2012 and is based in the United States.",368,http://twitter.com/fundersclub,http://www.linkedin.com/company/2850013,http://www.facebook.com/FundersClub,,Active,FundersClub is an online venture capital firm.,2012-07-01,day,,,,,,http://fundersclub.com,contact@fundersclub.com,888-405-9335,,Micro VC,"Early Stage Venture, Seed",312,396,,,42,42,,,,515,-0.3,-1,-7.2,"74,431","80,846.77",11.65%,100,31.82%,2.16,10.7%,55.54%,-6.79%,"598,781","-72,060",-10.74%,36,,,46,,,,,86750,USD,86750
Slow Ventures,https://www.crunchbase.com/organization/slow-ventures,"San Francisco, California, United States",,,"San Francisco Bay Area, West Coast, Western US",,"The most powerful ideas, companies, and industries aren’t created overnight. With a community built on collective experience and fueled by curiosity, Slow understands the entrepreneurial journey. Investing at the center of technology and on the edges of science, society, and culture, Slow gives founders the resources, connections, experiences, and empathy required to build strong, sustainable companies.",68,http://twitter.com/slow,https://www.linkedin.com/company-beta/8455842/,http://www.facebook.com/slowventures,,Active,"Slow Ventures invests in companies central to the technology industry and those on the edges of science, society, and culture.",2009-01-01,year,,,,,,http://www.slow.co,,,,Micro VC,,300,387,,17,76,76,,,,"4,077",-0.8,-0.2,1.6,"7,108","5,346.22",35.64%,29,79.54%,1.12,-2%,88.07%,27.69%,"3,969,207","-1,144,773",-22.39%,5,,,6,,,,,,,
Salesforce Ventures,https://www.crunchbase.com/organization/salesforce-ventures,"San Francisco, California, United States",,,"San Francisco Bay Area, West Coast, Western US",,"Salesforce Ventures—the company’s corporate investment group—invests in the next generation of enterprise technology that extends the power of the Salesforce Intelligent Customer Success Platform, helping companies connect with their customers in entirely new ways. Portfolio companies receive funding as well as access to the world’s largest cloud ecosystem and the guidance of Salesforce’s innovators and executives. With Salesforce Ventures, portfolio companies can also leverage Salesforce's expertise in corporate philanthropy by joining Pledge 1% to make giving back part of their business model. Salesforce Ventures has invested in more than 250 enterprise cloud startups in 14 different countries since 2009. ",413,https://twitter.com/salesforcevc,http://www.linkedin.com/company/salesforce,http://www.facebook.com/salesforce,,Active,Salesforce Ventures invests in the next gen of enterprise tech to help companies connect with their customers in entirely new ways.,2009-01-01,year,,,,,,https://www.salesforce.com/ventures/,,,,Corporate Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",269,374,,67,75,75,,,,770,6.8,4,-2.5,,,,,,,,,,,,,13,,"231,424",,,,,,,,
