Organization/Person Name,Organization/Person Name URL,Location,First Name,Last Name,Regions,Gender,Full Description,Number of Articles,Twitter,LinkedIn,Facebook,Estimated Revenue Range,Operating Status,Description,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Contact Email,Phone Number,Hub Tags,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Partner Investments,Number of Lead Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Next Application Deadline,Accelerator Duration (in weeks),CB Rank (Investor),Trend Score (7 Days),Trend Score (30 Days),Trend Score (90 Days),SimilarWeb - Monthly Visits,SimilarWeb - Average Visits (6 months),SimilarWeb - Monthly Visits Growth,SimilarWeb - Visit Duration,SimilarWeb - Visit Duration Growth,SimilarWeb - Page Views / Visit,SimilarWeb - Page Views / Visit Growth,SimilarWeb - Bounce Rate,SimilarWeb - Bounce Rate Growth,SimilarWeb - Global Traffic Rank,SimilarWeb - Monthly Rank Change (#),SimilarWeb - Monthly Rank Growth,BuiltWith - Active Tech Count,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,Siftery - Total Products Active,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD)
Pegasus Tech Ventures,https://www.crunchbase.com/organization/pegasus-tech-ventures,"San Jose, California, United States",,,"San Francisco Bay Area, Silicon Valley, West Coast",,"Pegasus Tech Ventures is a Silicon Valley-based venture capital firm working with emerging technology companies across the world, and specialize in helping entrepreneurs achieve global expansion into North America, Asia, and Europe. Our 90+ person team operates out of offices across 7 different countries and offers a wide range of domain expertise. Pegasus Tech Ventures currently has several multi-million dollar funds under management. We seek to work with world-class management and technical teams that are targeting disruptive opportunities in IT, Health IT, Artificial Intelligence, IoT, Robotics, Big Data, Virtual Reality, Augmented Reality, Quantum Computing, FinTech, and Next Generation Technologies.",1,https://twitter.com/pegasustech_v,https://www.linkedin.com/company/pegasus-tech-ventures/,https://www.facebook.com/PegasusTechVentures/,,Active,Pegasus Tech Ventures is a Silicon Valley-based global venture capital firm.,2011-01-01,day,,,,,,https://www.pegasustechventures.com,contact@pegasusventures.com,408-645-5532,,Venture Capital,"Early Stage Venture, Seed",144,181,,16,15,15,,,,"4,240",-0.6,-0.8,-3.4,"7,034","4,430.76",87.15%,127,-53.23%,3.46,-28.15%,24.24%,8.24%,"2,760,376","-947,263",-25.55%,14,,,,,,,,,,
Vanguard Ventures,https://www.crunchbase.com/organization/vanguard-ventures,"San Jose, California, United States",,,"San Francisco Bay Area, Silicon Valley, West Coast",,"""Vanguard Ventures is a leading early stage venture capital firm that helps entrepreneurs build pioneering technology and life science companies. Vanguard partners bring hands-on entrepreneurial experience to the firm, as well as executive and venture capital backgrounds."" [Source](http://www.vanguardventures.com/about/index.html) (vanguardventures.com)",38,,,,,Active,Vanguard Ventures is a leading early stage venture capital firm that helps entrepreneurs build pioneering technology and life science,1981-01-01,year,,,,,,http://www.vanguardventures.com,info@vanguardventures.com,,,Venture Capital,"Early Stage Venture, Late Stage Venture",29,56,,9,18,18,,,,"11,522",1.6,2,0.6,,52.31,,,,,,,,,,,2,1,,,,,,,,,
ePlanet Capital,https://www.crunchbase.com/organization/dfj-eplanet-ventures,"San Jose, California, United States",,,"San Francisco Bay Area, Silicon Valley, West Coast",,"EPlanet Capital is a growth investor that provides venture capital and investment for telecom, media, and technology companies. It is focused on companies that display considerably high growth and development in emerging and developing countries of the world. EPlanet Capital has invested in over 99 companies that span from Baidu in China to Virgin Mobile in Latin America.",11,,,,,Closed,"EPlanet Capital provides venture capital and investment for telecom, media, and technology companies.",1999-01-01,year,,,,none,,http://www.eplanetcapital.com,siliconvalley@eplanetcapital.com,408 236 6500,,Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity",34,48,,14,16,16,,,,"6,956",-0.3,-0.4,3.1,344,293.37,137.46%,34,50.67%,12.55,318.23%,,,"12,352,544","-11,910,209",-49.09%,16,,,7,,,,,,,
VentureTech Alliance,https://www.crunchbase.com/organization/venturetech-alliance,"San Jose, California, United States",,,"San Francisco Bay Area, Silicon Valley, West Coast",,"TechAlliance empowers London and Southwestern Ontarioâ€:tm:s technology sector. They prepare todayâ€:tm:s entrepreneurs to launch new ventures,",28,,,https://www.facebook.com/techalliance,,Active,"TechAlliance empowers London and Southwestern Ontarioâ€™s technology sector. They prepare todayâ€™s entrepreneurs to launch new ventures,",2001-01-01,year,,,,,,http://www.vtalliance.com,,,,Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity",24,44,,3,18,18,,,,"27,993",0.8,0,0,296,92.42,"1,016.05%",,,1,-66.67%,100%,100%,"25,179,765","-8,223,878",-24.62%,7,,,,,,,,,,
Pond Ventures,https://www.crunchbase.com/organization/pond-ventures,"San Jose, California, United States",,,"San Francisco Bay Area, Silicon Valley, West Coast",,"Pond Ventures is an investment firm that provides venture capital and investments for tech startups and companies. It also provides its clients with services such as recruiting employees and building a network of customers, suppliers, and partners. Pond Ventures operates three teams in Silicon Valley, London, and Israel.",21,http://twitter.com/PondVentures,,,,Active,Pond Ventures is an investment firm that provides venture capital and investments for tech startups and companies.,,,,,,,,http://www.pondventures.com,info@pondventures.com,,,Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",18,35,,10,12,12,,,,"13,043",0.4,3.1,2.6,172,85.38,501.85%,,,1,0%,100%,0%,"27,978,863","-6,582,668",-19.05%,4,,,,,,,,,,
PayPal Ventures,https://www.crunchbase.com/organization/paypal-ventures,"San Jose, California, United States",,,"San Francisco Bay Area, Silicon Valley, West Coast",,"PayPal Ventures is PayPal's venture capital arm, investing in PayPal's strategic interest fields for return. Leveraging PayPal Venture's expertise and experience, PayPal – and the companies in which it invests – are helping to bring innovative solutions to market more quickly, scale them faster, and build a global financial system that is more transparent, personalized, inclusive and customer-focused. PayPal Venture's investments reinforce its commitment to leading the financial technology industry and supporting entrepreneurship.",,,,,,Active,"PayPal Ventures is a corporate VC, investing in best-in-class financial services, commerce enablement, and data & infrastructure companies",,,,,,,,https://www.paypal.com/us/webapps/mpp/paypal-ventures,,,,Corporate Venture Capital,,22,33,,14,2,2,,,,"4,644",-0.3,4.3,9.4,,,,,,,,,,,,,,,,,,,,,,,
Adobe Ventures,https://www.crunchbase.com/organization/adobe-ventures,"San Jose, California, United States",,,"San Francisco Bay Area, Silicon Valley, West Coast",,"Adobe Ventures is [Adobe's](http://www.crunchbase.com/organization/adobe-systems) investment arm. Adobe Ventures aims to invest approximately $100 million between 2008-2011 in companies leveraging Adobe platform technologies, particularly those delivering applications based on AdobeÂ® Integrated Runtime (AIRâ„¢).",20,,,,,Active,Adobe Ventures is Adobe's investment arm. Adobe Ventures aims to invest approximately $100 million between 2008-2011 in companies,,,,,,,,http://www.adobe.com/ventures.html,newventure@adobe.com,,,Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",22,30,,6,14,14,,,,"15,353",-0.2,0,0.5,,,,,,,,,,,,,19,,,,,,,,,,
InveStar Capital,https://www.crunchbase.com/organization/investar-capital,"San Jose, California, United States",,,"San Francisco Bay Area, Silicon Valley, West Coast",,"Founded in 1996, InveStar Capital, Inc. is a venture capital firm with offices in the United States and Taiwan. We, at InveStar, focus on semiconductors, communications and networking, and Internet infrastructure companies. Managing several funds with a total size of over US$500 million, we have built a portfolio of more than 100 companies, of which roughly 73% are in the United States and 27% in Taiwan. We are seeking to expand our investment target to include companies in mainland China and other parts in the Pacific Rim. By linking our portfolio companies with our investors and other strategic partners throughout Asia, we are proud to play the role of bridging the technologies between the West and the East. Impeccable integrity, dedication to service, and fairness to all are the core corporate values of InveStar. Our investment philosophy is to identify entrepreneurs with vision, innovative technology, and a strong sense of commitment. In addition to providing companies with venture capital, we also assume an active role in offering strategic advice to, and sharing our management expertise, experiences, and business connections with, our portfolio companies.",1,,,,,Active,"Founded in 1996, InveStar Capital, Inc. is a venture capital firm with offices in the United States and Taiwan. We, at InveStar, focus on",1996-01-01,year,,,,,,http://www.investar-cap.com.tw,mtung@investar-cap.com,,,Venture Capital,Early Stage Venture,20,30,,3,12,12,,,,"89,776",-0.2,-0.2,-0.2,,,,,,,,,,,,,,,,,,,,,,,
Gold Hill Capital,https://www.crunchbase.com/organization/gold-hill-capital,"San Jose, California, United States",,,"San Francisco Bay Area, Silicon Valley, West Coast",,"Gold Hill Capital is an independent, private financing firm focused on providing capital to successful companies within the technology and life science industries.  Gold Hill is capitalized by top-tier institutional investors with aggregate investment capital of approximately $1 billion deployed over two funds.  Gold Hill has a highly-focused team dedicated to delivering flexible financing solutions for expansion stage companies. Our team provides an unparalleled level of financial experience working with technology companies â€“ experience that includes investment banking, venture capital, international finance, mezzanine finance and asset-based lending. Gold Hill is headquartered in San Jose, CA with an office in Boston, MA.",18,http://twitter.com/GoldHillCapital,,,,Active,Gold Hill Capital focuses on providing capital to successful companies within the technology and life science industries,,,,,,,,http://www.goldhillcapital.com,,,,"Private Equity Firm, Venture Capital","Debt, Early Stage Venture, Late Stage Venture, Seed",24,28,,1,13,13,,,,"13,914",0.6,0,0,,,,,,,,,,,,,4,,,,,,,,,,
Sparkland Capital,https://www.crunchbase.com/organization/sparkland-cap,"San Jose, California, United States",,,"San Francisco Bay Area, Silicon Valley, West Coast",,"Sparkland Capital is an early-stage venture capital firm that invests in frontier technologies. With Asian-access capital and resources, we back global visionary entrepreneurs who move fast, think big, and are committed to reimagine the world. Connecting Silicon Valley and Asia, we leverage our deep networks to provide market intelligence, strategic advice and local relationships for founders to expand. Entrepreneurship is in our DNA. We trust, believe and work with entrepreneurs to disrupt existing industries, redefine the markets, and create the future. The Sparkland team is comprised of dedicated entrepreneurs, investors, founders, and early employees from prominent technology companies.  Our investment focus are VR/AR, IoT, Cyber Security, AI/Robotics, and Enterprise Software. Since 2014, we have invested in over 30 innovative startups.",3,,https://www.linkedin.com/company/sparkland-capital,,,Active,Sparkland Capital is an early-stage venture capital firm that invests in frontier technologies.,2014-12-01,month,,,,,,http://www.sparklandcap.com/,info@sparklandcap.com,,,"Micro VC, Venture Capital","Early Stage Venture, Seed",24,27,,1,2,2,,,,"14,634",-0.2,-0.3,-0.4,299,358.18,-67.27%,26,578.31%,1.5,22.39%,49.81%,-24.04%,"21,290,328","7,705,816",56.73%,8,,,,,,,,,,
