Organization/Person Name,Organization/Person Name URL,Location,First Name,Last Name,Regions,Gender,Full Description,Number of Articles,Twitter,LinkedIn,Facebook,Estimated Revenue Range,Operating Status,Description,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Contact Email,Phone Number,Hub Tags,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Partner Investments,Number of Lead Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Next Application Deadline,Accelerator Duration (in weeks),CB Rank (Investor),Trend Score (7 Days),Trend Score (30 Days),Trend Score (90 Days),SimilarWeb - Monthly Visits,SimilarWeb - Average Visits (6 months),SimilarWeb - Monthly Visits Growth,SimilarWeb - Visit Duration,SimilarWeb - Visit Duration Growth,SimilarWeb - Page Views / Visit,SimilarWeb - Page Views / Visit Growth,SimilarWeb - Bounce Rate,SimilarWeb - Bounce Rate Growth,SimilarWeb - Global Traffic Rank,SimilarWeb - Monthly Rank Change (#),SimilarWeb - Monthly Rank Growth,BuiltWith - Active Tech Count,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,Siftery - Total Products Active,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD)
Austin Ventures,https://www.crunchbase.com/organization/austin-ventures,"Austin, Texas, United States",,,Southern US,,"Austin Ventures (“AV”) has worked with talented entrepreneurs to build valuable companies for over 30 years. With $3.9 billion of capital raised, AV is the most active venture capital firm in Texas and one of the most established in the nation. AV invests in early stage and middle market companies, and its strategy is to partner with talented executives and entrepreneurs to build industry-leading companies predominantly in Texas.",478,http://twitter.com/AustinVentures,http://www.linkedin.com/company/162584,http://www.facebook.com/austinventures,,Active,Austin Ventures is a venture capital firm investing in early stage and middle market companies.,1984-01-01,year,,,,,,http://www.austinventures.com,khughes@austinventures.com,,,Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity, Seed",178,372,,129,100,100,,,,"5,986",0,0.9,-0.4,"3,824","3,716.54",42.03%,76,-34.82%,3.65,-12.63%,51.09%,4.83%,"4,027,243","-727,188",-15.29%,28,,,13,,,,,10264085,USD,10264085
Sevin Rosen Funds,https://www.crunchbase.com/organization/sevin-rosen-funds,"Dallas, Texas, United States",,,"Dallas/Fort Worth Metroplex, Southern US",,"Although technologies and markets have changed dramatically during the last 25 years, the investment principles upon which Sevin Rosen Funds was founded in 1981 have not. The Sevin Rosen team, all seasoned high-tech executives, always takes a very active and team-oriented approach to helping entrepreneurs throughout every stage of the company-building process. Sevin Rosen Funds examine technology trends, identifying those technologies they believe will transform entire industries. Their emphasis is on what will happen next, what will succeed, and then, what will endure. Sevin Rosen Funds mean what they say. In the venture capital world -- a world based almost entirely on personal relationships -- their word and their good name are their most valuable assets. And in all their relationships, they 've consistently placed a premium on honesty and fairness.",105,https://www.twitter.com/srfunds,,,,Active,"Although technologies and markets have changed dramatically during the last 25 years, the investment principles upon which Sevin Rosen",1981-01-01,year,,,,,,http://www.srfunds.com,info@srfunds.com,,,Venture Capital,"Debt, Early Stage Venture, Late Stage Venture",106,211,,42,61,61,,,,"9,289",-0.1,1,-0.2,146,162.61,583.75%,32,-97.99%,1.54,-22.91%,81.94%,81.94%,"27,544,044","-6,933,917",-20.11%,9,,,9,,,,,,,
Houston Angel Network,https://www.crunchbase.com/organization/houston-angel-network,"Houston, Texas, United States",,,"Greater Houston Area, Southern US",,"The Houston Angel Network (HAN) is the oldest angel network in Texas and most active angel network in the USA according to the Angel Resource Institute.  Its members have invested more than $61.7M in 198 deals since its inception in 2001.  In 2014, HAN members invested $15.3M in 66 deals.  The typical individual HAN member is an accredited investor seriously interested in providing capital and coaching to early stage companies. HAN also has institutional members such as seed funds, accelerators, universities and other networks within the innovation ecosystem.  HAN is a non-profit association that does not charge fees to entrepreneurs; its revenue consists of membership fees and sponsorships.",26,http://twitter.com/Houston_Angels,https://www.linkedin.com/groups/Houston-Angel-Network-Forum-60467/about,,,Active,Houston Angel Network provides capital to early-stage companies in Texas and the rest of the US.,2001-01-01,day,,,,,,http://www.houstonangelnetwork.org,,,,Angel Group,Seed,112,179,,13,16,16,,,,"7,783",-0.2,-0.9,1.4,513,969.02,7.68%,103,354.65%,3.49,74.32%,29.54%,-37.12%,"13,929,899","-2,115,649",-13.19%,5,,,,,,,,,,
Mercury Fund,https://www.crunchbase.com/organization/mercury-fund,"Houston, Texas, United States",,,"Greater Houston Area, Southern US",,"Mercury Fund is an early-stage venture capital firm. With over $200 million under management, Mercury invests in compelling and novel startup opportunities, focusing on entrepreneurs and technology innovation originating in the U.S. Midcontinent. Since inception in 2005, Mercury has become one of the most active venture firms in the middle of the U.S., becoming a “go-to” fund for entrepreneurs when they have demonstrated product-market fit, and are ready to scale their business.",157,http://twitter.com/mercuryfund,http://www.linkedin.com/company/89092,http://www.facebook.com/pages/DFJ-Mercury/132305900149955,,Active,"Mercury Fund is an early-stage venture capital firm. With over $200 million under management, Mercury invests in the middle of the U.S.",2005-03-10,day,,,,,,http://www.mercuryfund.com,info@mercuryfund.com,(713) 715-6820,,Venture Capital,Early Stage Venture,56,138,,38,16,16,,,,"4,274",-0.4,-1.2,2.4,"4,873","4,186.27",51.44%,135,80.54%,1.54,-16.08%,73.67%,20.8%,"4,713,481","-998,871",-17.49%,26,,,8,,,,,53605,USD,53605
Capital Factory,https://www.crunchbase.com/organization/capital-factory,"Austin, Texas, United States",,,Southern US,,"Capital Factory is the center of gravity for entrepreneurs in Texas, the number one startup state in the U.S. Last year more than 200,000 entrepreneurs, programmers and designers gathered day and night, in-person and online for meetups, classes and coworking.  With boots on the ground in Austin, Dallas and Houston, we meet the best entrepreneurs in Texas and introduce them to their first investors, employees, mentors and customers.  According to Pitchbook, Capital Factory has been the most active investor in Texas since 2013.",335,http://twitter.com/capitalfactory,http://www.linkedin.com/company/capital-factory,http://www.facebook.com/capitalfactory,,Active,Capital Factory is the center of gravity for tech startups in Texas.,2009-01-01,year,,,,,,http://www.capitalfactory.com,,+1 512-548-9675,,"Accelerator, Co-Working Space, Incubator, Venture Capital","Early Stage Venture, Seed",112,132,,8,12,12,On-Site,2019-07-03,,"1,965",-1.3,-1.4,-0.1,"49,597","41,103.22",90.52%,92,14.4%,2.08,-11.35%,50.55%,-5.38%,"877,474","-336,235",-27.7%,22,2,,22,,,,,,,
Silverton Partners,https://www.crunchbase.com/organization/silverton-partners,"Austin, Texas, United States",,,Southern US,,"Silverton Partners is people-driven in their investment strategy. They back exceptional teams who not only have the talent to identify and execute on exciting opportunities but can also pull off the mid-course corrections that are inevitably required in an early stage company. They focus on executive leadership, execution ability and domain expertise in our assessment of teams. Silverton Partners' investment approach centers on putting the entrepreneur first. They are typically the go-to guy in the investment syndicate and usually hear the bad news first. They are committed to putting a fair deal on the table, being unusually responsive to their entrepreneurs' needs and putting the company's interests ahead of their own. They believe in communication that is open, honest and direct. They are almost always the first institutional investor in a company and the lead investor if there is a syndicate of investors. They invest in pure start-ups, in boot-strapped companies that are ready for expansion capital (or founder liquidity), and in angel-backed companies which seek institutional backing. They typically invest up to $3 million in an initial financing, with the expectation that they will double that commitment over the life of the company. ",173,http://twitter.com/silvertonvc,https://www.linkedin.com/company/1026196,,,Active,Silverton works with exceptional entrepreneurs who are committed to attacking growth markets and building lasting companies.,2003-01-01,year,,,,,,http://www.silvertonpartners.com,,512-476-6700,,Venture Capital,"Early Stage Venture, Seed",66,125,,40,27,27,,,,"3,168",-0.4,4.4,4.9,"2,600","2,091.59",30.13%,103,262.77%,3.51,58.24%,26.65%,-28.33%,"5,421,598","-1,921,990",-26.17%,21,,,20,,,,,,,
TPG,https://www.crunchbase.com/organization/texas-pacific-group,"Austin, Texas, United States",,,Southern US,,"TPG is a leading global private investment firm with approximately $45 billion of capital under management across a family of funds. Since the firm's founding in 1992, their investment philosophy has been to create value by investing in change - change created by industry trends, economic cycles or specific company circumstances. Their tradition of providing unique investment insight and value-added operating capabilities to companies undergoing change, as well as their comfort in dealing with complexity and distressed companies, differentiates them from many traditional private investment firms.",516,,https://www.linkedin.com/company/tpg-capital/,,,Active,TPG is a global private investment firm with approximately $45 billion of capital under management across a family of funds.,1992-01-01,year,,,,,,http://www.tpg.com,ggonder@tpg.com,(415) 269-9884,,Private Equity Firm,"Debt, Early Stage Venture, Late Stage Venture, Post-Ipo, Seed",97,118,,45,38,38,,,,"2,002",0.1,3.8,-0.9,"77,615","67,520.25",30.72%,76,-1.23%,3.29,38.43%,33.56%,-15.94%,"518,034","-161,320",-23.75%,14,,,23,,,,,,,
Texas Venture Labs,https://www.crunchbase.com/organization/texas-venture-labs,"Austin, Texas, United States",,,Southern US,,"Housed at the AT&T Executive Education and Conference Center, Jon Brumley Texas Venture Labs (TVL) provides direct links to the entrepreneurial, business, technology and legal resources available on the University of Texas at Austin campus and the Texas entrepreneurial ecosystem. TVL gives students, faculty, researchers and local entrepreneurs full access to these resources. It provides the mentoring, team-building, market and business plan validation, technology commercialization and domain knowledge needed to start and grow innovative ventures. TVL's mission is to accelerate start-ups in taking their innovations to market in order to transform grad students into entrepreneurs and business leaders.",9,http://twitter.com/txventurelabs,http://www.linkedin.com/company/texas-venture-labs,https://www.facebook.com/TXVentureLabs,,Active,"Housed at the AT&T Executive Education and Conference Center, Jon Brumley Texas Venture Labs (TVL) provides direct links to the",2010-01-01,year,,,,,,https://www.mccombs.utexas.edu/Centers/Texas-Venture-Labs,delys@mccombs.utexas.edu,(512) 232-3745,,Accelerator,Non Equity Assistance,82,83,,1,13,13,,,,"14,057",-0.2,-0.4,3.2,"236,824","267,752.35",35.47%,189,7.71%,3.95,34.23%,49.21%,0.95%,,,,16,,,,,,,,,,
Green Park & Golf Ventures,https://www.crunchbase.com/organization/green-park-golf-ventures,"Dallas, Texas, United States",,,"Dallas/Fort Worth Metroplex, Southern US",,"Green Park & Golf, built on over 50 years of operational and financial experience, seeks investment opportunities that offer above-market returns for its investors. Led by Clay Heighten, M.D., and Carl Soderstrom, the Firm delivers strategic solutions, financial backing and a reliable network to its portfolio companies. The Dallas-based Firm is currently looking for investment opportunities in medical-related start-ups. Dr. Heighten founded MedicalEdge Healthcare Group in 1993, and Mr. Soderstrom started PhyServe Physician Services in 1998 to administer the financial and operational needs of MedicalEdge. Together, the companies managed over 550 providers in five major markets. In 2011, the companies were sold to Texas Health Resources, a $3.8 billion health care system. That’s when Green Park & Golf was born. After earning his MBA at Southern Methodist University, Mr. Garcia joined them full-time in May 2011 to actively pursue new investment opportunities and monitor other investments in their portfolio. He has prior professional experience at FedEx, Bold Ventures, and Lone Star Investment Advisors.",4,https://www.twitter.com/gpgventures,https://www.linkedin.com/company/green-park-&-golf-ventures,,,Active,"Green Park & Golf, built on over 50 years of operational and financial experience, seeks investment opportunities that offer above-market",2011-01-01,year,,,,,,http://www.gpgventures.com,info@gpgventures.com,,,Venture Capital,Seed,53,76,,8,8,8,,,,"11,070",-0.1,-0.2,0,336,266.3,88.61%,60,301.28%,6.1,103.32%,,,"14,948,413","-7,423,875",-33.18%,13,,,11,,,,,,,
Main Street Capital,https://www.crunchbase.com/organization/main-street-capital,"Houston, Texas, United States",,,"Greater Houston Area, Southern US",,"Main Street Capital is a principal investment firm that provides long-term debt and equity capital to lower middle market companies. Main Street's investments are primarily made to support management buyouts, recapitalizations, growth financings and acquisitions of companies that operate in diverse industry sectors and generally have annual revenues ranging from $10 million to $100 million. Main Street seeks to partner with entrepreneurs, business owners and management teams and generally provides ""one-stop"" financing alternatives to its portfolio companies.",32,,,,,Active,Main Street Capital is a principal investment firm that provides long-term debt and private equity capital to lower middle market companies.,,,2010-10-22,day,,,,http://www.mainstcapital.com,bsmith@mainstcapital.com,713-350-6000,,Private Equity Firm,"Debt, Non Equity Assistance, Private Equity",71,73,,9,11,11,,,,"8,312",0.4,1.2,-1,"17,986","9,840.09",35.35%,42,-66.58%,2.9,24.8%,26.96%,-2.07%,"1,676,027","-429,655",-20.4%,19,,,13,,,,,14768366,USD,14768366
