Organization/Person Name,Organization/Person Name URL,Location,First Name,Last Name,Regions,Gender,Full Description,Number of Articles,Twitter,LinkedIn,Facebook,Estimated Revenue Range,Operating Status,Description,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Contact Email,Phone Number,Hub Tags,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Partner Investments,Number of Lead Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Next Application Deadline,Accelerator Duration (in weeks),CB Rank (Investor),Trend Score (7 Days),Trend Score (30 Days),Trend Score (90 Days),SimilarWeb - Monthly Visits,SimilarWeb - Average Visits (6 months),SimilarWeb - Monthly Visits Growth,SimilarWeb - Visit Duration,SimilarWeb - Visit Duration Growth,SimilarWeb - Page Views / Visit,SimilarWeb - Page Views / Visit Growth,SimilarWeb - Bounce Rate,SimilarWeb - Bounce Rate Growth,SimilarWeb - Global Traffic Rank,SimilarWeb - Monthly Rank Change (#),SimilarWeb - Monthly Rank Growth,BuiltWith - Active Tech Count,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,Siftery - Total Products Active,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD)
National Science Foundation,https://www.crunchbase.com/organization/national-science-foundation,"Alexandria, Virginia, United States",,,"Washington DC Metro Area, East Coast, Southern US",,"America’s Seed Fund powered by NSF awards nearly $200 million annually to startups and small businesses, transforming scientific discovery into products and services with commercial and societal impact. Startups working across almost all areas of science and technology can receive up to $1.5 million in non-dilutive funds to support research and development (R&D), helping de-risk technology for commercial success. America’s Seed Fund is congressionally mandated through the Small Business Innovation Research (SBIR) program. The NSF is an independent federal agency with a budget of about $7.8 billion that supports fundamental research and education across all fields of science and engineering.","3,349",http://twitter.com/NSFSBIR,https://www.linkedin.com/company/national-science-foundation,http://www.facebook.com/US.NSF,,Active,America’s Seed Fund at the National Science Foundation awards nearly $200 million annually to startups and small businesses.,1950-05-10,day,,,,,,https://www.nsf.gov/,sbir@nsf.gov,703-292-8050,,"Entrepreneurship Program, Government Office","Grant, Seed",210,278,,123,14,14,,,,204,8,3.2,4.8,"1,679,272","1,838,170.5",17.66%,218,6.46%,5.23,21.23%,54.76%,-0.68%,"31,404","-6,015",-16.07%,56,6,"1,055",,,,,,,,
In-Q-Tel,https://www.crunchbase.com/organization/in-q-tel,"Arlington, Virginia, United States",,,"Washington DC Metro Area, East Coast, Southern US",,In-Q-Tel identifies and partners with companies developing cutting-edge technologies to help deliver these solutions to the Central Intelligence Agency and the broader U.S. Intelligence Community (IC) to further their missions.,525,,https://www.linkedin.com/company/20919,,,Active,In-Q-Tel identifies and partners with companies developing cutting-edge technologies to help deliver these solutions to the Central,1999-01-01,year,,,,,,https://www.iqt.org/,info@iqt.org,650-234-8999,,Government Office,"Debt, Early Stage Venture, Grant, Late Stage Venture, Seed",138,180,,34,61,61,,,,"18,414",-0.4,-0.7,-0.7,"11,845","30,121.72",-35.31%,142,-17.22%,2.87,-0.96%,42.59%,7.67%,"2,043,616","549,340",36.76%,38,,,32,,,,,843751,USD,843751
Columbia Capital,https://www.crunchbase.com/organization/columbia-capital,"Alexandria, Virginia, United States",,,"Washington DC Metro Area, East Coast, Southern US",,"[Columbia Capital](http://www.colcap.com) is a venture capital franchise in wireless, broadband, media, and enterprise information technology investing.",150,http://twitter.com/ColumbiaCapital,https://www.linkedin.com/company/columbia-capital,,,Active,"Columbia Capital is a venture capital franchise in wireless, broadband, media, and enterprise information technology investing.",1989-01-01,year,,,,,,http://www.colcap.com,,(703) 519-2000,,Venture Capital,"Debt, Early Stage Venture, Late Stage Venture, Private Equity",91,174,,47,46,46,,,,"3,972",4.5,5,5,"8,626","2,460.16",750.24%,38,,2.27,127.3%,1.75%,-98.25%,"3,265,392","-10,858,219",-76.88%,27,,,,,,,,59723,USD,59723
Grotech Ventures,https://www.crunchbase.com/organization/grotech-ventures,"Vienna, Virginia, United States",,,"Washington DC Metro Area, East Coast, Southern US",,"As one of the longest-established firms in the venture industry, Grotech Ventures has built a reputation for being a collaborative, long-term partner for CEOs and entrepreneurs by aligning their definition of success with that of their partners. They initially invest between $500,000 and $5 million in early stage, high growth technology companies, reserving significant capital for subsequent investments to support companies through early and growth stages. They look to partner with entrepreneurs who have fresh ideas, breakthrough innovations and unconventional approaches that will yield explosive growth. They believe that their ability to meaningfully contribute to a business’s development is just as important as the capital they invest. As such, they seek investment opportunities that offer them the chance to leverage the experience, insight and network they have built since their inception in 1984. Their approach is personal and long-term, not institutional.",300,http://twitter.com/GrotechVenture,http://www.linkedin.com/company/grotech-capital-group,,,Active,"Grotech Ventures is an early stage venture capital firm with a reputation for being a collaborative, long-term partner for entrepreneurs.",1984-01-01,year,,,,,,http://www.grotech.com,,,,Venture Capital,Early Stage Venture,93,154,,71,31,31,,,,"3,667",-0.3,-0.6,-0.6,"2,663","1,808.19",126.5%,245,"3,033.26%",3.04,118.72%,25.96%,-34.94%,"5,659,064","-5,817,153",-50.69%,8,,,12,,,,,156773,USD,156773
CIT GAP Funds,https://www.crunchbase.com/organization/cit-gap-funds,"Herndon, Virginia, United States",,,"Washington DC Metro Area, East Coast, Southern US",,"CIT GAP Funds is a family of seed- and early-stage investment funds placing near-equity and equity investments in Virginia-based technology, life science, and cleantech companies.  CIT GAP Funds invests in companies with a high potential for achieving rapid growth and generating significant economic return for entrepreneurs, co-investors and the Commonwealth of Virginia.  CIT’s family of funds includes: GAP Fund I – A vintage 2004 fund fully invested in a broad array of seed-stage technology companies. Portfolio. GAP BioLife Fund – A seed fund investing exclusively in life science companies.  GAP Tech Fund – A seed fund investing in IT and technology companies. Commonwealth Energy Fund (CEF), a seed fund investing in energy efficiency and renewable energy companies.",27,http://twitter.com/citgapfunds,http://www.linkedin.com/company/center-for-innovative-technology,https://www.facebook.com/centerforinnovativetechnology,,Active,"CIT GAP Funds makes seed-stage equity investments in technology and life science companies based in Virginia, USA.",2003-01-01,year,,,,,,http://www.citgapfunds.org,gap@cit.org,(703) 689-3000,,Venture Capital,"Early Stage Venture, Private Equity, Seed",130,141,,20,26,26,,,,"4,589",1.5,5.7,4.1,,23.45,,,,,,,,,,,15,,,,,,,,,,
QED Investors,https://www.crunchbase.com/organization/qed-investors,"Alexandria, Virginia, United States",,,"Washington DC Metro Area, East Coast, Southern US",,"QED Investors actively supports high-growth businesses that use information to compete and win. While our support is tailored to the specific needs of each portfolio company, we typically provide a combination of both capital and capability. With operationally-oriented skills that we believe are both fundamentally applicable and broadly transferable, we enjoy working closely with a small set of carefully selected companies that range in size and style. But common to all of our partnerships is a shared conviction that information plays a decisive role in the success of the company, a mutual desire for a high degree of direct engagement, and a shared enthusiasm for experimentation and learning.",137,https://twitter.com/QEDInvestors,http://www.linkedin.com/company/qed-investors,http://www.facebook.com/QEDInvestors,,Active,QED Investors actively supports high-growth businesses that use information to compete — and win.,2007-01-01,day,,,,,,http://www.qedinvestors.com,,,,Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity, Seed",81,126,,31,16,16,,,,"2,823",-0.1,5.5,-0.9,"5,069","4,021.16",25.29%,70,-2.77%,5.65,-8.39%,33.66%,16.8%,"2,861,751","-387,430",-11.92%,35,,,8,,,,,,,
Oxford Finance LLC,https://www.crunchbase.com/organization/oxford-finance-corporation,"Alexandria, Virginia, United States",,,"Washington DC Metro Area, East Coast, Southern US",,Oxford Finance LLC delivers flexible financial solutions to healthcare and life sciences companies worldwide. Our capital provides clients with the fuel needed for innovation and growth.,14,,,,,Active,Oxford Finance delivers flexible financial solutions to healthcare and life sciences companies worldwide.,2002-01-01,year,,,,,,http://www.oxfordfinance.com,info@oxfordfinance.com,888.471.0174,,Private Equity Firm,"Debt, Early Stage Venture, Late Stage Venture, Post-Ipo",87,95,,27,48,48,,,,"2,500",3,5.4,7.3,753,"6,114.32",-65.92%,338,680.05%,7.69,128.33%,32.7%,32.7%,"9,625,066","2,956,353",44.33%,26,,,13,,,,,724746,USD,724746
PROOF.VC,https://www.crunchbase.com/organization/new-atlantic-ventures,"Reston, Virginia, United States",,,"Washington DC Metro Area, East Coast, Southern US",,"New Atlantic Ventures [New Atlantic Ventures](http://www.navfund.com/) (formerly DFJ New England and Draper Atlantic) is an early stage VC firm investing nationally in cyber security, mobile, ecommerce, digital media, higher education and the business of healthcare. Collectively its partners have helped entrepreneurs start more than 100 companies including DivX, EnerNOC (NASDAQ: ENOC), Invincea, Massive (acquired by Microsoft), Mobile365 (acquired by Sybase), Moda Operandi, Qliance, Solve Media and Stitcher Radio. The firm manages $275 million from offices in Cambridge, MA and Reston, VA.",137,,https://www.linkedin.com/company/proof.vc/,,,Active,"PROOF.VC is an early-stage venture capital firm investing in cybersecurity, mobile, e-commerce and digital media companies.",1999-01-01,year,,,,,,https://proof.vc/,,(617) 758-4101,,Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",54,89,,17,19,19,,,,"7,664",0.9,-0.1,-0.5,"1,083",779.18,13.26%,30,-96.15%,4.16,-29.01%,0%,-35.18%,"9,217,615","480,725",5.5%,26,,,22,,,,,,,
Valhalla Partners,https://www.crunchbase.com/organization/valhalla-partners,"Vienna, Virginia, United States",,,"Washington DC Metro Area, East Coast, Southern US",,"In ancient Norse mythology, Valhalla was the stately hall of Odin, king of the gods. Here those Viking warriors whose feats in battle were greatest were invited to live forever, fighting with the gods by day and feasting by night. In their version of Valhalla they want to invite great entrepreneurs to work with Valhalla to build new, better and enduring companies. They want to bring together the best. Valhalla Partners brings extensive experience, resources and insights to bear in helping entrepreneurs in their quest to build world-class companies. They aid and accelerate companies at critical stages in their pursuit of success regardless of their size or maturity -- even if conventional wisdom is against them.",146,http://twitter.com/Valhallavc,http://www.linkedin.com/company/78621,http://www.facebook.com/ValhallaPartners,,Active,"In ancient Norse mythology, Valhalla was the stately hall of Odin, king of the gods. Here those Viking warriors whose feats in battle were",2002-01-01,year,,,,,,http://www.valhallapartners.com,emily@emilysarkisdesigns.com,(703) 448-1400,,Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",47,88,,26,25,25,,,,"13,128",-0.2,-0.1,-0.1,506,"1,195.48",11%,272,-13.01%,3.39,15.51%,40.19%,-27.62%,"14,133,395","-875,630",-5.83%,7,,,6,,,,,24297,USD,24297
J. Hunt Holdings,https://www.crunchbase.com/organization/j-hunt-holdings,"Vienna, Virginia, United States",,,"Washington DC Metro Area, East Coast, Southern US",,"J. Hunt Holdings is an investment holding company that provides funds for early stage ventures. It is specialized in both domestic and international projects and investments. The company invests between $100,000 and $1,100,000 in five key industry categories, including investment services, portfolio management, accounting, and financial solutions. Mainly focused on the technology and telecommunications sectors, it also invests in the video and sensing, data center management, social media, data security, and other sectors. J. Hunt Holdings is headquartered in Washington, District of Columbia.",,,,,,Active,J. Hunt Holdings is a family investment holding company that invests in promising early-stage ventures.,,,,,,,,http://jhuntholdings.com/,,,,Family Investment Office,"Early Stage Venture, Seed",79,83,,7,12,12,,,,"8,995",-0.1,0,-0.6,499,230.69,-27.72%,114,-35.18%,2.77,0.12%,15.83%,-34%,"15,398,253","3,010,071",24.3%,16,,,,,,,,,,
