Organization/Person Name,Organization/Person Name URL,Location,First Name,Last Name,Regions,Gender,Full Description,Number of Articles,Twitter,LinkedIn,Facebook,Estimated Revenue Range,Operating Status,Description,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Contact Email,Phone Number,Hub Tags,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Partner Investments,Number of Lead Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Next Application Deadline,Accelerator Duration (in weeks),CB Rank (Investor),Trend Score (7 Days),Trend Score (30 Days),Trend Score (90 Days),SimilarWeb - Monthly Visits,SimilarWeb - Average Visits (6 months),SimilarWeb - Monthly Visits Growth,SimilarWeb - Visit Duration,SimilarWeb - Visit Duration Growth,SimilarWeb - Page Views / Visit,SimilarWeb - Page Views / Visit Growth,SimilarWeb - Bounce Rate,SimilarWeb - Bounce Rate Growth,SimilarWeb - Global Traffic Rank,SimilarWeb - Monthly Rank Change (#),SimilarWeb - Monthly Rank Growth,BuiltWith - Active Tech Count,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,Siftery - Total Products Active,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD)
Madrona Venture Group,https://www.crunchbase.com/organization/madrona-venture-group,"Seattle, Washington, United States",,,"Greater Seattle Area, West Coast, Western US",,"Madrona Venture Group is a venture capital firm based in Seattle, Washington. The firm seeks to invest in early-stage technology firms within the information technology, e-commerce, digital media, advertising, software, gaming, data, analytics, mobile and infrastructure sectors.","1,549",http://twitter.com/madronaventures,http://www.linkedin.com/company/madrona-venture-group,http://www.facebook.com/pages/Madrona-Venture-Group/21621734279,,Active,Madrona Venture Group is a Seattle-based venture capital firm that invests in early-stage technology companies in the Pacific Northwest.,1995-01-01,year,,,,,,http://Madrona.com,information@madrona.com,206.674.3000,,Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",164,323,,116,68,68,,,,"1,247",1.5,0.6,-3.8,"6,654","18,231.49",-50.92%,62,-39.99%,4.9,-15.96%,56.47%,26.94%,"2,430,434","1,010,567",71.17%,22,,,37,,,,,47544,USD,47544
Lighter Capital,https://www.crunchbase.com/organization/lighter-capital,"Seattle, Washington, United States",,,"Greater Seattle Area, West Coast, Western US",,"Lighter Capital is a fintech company that has created a new fundraising path for early-stage tech companies. We understand that an entrepreneur’s two greatest constraints are time and money, and we’ve developed a funding instrument that solves for both. Our transparent, data-driven process provides founders up to $2 million of non-dilutive growth capital in a fraction of the time it takes to raise from traditional sources. Based in Seattle, we invest in companies across the US.",97,https://twitter.com/lightercapital,https://www.linkedin.com/company/lighter-capital,https://www.facebook.com/lightercapital/,,Active,"Lighter Capital is revolutionizing startup finance, filling the gap between VCs and banks.",2010-06-01,day,,,,,,https://www.lightercapital.com,info@lightercapital.com,(206) 455-9633,,Venture Debt,"Debt, Early Stage Venture",203,317,,118,28,28,,,,463,0.4,2.3,-3.2,"51,323","59,910.95",-44.59%,66,-32.72%,2.14,23.11%,64.44%,-4.23%,"836,953","260,617",45.22%,78,,,,,,,,43178,USD,43178
Microsoft Accelerator,https://www.crunchbase.com/organization/microsoft-ventures,"Redmond, Washington, United States",,,"Greater Seattle Area, West Coast, Western US",,Microsoft Accelerator is a global initiative empowering entrepreneurs around the world on their journey to build great companies. The program is now supported by Microsoft ScaleUp. For more information please visit https://startups.microsoft.com/en-us/scale-up/,611,https://www.twitter.com/MSFTScaleUp,http://www.linkedin.com/groups/Microsoft-Ventures-6511637,https://www.facebook.com/MicrosoftAccelerator,,Closed,Please see Microsoft ScaleUp for more information on scale-stage startups.,2013-06-25,day,,,2018-02-14,day,,https://startups.microsoft.com/en-us/scale-up/,msventures@microsoft.com,,,Accelerator,"Non Equity Assistance, Seed",226,258,,2,36,36,,2016-11-30,,"3,785",2.4,5.1,-1.5,,43.64,,,,,,,,,,,8,,,,,,,,,,
Alliance of Angels,https://www.crunchbase.com/organization/alliance-of-angels,"Seattle, Washington, United States",,,"Greater Seattle Area, West Coast, Western US",,"[Alliance of Angels](http://www.allianceofangels.com/) is the largest and most active angel group in the Pacific Northwest. Each year, we invest $10M+ into 20+ companies. Since 1997, we have invested $100M+ into 200+ companies and celebrated 40+ exits generating more than a billion dollars of returns. Our network of 140+ active angel investors is further augmented by a $6.6M seed fund.",155,http://twitter.com/allianceangels,http://www.linkedin.com/company/alliance-of-angels,http://www.facebook.com/pages/Alliance-of-Angels/345314378821686,,Active,"We are a group of 140+ active angel investors. Each year, we invest $10M+ into 20+ startups and provide mentorship to help them succeed.",1997-01-01,year,,,,,,http://www.allianceofangels.com,,,,Angel Group,"Early Stage Venture, Seed",145,180,,30,39,39,,,,"11,978",-0.3,4.8,4.6,"1,511","1,994.82",-18.15%,126,-65.03%,1.78,-15.8%,63.39%,10.37%,"9,575,612","1,644,884",20.74%,22,,,8,,,,,,,
Vulcan Capital,https://www.crunchbase.com/organization/vulcan-capital,"Seattle, Washington, United States",,,"Greater Seattle Area, West Coast, Western US",,"Vulcan Capital invests across all stages of corporate development through leveraged buyouts, growth capital, distressed/turnaround, and early-stage venture capital as well as public equity value investing. The firm's portfolio spans a range of industry sectors, including media and communications, energy and natural resources, financial and information services, technology, and life sciences. Vulcan Capital is the private investment group of Vulcan Inc., the organization founded by Paul G. Allen, co-founder of Microsoft.",477,https://twitter.com/vulcaninc,,https://www.facebook.com/VulcanInc,,Active,Vulcan Capital is the multi-billion dollar investment arm of Microsoft co-founder and philanthropist Paul Allen.,2003-01-01,year,,,,,,http://capital.vulcan.com,vulcancapital@vulcan.com,(206) 342-2000,,"Family Investment Office, Private Equity Firm, Venture Capital","Early Stage Venture, Late Stage Venture, Private Equity, Seed",108,161,,37,39,39,,,,"2,218",-0.5,7.2,7.5,"2,847","2,840.29",118.34%,186,233.43%,5.92,72.99%,23.66%,-3.42%,,,,12,,,,,,,,,,
Frazier Healthcare Partners,https://www.crunchbase.com/organization/frazier-healthcare-ventures,"Seattle, Washington, United States",,,"Greater Seattle Area, West Coast, Western US",,"Founded in 1991, Frazier Healthcare Partners is a leading provider of growth capital to healthcare companies.  The firm has over $2B under management and has made investments in over 170 healthcare companies, with investment types ranging from company creation and venture capital to growth buyouts and leveraged recapitalizations. Frazier’s experienced team takes an active approach to helping build portfolio companies, leveraging the team’s deep domain expertise and expansive network of healthcare executives, advisors, and industry thought leaders.  The firm’s Growth Buyout team invests in profitable companies focusing on healthcare services, pharmaceutical services, medical products, and related sectors.  The firm’s Life Sciences team invests in therapeutics and related areas that are addressing unmet medical needs through innovation.",123,http://twitter.com/FrazierHealth,https://www.linkedin.com/company/frazier-healthcare-partners,,,Active,"Frazier Healthcare Partners is a healthcare investment firm for pharmaceuticals, healthcare services, & medical products.",1991-01-01,year,,,,,,http://www.frazierhealthcare.com,,206.621.7200,,Private Equity Firm,"Early Stage Venture, Late Stage Venture, Private Equity",83,154,,39,54,54,,,,"2,746",4.6,5.4,1.8,"4,355","8,544.42",-67.89%,67,22.79%,2.7,7.75%,46.85%,23.17%,"4,145,567","2,147,692",107.5%,28,,,,,,,,14859347,USD,14859347
Voyager Capital,https://www.crunchbase.com/organization/voyager-capital,"Seattle, Washington, United States",,,"Greater Seattle Area, West Coast, Western US",,"Voyager Capital is a leading Pacific Northwest venture firm providing entrepreneurs with the resources, experience and connections to build successful technology companies. Voyager leads first venture round investments in software, analytics and cloud infrastructure startups, deploying the firm's domain expertise, go-to-market and team building resources help build market leaders. The firm has offices in Seattle, Washington and Portland, Oregon.",334,http://twitter.com/voyagercapital,http://www.linkedin.com/company/voyager-capital,,,Active,"Voyager Capital, a West Coast-based company, invests in software, cloud, and big data applications in the Pacific Northwest.",1997-01-01,year,,,,,,http://www.voyagercapital.com,harris@voyagercapital.com,(206) 438-1800,,Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",78,143,,45,31,31,,,,"4,467",-0.4,-1.2,4.6,861,"1,038.95",-34.19%,38,24.99%,2.79,21.04%,41.04%,-5.18%,"11,888,321","2,621,260",28.29%,16,,,,,,,,196093,USD,196093
Acequia Capital (Acecap),https://www.crunchbase.com/organization/acequia-capital,"Seattle, Washington, United States",,,"Greater Seattle Area, West Coast, Western US",,"Acequia Capital is focused on advising early stage founders and teams that have passion and conviction about the power of software to disrupt and create business value.   They partner with entrepreneurs at the earliest stages - when founders are developing the idea and are forming the team – all the way through IPO, sale or constructive wind-down. We provide seed capital, help organize the initial investment group, secure bridge financing when appropriate, lead or participate in downstream equity financings (Series A through later stages), facilitate a market for founders, employees and other investors via secondary sales, and in select cases, provide alternative financing options that are beneficial for the company and investors.",5,,,,,Active,Acequia Capital is focused on advising early stage founders and teams that have passion and conviction about the power of software.,2010-01-01,year,,,,,,http://acecap.com/,,,,Micro VC,"Early Stage Venture, Seed",109,131,,6,18,18,,,,"3,501",-0.4,5.8,-0.7,"1,410",943.43,157.38%,34,,1.38,38.45%,61.34%,-38.66%,"10,517,481","-7,103,170",-40.31%,6,,,,,,,,,,
Founders' Co-op,https://www.crunchbase.com/organization/founders-co-op,"Seattle, Washington, United States",,,"Greater Seattle Area, West Coast, Western US",,"Founders' Co-op is a seed-stage venture fund built by founders, for founders. Based in Seattle, they help the strongest entrepreneurs in the Pacific Northwest build companies that the best growth investors in the world choose to back. As the largest and longest-running seed-stage specialist fund in the region, they are a trusted partner to early-stage founders and a trusted point of access to Pacific Northwest dealflow for out-of-region investors at the seed stage and beyond.",12,http://twitter.com/founderscoop,http://www.linkedin.com/company/founders-co-op,http://www.facebook.com/pages/Founders-Co-op/149656408416775,,Active,Founders' Co-op is a seed-stage investment fund based in the Pacific Northwest.,2008-03-01,day,,,,,,http://www.founderscoop.com,chris@founderscoop.com,+1 206-801-1080,,Venture Capital,"Early Stage Venture, Seed",89,117,,12,29,29,,,,"3,141",2.6,3.4,-0.1,716,"1,522.61",-46.88%,34,-60.7%,1.52,-47.53%,48.15%,13.29%,"14,532,745","5,630,482",63.25%,19,,,,,,,,,,
OVP Venture Partners,https://www.crunchbase.com/organization/ovp-venture-partners,"Seattle, Washington, United States",,,"Greater Seattle Area, West Coast, Western US",,"Olympic Venture Partners formed their first fund in 1983, and have since formed and completed six additional funds. They have seen up and down cycles, open and closed IPO windows, bubbles build and burst. Their Entrepreneurs Fund brings leading entrepreneurs many of whom pioneered venture-backed Pacific Northwest based companies into the OVP fold. These industry leaders co-invest in every project OVP participates in. They participate in the building of major enterprises by providing deal flow, contacts and seasoned insight.",235,,http://www.linkedin.com/company/ovp-venture-partners,,,Active,OVP Venture Partners is a venture capital firm specializing in early-stage technology-based companies.,1983-01-01,year,,,,,For Profit,http://www.ovp.com,info@ovp.com,,,Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",54,113,,38,30,30,,,,"10,830",0,0.2,2.8,300,136.58,80.11%,877,-80.93%,3.73,-83.8%,28.22%,28.22%,"18,314,362","942,039",5.42%,2,,,3,,,,,205254,USD,205254
